Context,English,French
,No items marked for trade.,Aucun objet renseigné pour l'échange.
,Trade failed: {0} doesn't want any more {1}.,L'échange a échoué : {0} ne veut plus de {1}.
,Trade failed: {0} wants a max of {1} {2},L'échange a échoué : {0} veut un maximum de {1} {2}
,The owner {0} doesn't have enough currency to cover this trade.,Le propriétaire {0} n’a pas assez de monnaie pour couvrir cet échange.
,{0} is now sold out of {1},{0} est maintenant en rupture de stock de {1}
,You are too hungry to pull this {0}!,Vous avez trop faim pour tirer votre {0} !
,No meteor to destroy.,Aucun météore à détruire.
,Meteor destroyed.,Météore détruit.
,A wild meteor has appeared!,Un météore sauvage est apparu !
,A meteor already exists!,Un météore existe déjà !
,"Contract '{0}' is invalid, must fix or delete before posting another one.","Le contrat ""{0}"" est invalide. Vous devez le corriger ou le supprimer avant d'en poster un autre."
,No currency found.,Monnaie introuvable.
,<Unassigned>,<Non assigné>
,That contract is too far away to accept.  Contract board is located at {0}.,Ce contrat est trop loin pour être accepté. Le tableau de contrats est situé à {0}.
,Contract not accepted: cannot have more than {0} active contracts at once.,Contrat non accepté : vous ne pouvez pas avoir plus de {0} contrats actifs à la fois.
,Can't mark a job failed until the time has expired. {0} left.,Impossible d'indiquer que le travail a échoué avant la fin du temps imparti. Il reste {0}.
,{0:client name} marked your contract as failed:,{0:client name} n'a pas validé votre contrat :
,Contract does not have any clauses.,Le contrat n’a pas de clause.
,Must give the contract a name (click icon in title bar).,Vous devez donner un nom au contrat (cliquez sur l’icône dans la barre de titre).
,"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Le contrat ne doit pas être en "" Acceptation automatique "" lorsqu'il contient une clause personnalisée. Décochez la case au bas du contrat, et vous devrez l'approuver manuellement lorsque ce contrat sera achevé."
,Put {0} in {1}.,Mettre {0} dans {1}.
,No items specified for container clause.,Aucun objet spécifié dans la clause du récipient.
,"No room at requested location, {0}.","Aucune pièce à cet emplacement, {0}."
,From position not specified for Build Road clause.,La position d'origine n'est pas spécifiée pour la clause de construction routière.
,To position not specified for Build Road clause.,La destination n'est pas spécifiée pour la clause de construction routière.
,Same position chosen for beginning/end points of road in Build Road clause.,Même position choisie pour les points de début/fin de route pour la clause de la construction routière.
,No item specified for road type.,Aucun élément spécifié pour le type de route.
,No road type selected.,Aucun type de route sélectionné.
,Road not complete. Last valid point on road detected at {0}.,La route n'est pas complète. Le dernier point valide sur la route est détecté à {0}.
,more,plus
,less,moins
,No property specified for Blocks clause.,Aucune propriété spécifiée dans la clause des blocs.
,No items specified for blocks on property clause.,Aucun objet spécifié pour les blocs dans la clause de la propriété.
,more than,plus que
,less than,moins que
,\nFound {0} at {1}.,\n{0} trouvés à {1}.
,No currency specified in payment clause.,Aucune monnaie n'a été spécifiée dans la clause de paiement.
,Client doesn't have {0} needed to pay.,Le client n'as pas la somme de {0} nécessaire pour vous payer.
,Contractor doesn't have the needed {0} deposit specified in payment clause.,Le contractant n'as pas la caution de {0} définie dans la clause de paiement.
,{0} paid to {1}. ,{0} payé à {1}.
,{0} refunded.,{0} remboursé.
,No custom description set.,Aucune description personnalisée n'est définie.
,{0} must be at or above {1}.,{0} doit être supérieure ou égale à {1}.
,property rights,droits de propriété
,object rights,droits de l’objet
,permanently,définitivement
,for the term of the contract,pour la durée du contrat
,contract start,début du contrat
,contract completion,achèvement du contrat
,Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Recevez {0:rights} sur {1} {2:permanent or not} sur {3:time point}.
,No location specified for permissions grant.,Aucun emplacement spécifié pour l’octroi de l'autorisation.
,"If you give permissions at contract completion, they must be permanent.","Si vous accordez des autorisations à l'accomplissement du contrat, elles doivent être permanentes."
,"Can't get permissions on property or object at {0}, may be unclaimed.",Impossible d’obtenir des droits sur la propriété ou sur l'objet à {0}. La parcelle est peut-être non revendiquée.
,added,ajouté
,removed,supprimé
,{0} of the following must be true: {1},{0} des éléments suivants doivent être vrais : {1}
,Harvest all {0} on the property at {1}.,Récolter tous les {0} sur la propriété de {1}.
,No harvest items specified.,Aucun objet de récolte spécifié.
,Harvest container,Conteneur de récolte
,Tree still has unharvested logs:\n{0},L'arbre a toujours des bûches non récoltées :\n{0}
,Property still has unharvested plants: {0} at {1}.,La propriété a toujours des plantes non récoltées : {0} à {1}.
,Mow the lawn on the property at {0}.,Tondre la pelouse sur la propriété appartenant à {0}.
,Nothing mowable on that property.,Aucune pelouse à tondre sur cette propriété.
,Unmowed {0:species name} at {1:position}.,{0:species name} non tondues à {1:position}.
,Mow Lawn,Tondre la pelouse
,Plow {0} square meters of field on the property at {1}.,Labourer {0} mètres carrés de champ sur la propriété sise à {1}.
,Property does not cover {0} units.,La propriété ne couvre pas {0} unités.
,"Only {0} tilled spaces found on property, {1} needed.",Seuls {0} espaces labourés on été trouvés sur cette propriété. Il en faut {1}.
,Mow,Tondre
,No property specified for clause.,Aucune propriété spécifiée pour la clause.
,Debris/stumps still on property at {0}.,Débris/souches restant sur la propriété à {0}.
,Move items from {0} to {1}.,Déplacer les objets de {0} à {1}.
,Can't place a block there,Impossible de placer un bloc ici
,No block to pick up,Aucun bloc à ramasser
,That is not a clothing item,Ce n'est pas un vêtement
,You equipped {0},Vous avez équipé {0}
,Your {0} broke!  It will be much less efficient until repaired.,Votre {0} s'est cassée ! Elle sera beaucoup moins efficace jusqu'à ce qu'elle soit réparée.
,You are not authorized to remove items from that.,Vous n'avez pas l'autorisation de retirer des objets de cela.
,You are not authorized to put items into that.,Vous n'êtes pas autorisé à mettre des objets dedans.
,Can't select {0} while carrying {1}.,Impossible de sélectionner {0} en transportant {1}.
,Skill Benefits,Avantages de la compétence
,Couldn't find any items matching {0},Impossible de trouver des objets correspondants à {0}
,"Multiple items found matching, use more specific string: {0}",Plusieurs éléments trouvés peuvent correspondre. Utilisez une string plus spécifique : {0}
,Cannot plant on a spot occupied by {0},Impossible de planter à un endroit occupé par {0}
,Plant already exists there.,Il y a déjà une plante là.
,Unknown plant type: {0},Type de plante inconnu : {0}
,You have too many Skill Scrolls already.,Vous avez déjà trop de pages de compétence.
,Only {0} can collect that,Seul {0} peut récupérer cela
,"Can't place there, blocked.","Impossible de placer ici, bloqué."
,This plant is dead.,Cette plante est morte.
,Atmosphere:({0}),Atmosphère : ({0})
,Balanced Multiplier: {0},Multiplicateur : {0}
,Base Gain: {0},Gain de base : {0}
,Calories,
,Waste,Déchet
,Nutrition,
,Stomach Contents,Contenu de l'estomac
Chat command,full,plein
,You are not logged in,Vous n'êtes pas connecté(e)
,You have kicked {0},Vous avez été expulsé {0}
,{0} is not online,{0} n'est pas en ligne
,Your Steam id is {0}.,Votre Steam id est {0}.
,Your SLG id is {0}.,Votre SLG id est {0}.
,{0} is not logged in to a Steam account.,{0} n'est pas connecté(e) à un compte Steam.
,{0}'s Steam id is {1}.,Le Steam id de {0} est {1}.
,{0} is not logged in to an SLG account.,{0} n'est pas connecté(e) à un compte SLG.
,{0} World Marker,{0} marqueur mondial
,Located {0:distance and direction} at {1}.,Situé {0:distance and direction} à {1}.
,Link added to clipboard.,Lien ajouté dans le presse-papiers.
,Waypoint added.,Point de repère ajouté.
,Cleared all non-global markers.,Marqueurs non-mondial effacés.
,{0} set their objective: {1},{0} a défini son objectif : {1}
,You already own this deed.,Vous possédez déjà ce titre de propriété.
,Room had no ceiling at {0}.,La pièce en {0} n’a pas de plafond.
,Room is flooded at {0},La pièce en {0} est inondée
,'{0}' is not a valid tier number,"{0}"" n’est pas un niveau valide"
,Must be contained within a room,Doit être dans une pièce
,Contained within a room,Est placé dans une pièce
,Pressure:{0}atm,Pression :{0}atm
,Current skill rate is {0}.,Le taux de progression de vos points de compétences actuel est de {0}.
,{0} has issued you a warning. {1},{0} vous a émis un avertissement. {1}
,You have sent a warning to {0},Vous avez envoyé un avertissement à {0}
,Bad elk meat?,Mauvaise viande de Wapiti ?
,Time for some government spending!,Le temps est venu pour des dépenses gouvernementales !
,Gabe has made it rain.,Gabe a fait pleuvoir.
,You gave {0} skillpoints to {1},Vous avez donné {0} points de compétence à {1}
,Atmosphere added.,Atmosphère ajoutée.
,You gave {0} plots to {1}.,Vous avez donné {0} parcelles à {1}.
,You gained {0} plots.,Vous avez gagné {0} parcelles.
,With great power comes great responsibility,Un grand pouvoir implique de grandes responsabilités
,Selected item doesn't have durability.,L'objet sélectionné n'a pas de durabilité.
,Durability set to {0},Durabilité établie à {0}
,Finished in {0},Terminé dans {0}
,{0} commands:,Commandes {0} :
,Online: {0},En ligne : {0}
,You are a {0},Vous êtes un(e) {0}
,{0} is not a world layer.,{0} n'est pas une couche du monde.
,Missing Location,Localisation manquante
,"Can't add tutorial item to inventory, no room.","Impossible d'ajouter un élément du tutoriel à l'inventaire, pas de place."
,Building Blocks...,Construction des blocs...
,{0} has no access rights for {1} at {2}.,{0} n'a pas de droits d'accès pour {1} à {2}.
,{0} not selected.,{0} non sélectionné(e).
,{0} cannot accept items of type {1}.,{0} ne peut pas accepter d'objets de type {1}.
,Need to add {0} to {1}.,Il faut ajouter {0} à {1}.
,Button pressed.,Bouton activé.
,meters,mètres
,Plant,Plante
,This plant is dead. {0},Cette plante est morte. {0}
,Calories Available: {0},Calories disponibles : {0}
,Calories Required per Organism: {0},Calories nécessaires par organisme : {0}
,Amount of {0} Available: {1},Montant de {0} disponible : {1}
,Log is not ready for harvest.  Remove all branches first.,La bûche n’est pas prête pour la récolte. Enlevez d’abord toutes les branches.
,"Log is too large to pick up, slice into smaller pieces first.","La bûche est trop grosse pour être ramassée, coupez-la en plusieurs petits morceaux."
,You are already carrying {0:items} and cannot pick up {1:items}.,Vous portez déjà {0:items} et ne pouvez pas ramasser {1:items}.
,You must obtain authorization to shoot {0}.,Vous devez obtenir l’autorisation de tirer {0}.
,Axe,Hache
,Pickaxe,Pioche
,Scythe,Faux
,Shovel,Pelle
,Iron Axe,Hache en fer
,Iron Hammer,Marteau en fer
,Iron Hoe,Binette en fer
,Iron Pickaxe,Pioche en fer
,Iron Shovel,Pelle en fer
,Modern Axe,Hache moderne
,Modern Hammer,Marteau moderne
,Modern Hoe,Binette moderne
,Modern Pickaxe,Pioche moderne
,Modern Scythe,Faucille moderne
,Modern Shovel,Pelle moderne
,Steel Axe,Hache en acier
,Steel Hammer,Marteau en acier
,Steel Hoe,Binette en acier
,Steel Pickaxe,Pioche en acier
,Steel Shovel,Pelle en acier
,Stone Axe,Hache en pierre
,Stone Hammer,Marteau en pierre
,Stone Pickaxe,Pioche en pierre
,Wooden Hoe,Binette en bois
,Wooden Shovel,Pelle en bois
Help text for chat command /bow,Bow,S'incliner
,Amanita Mushrooms,Amanites tue-mouches
,Beet,Betterave
,Corn,Maïs
,Crimini Mushrooms,Champignons de Paris
,Fiddleheads,Crosses de fougère
,Fireweed Shoots,Pousses d'épilobe
,Giant Cactus Fruit,Fruit de saguaro
,Huckleberries,Myrtilles
,Prickly Pear Fruit,Figue de Barbarie
,Tomato,Tomate
,Wheat,Blé
,Plant Fibers,Fibres végétales
,Acorn,Gland
,Beans,Haricots
,Beet Seed,Graine de betterave
,Birch Seed,Graine de bouleau
,Bunchgrass Seed,Graine de graminée
,Camas Bulb,Bulbe de camassia
,Cedar Seed,Graine de cèdre
,Corn Seed,Graine de maïs
,Creosote Bush Seed,Graine de créosotier
,Crimini Mushroom Spores,Spores de champignon de Paris
,Fern Spore,Spores de fougère
,Fireweed Seed,Graine d'épilobe
,Fir Seed,Graine de sapin
,Grass Seed,Graine d'herbe commune
,Huckleberry Seed,Graine de myrtille
,Prickly Pear Seed,Graine de figue de Barbarie
,Rice,Riz
,Tomato Seed,Graine de tomate
,Wheat Seed,Graine de blé
,Leather Hide,Cuir
,Cloth,Tissu
,Cellulose Fiber,Fibres de cellulose
,Fur Pelt,Fourrure
,Composite Filler,Charge renforçante composite
,Huckleberry Extract,Extrait de myrtilles
,Berry Extract Fertilizer,Engrais à l'extrait de baies
,Pulp Filler,Charge renforçante boisée
,Scrap Meat,Restes de viande
,Blood Meal Fertilizer,Engrais à base de farine de sang
,Fiber Filler,Charge renforçante fibreuse
,Charred Camas Bulb,Bulbe de camassia carbonisé
,Camas Ash Fertilizer,Engrais à la cendre de camassia
,Dirt,Terre
,Hide Ash Fertilizer,Engrais à base de cendres de peaux
,Pelt Fertilizer,Engrais à base de fourrures
,Stone,Pierre
,Phosphate Fertilizer,Engrais à base de phosphate
,Wood Pulp,Copeaux de bois
,Acorn Powder,Poudre de gland
,Raw Meat,Viande crue
,Baked Meat,Viande au four
,Raw Roast,Rôti cru
,Baked Roast,Rôti au four
,Tallow,Suif
,Bannock,Bannique
,Bean Paste,Pâte de haricots
,Flour,Farine
,Sugar,Sucre
,Yeast,Levure
,Bearclaw,Gâteau patte d'ours
,Prime Cut,Morceau de choix
,Vegetable Medley,Assortiment de légumes
,Meat Stock,Bouillon de viandes
,Infused Oil,Huile infusée
,Bear S U P R E M E,Suprême d'ours
,Raw Sausage,Saucisse crue
,Boiled Sausage,Saucisse bouillie
,Bread,Pain
,Camas Paste,Pâte de camassia
,Camas Bread,Pain au camassia
,Camas Bulb Bake,Bulbe de camassia cuit
,Campfire Roast,Rôti cuit au feu de camp
,Campfire Stew,Ragoût cuit au feu de camp
,Charred Beet,Betterave carbonisée
,Charred Corn,Maïs carbonisé
,Raw Fish,Poisson cru
,Charred Fish,Poisson carbonisé
,Charred Meat,Viande carbonisée
,Charred Sausage,Saucisse carbonisée
,Charred Tomato,Tomate carbonisée
,Steel,Acier
,Cornmeal,Farine de maïs
,Oil,Huile
,Corn Fritters,Beignets de maïs
,Corn Starch,Fécule de maïs
,Basic Salad,Salade basique
,Crimson Salad,Salade cramoisie
,Raw Bacon,Bacon cru
,Crispy Bacon,Bacon croustillant
,Tortilla,
,Wild Mix,Mélange sauvage
,Elk Taco,Taco de wapiti
,Elk Wellington,Rôti de wapiti façon Wellington
,Flatbread,Pain plat
,Prepared Meat,Viande préparée
,Fried Hare Haunches,Cuisses de lièvre frites
,Fried Tomatoes,Tomates frites
,Huckleberry Pie,Tourte aux myrtilles
,Hydrocolloids,Hydrocolloïdes
,Liquid Nitrogen,Azote liquide
,Simple Syrup,Sirop simple
,Maltodextrin,Maltodextrine
,Meat Pie,Tourte à la viande
,Cereal Germ,Germe de céréale
,Seared Meat,Viande poêlée
,Simmered Meat,Viande mijotée
,Stuffed Turkey,Dinde farcie
,Fruit Salad,Salade de fruits
,Sweet Salad,Salade douce
,Transglutaminase,
,Vegetable Stock,Bouillon de légumes
,Vegetable Soup,Soupe de légumes
,Wild Stew,Ragoût sauvage
,Wilted Fiddleheads,Crosses de fougère flétries
,Piston,
,Valve,Soupape
,Servo,Servomoteur
,Circuit,Circuit électrique
,Advanced Combustion Engine,Moteur avancé à combustion
,Log,Bûche
,Arrow,Flèche
,Concrete,Béton
,Asphalt Ramp,Rampe en bitume
,Barrel,Baril
,Biodiesel,Bio-gazole
,Board,Planche
,Brick,Brique
,Lumber,Bois d'œuvre
,Charcoal,Charbon de bois
,Substrate,Substrat
,Copper Wiring,Fil de cuivre
,Gold Flakes,Paillettes d'or
,Gearbox,Boîte de vitesses
,Combustion Engine,Moteur à combustion
,Copper Ore,Minerai de cuivre
,Copper Pipe,Tuyau en cuivre
,Corrugated Steel,Tôle d'acier ondulée
,Deed,Titre de propriété
,Dirt Ramp,Rampe en terre
,Electric Motor,Moteur électrique
,Petroleum,Pétrole
,Epoxy,Résine époxy
,Plastic,Plastique
,Glass,Verre
,Fiberglass,Fibre de verre
,Fishing Pole,Canne à pêche
,Flat Steel,Tôle d'acier lisse
,Framed Glass,Verre encadré
,Gasoline,Essence
,Gear,Engrenage
,Sand,Sable
,Gold Ore,Minerai d'or
,Hewn Log,Rondin taillé
,Iron Ore,Minerai de fer
,Iron Pipe,Tuyau en fer
,Mortared Stone,Pierre cimentée
,Paper,Papier
,Rebar,Barre d'armature
,Reinforced Concrete,Béton armé
,Rivet,
,Soil Sampler,Analyseur de sol
,Steel Pipe,Tuyau en acier
,Stone Ramp,Rampe pavée
,Stone Road,Route pavée
,Torch,Torche
,Bison Carcass,Cadavre de bison
,Elk Carcass,Cadavre de wapiti
,Fox Carcass,Cadavre de renard
,Hare Carcass,Cadavre de lièvre
,Turkey Carcass,Cadavre de dinde
,Wolf Carcass,Cadavre de loup
,Salmon,Saumon
,Trout,Truite
,Tuna,Thon
,Urchin,Oursin
,Kelp,Varech
,Clam,Palourde
,Coal,Charbon
,Waterwheel,Moulin à eau
,Anvil,Enclume
,Bakery Oven,Four à pain
,Blast Furnace,Haut fourneau
,Bloomery,Bas fourneau
,Bookshelf,Bibliothèque
,Brazier,Brasero en fer
,Butchery Table,Table de boucherie
,Campfire,Feu de camp
,Candle Stand,Bougeoir
,Carpentry Table,Établi de menuiserie
,Cast Iron Stove,Poêle en fonte
,Ceiling Candle,Lustre à monture en fer
,Cement Kiln,Four à ciment
,Chair,Chaise
,Combustion Generator,Générateur électrique à combustion
,Computer Lab,Ordinateur de contrôle
,Construction Post,Piquet de construction
,Contract Board,Tableau de contrats
,Couch,Canapé
,Currency Exchange,Bureau de change
,Electric Wall Lamp,Lampe murale électrique
,Electronics Assembly,Établi d'assemblage électronique
,Farmers Table,Établi d'agriculture
,Fishery,Établi de pêche
,Fish Trap,Nasse à poissons
,Icebox,Glacière
,Kiln,Four à céramique
,Laboratory,Laboratoire
,Laser,
,Wooden Latrine,Latrines en bois
,Masonry Table,Établi de maçonnerie
,Mill,Meule
,Mint,Hôtel de la monnaie
,Oil Refinery,Raffinerie de pétrole
,Padded Chair,Fauteuil
,Round Pot,Pot rond
,Square Pot,Pot carré
,Pump Jack,Chevalet de pompage
,Refrigerator,Réfrigérateur
,Research Table,Table de recherche
,Rolling Mill,Laminoir
,Medium Rug,Tapis moyen
,Small Rug,Petit tapis
,Salt Basket,Panier de sel
,Sawmill,Scierie
,Shelf Cabinet,Étagères
,Solar Generator,Générateur électrique solaire
,Stockpile,Réserve
,Stone Brazier,Brasero en pierre
,Storage Chest,Coffre
,Stove,Cuisinière
,Streetlamp,Réverbère
,Tailoring Table,Atelier de couture
,Tallow Candle,Bougie en suif
,Tallow Lamp,Lampe à suif
,Tallow Wall Lamp,Lampe à suif murale
,Torch Stand,Support de torche
,Treasury,Trésor public
,Wainwright Table,Établi d'ingénierie routière
,Wall Candle,Bougeoir mural
,Washboard,Planche à laver
,Washing Machine,Machine à laver
,Windmill,Moulin à vent
,Wind Turbine,Éolienne
,Wooden Fabric Bed,Lit confortable en bois d'œuvre
,Wooden Straw Bed,Lit de paille en bois
,Wood Sign,Panneau en bois
,Workbench,Établi de bricolage
,Advanced Baking,Boulangerie avancée
,Advanced Cooking,Cuisine avancée
,Advanced Smelting,Fonte avancée
,Baking,Boulangerie
,Basic Engineering,Ingénierie basique
,Butchery,Boucherie
,Campfire Cooking,Cuisine au feu de camp
,Cement,Ciment
,Cooking,Cuisine
,Cutting Edge Cooking,Cuisine moléculaire
,Digging,Pelletage
,Electronics,Électroniques
,Farming,Agriculture
,Fertilizers,Engrais
,Fishing,Pêche
,Gathering,Récolte
,Glassworking,Travail du verre
,Hewing,Taillage
,Hunting,Chasse
,Industry,Industrie
,Logging,Abattage
,Mechanics,Mécaniques
,Milling,Mouture
,Mining,Minage
,Oil Drilling,Forage pétrolier
,Paper Milling,Production de papier
,Self Improvement,Amélioration personnelle
,Smelting,Fonte
,Tailoring,Couture
,Woodworking,Travail du bois
,Backpack,Sac à dos
,Backpacks,Sacs à dos
,Chat Log,Fenêtre de discussion
,Objectives,Objectifs
,Alpha Cloak,Manteau alpha
,Alpha Cloaks,Capes alpha
,Alpha Goggles,Lunettes alpha
,Alpha Hat,Chapeau alpha
,Alpha Hats,Chapeaux alpha
,Basic Backpack,Sac à dos basique
,Bearpack,Sac à d'ours
,Big Backpack,Grand sac à dos
,Blinky Eyelids,Paupières clignantes
,Camo Pants,Pantalon de camouflage
,Camo Shirt,Chemise de camouflage
,Capris,Corsaire
,Derpy Hat,Chapeau ridicule
,Fit Torso,Ajuster le torse
,Garden Boots,Bottes de jardinage
,Gigot Sleeve Shirt,Chemise à manches gigot
,Hardy Beard,Barbe résistante
,Henley,Chemise Henley
,Human Limbs,Membres humain
,Light Backpack,Sac à dos léger
,Low Top Shoes,Chaussures basses
,Normal Hair,Cheveux normaux
,Peasant Hair,Cheveux de paysan
,Rounded Face,Visage arrondi
,Running Shoes,Chaussures de course
,Scruffy Hair,Cheveux négligés
,Short Beard,Barbe courte
,Square Belt,Ceinture carrée
,Square Jaw,Mâchoire carrée
,Tall Boots,Bottes hautes
,Trousers,Pantalon
,Wolf Whisperer Hat,Chapeau du chuchoteur de loup
,Wolf Whisperer Hats,Chapeaux du chuchoteur de loup
,Wolf Whisperer Mask,Masque du chuchoteur de loup
,Wolf Whisperer Masks,Masques du chuchoteur de loup
,Wolf Whisperer Shirt,Chemise du chuchoteur de loup
,Wolf Whisperer Shirts,Chemises du chuchoteur de loup
,Work Backpack,Sac à dos de travail
,Work Boots,Bottes de travail
,Bricks,Briques
,Logs,Bûches
,Sands,Sables
,Sewage,Eaux usées
,Tailings,Résidus
,Tree Debris,Débris d'arbre
,Wire,Fil
,Wires,Fils
,Beets,Betteraves
,Boiled Sausages,Saucisses bouillies
,Camas Bulbs,Bulbes de camassias
,Corns,Maïs
,Ecoylent,
,Fruit Salads,Salades de fruits
,Kelp Seed,Graine de varech
,Milk,Lait
,Sugarcane,Canne à sucre
,Tomatoes,Tomates
,Tortillas,
,Waterweed Seed,Graine d'élodée
,Acorn Pack,Paquet de glands
,Arrows,Flèches
,Beans Pack,Paquet de haricots
,Beet Seed Pack,Paquet de graines de betterave
,Birch Seed Pack,Paquet de graines de bouleau
,Boards,Planches
,Bunchgrass Seed Pack,Paquet de graines de graminées
,Camas Bulb Pack,Paquet de bulbes de camassia
,Cedar Seed Pack,Paquet de graines de cèdre
,Clams,Palourdes
,Corn Seed Pack,Paquet de graines de maïs
,Creosote Bush Seed Pack,Paquet de graines de créosotier
,Crimini Mushroom Spores Pack,Paquet de spores de champignons de Paris
,Deeds,Titres de propriété
,Fern Spore Pack,Paquet de spores de fougères
,Fir Seed Pack,Paquet de graines de sapin
,Fireweed Seed Pack,Paquet de graines d'épilobes
,Grass Seed Pack,Paquet de graines d'herbe commune
,Huckleberry Seed Pack,Sachet de graines de myrtilles
,Kelp Seed Pack,Paquet de graines de varech
,Nuclear Fuel,Combustible nucléaire
,Papers,Papiers
,Plastics,Plastiques
,Prickly Pear Seed Pack,Paquet de graines de figues de Barbarie
,Rice Pack,Paquet de riz
,Smog,Nuage de pollution
,Strange Fuel,Carburant étrange
,Sugarcane Pack,Paquet de cannes à sucre
,Tomato Seed Pack,Paquet de graines de tomate
,Urchins,Oursins
,Vehicle Tool Toggle,Sélecteur de mode d'utilisation
,Waterweed Seed Pack,Paquet de graines d'élodées
,Wheat Seed Pack,Paquet de grains de blé
,Advanced Baking Skill Book,Livre de compétence : Boulangerie avancée
,Advanced Cooking Skill Book,Livre de compétence : Cuisine avancée
,Advanced Smelting Skill Book,Livre de compétence : Fonte avancée
,Baking Skill Book,Livre de compétence : Boulangerie
,Basic Engineering Skill Book,Livre de compétence : Ingénierie basique
,Butchery Skill Book,Livre de compétence : Boucherie
,Cooking Skill Book,Livre de compétence : Cuisine
,Cutting Edge Cooking Skill Book,Livre de compétence : Cuisine moléculaire
,Electronics Skill Book,Livre de compétence : Électronique
,Farming Skill Book,Livre de compétence : Agriculture
,Fertilizers Skill Book,Livre de compétence : Engrais
,Glassworking Skill Book,Livre de compétence : Travail du verre
,Industry Skill Book,Livre de compétence : Industrie
,Mechanics Skill Book,Livre de compétence : Mécanique
,Milling Skill Book,Livre de compétence : Mouture
,Oil Drilling Skill Book,Livre de compétence : Forage pétrolier
,Paper Milling Skill Book,Livre de compétence : Production de papier
,Smelting Skill Book,Livre de compétence : Fonte
,Tailoring Skill Book,Livre de compétence : Couture
,Advanced Baking Skill Scroll,Page de compétence : Boulangerie avancée
,Advanced Cooking Skill Scroll,Page de compétence : Cuisine avancée
,Advanced Smelting Skill Scroll,Page de compétence : Fonte avancée
,Baking Skill Scroll,Page de compétence : Boulangerie
,Basic Engineering Skill Scroll,Page de compétence : Ingénierie basique
,Butchery Skill Scroll,Page de compétence : Boucherie
,Cooking Skill Scroll,Page de compétence : Cuisine
,Cutting Edge Cooking Skill Scroll,Page de compétence : Cuisine moléculaire
,Electronics Skill Scroll,Page de compétence : Électronique
,Farming Skill Scroll,Page de compétence : Agriculture
,Fertilizers Skill Scroll,Page de compétence : Engrais
,Glassworking Skill Scroll,Page de compétence : Travail du verre
,Industry Skill Scroll,Page de compétence : Industrie
,Mechanics Skill Scroll,Page de compétence : Mécanique
,Milling Skill Scroll,Page de compétence : Mouture
,Oil Drilling Skill Scroll,Page de compétence : Forage pétrolier
,Paper Milling Skill Scroll,Page de compétence : Production de papier
,Smelting Skill Scroll,Page de compétence : Fonte
,Tailoring Skill Scroll,Page de compétence : Couture
,Carpenter,Menuisier
,Chef,Cuisinier
,Engineer,Ingénieur
,Farmer,Agriculteur
,Farmers,Agriculteurs
,Hunter,Chasseur
,Mason,Maçon
,Smith,Forgeron
,Survivalist,Survivaliste
,Tailor,Tailleur
,Axes,Haches
,Dev Flood Tool,Outil développeur - Niveau de l'eau
,Dev Tool,Outil développeur
,Ecko The Dolphin,Ecko le dauphin
,Fishing Poles,Cannes à pêche
,Hammer,Marteau
,Hoe,Binette
