"110";"TAMAM";""
"111";"Birşeyler Yapıyor...";""
"112";"Okuman gereken birkaç bilgi!";""
"113";"Veri Kümeleri";""
"114";"Kategorileri Temizle";""
"115";"Eğriler";""
"116";"Dilim";""
"117";"Yükleniyor";""
"118";"Nüfus Sayıları";""
"119";"Oyuncu Yetenek İlerlemesi";""
"120";"Kirlilik İlerlemesi";""
"121";"Aynı başlıkla başka bir grafik halihazırda var! Grafiğin için yeni bir başlık seç.";""
"122";"Kaydetmeden önce, grafiğin için lütfen bir veri kümesi ekle.";""
"123";"Grafik kopyalandı. Bir isim gir ve kaydet.";""
"124";"İlerlemeden önce değişiklikleri kaydetmek istiyor musun?";""
"125";"Kaydetme";""
"126";"Sunucu";""
"127";"Kullanıcı";""
"128";"Teklifi Sil";""
"129";"Adayları en iyiden en kötüye olacak şekilde sırala.";""
"130";"Oyu Güncelle";""
"131";"Etap";""
"132";"Toplam";""
"133";"Adaylar Sıralandı";""
"134";"Tüm Oylar";""
"135";"Oy Verenler";""
"136";"Devam Eden Etkinlikler";""
"137";"Hükümet Etkinliği";""
"138";"Kullanıcı Etkinliği";""
"139";"Vatandaş Etkinliği";""
"140";"Önceden Seçim Yapılmamış";""
"141";"Sunucu sürümü";""
"142";"İşlemler";""
"143";"sa";""
"144";"dak";""
"145";"san";""
"147";"Gösterilen sonuç";""
"148";"Oy Ver";""
"149";"Oylar";""
"150";"Oy sürecinin bitmesine";""
"151";"Ünvan";""
"152";"Kazanan";""
"153";"Süre Doldu";""
"154";"önce";""
"155";"günler";""
"156";"sa";""
"157";"dak";""
"158";"son saat içinde";""
"159";"Kazanan";""
"160";"Kanun";""
"161";"Haritaları Karşılaştır";""
"162";"Seçilen Yetkililer";""
"163";"Seçim Yönetme";""
"164";"Devam Eden Seçim Yok";""
"165";"Seçilen Yetkililer";""
"167";"Ünvan Sahipleri";""
"168";"Durum";""
"169";"Seçim Bilgisi";""
"170";"Since";""
"171";"Gönderiliyor";""
"172";"Oyunuz sayıldı";""
"173";"Oylama şu süre içinde sona erecek";""
"174";"seçim";""
"175";"Etkin başlık yok";""
