English,Polish
contract completion,ukończenie zlecenia
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Otrzymaj {0:rights} na {1} {2:permanent or not} aż do {3:time point}.
No location specified for permissions grant.,"Nie ustalono miejsca, do którego prawa mają być przydzielone."
"If you give permissions at contract completion, they must be permanent.","Jeśli wydasz pozwolenia przy zakończeniu zlecenia, muszą być one na stałe."
"Can't get permissions on property or object at {0}, may be unclaimed.","Nie można dostać zezwolenia na własności bądź objekcie w {0}, może być bezpańskie."
added,dodano
removed,usunięto
{0} of the following must be true: {1},{0} z nastepujących musi być prawdziwy: {1}
Harvest all {0} on the property at {1}.,Zbierz wszystkie {0} na działce: {1}.
No harvest items specified.,Nie sprecyzowano rzeczy do zebrania.
Harvest container,Pojemnik na zbiory
Tree still has unharvested logs:\n{0},Drzewo nadal posiada niezebrane kłody:\n{0}
Property still has unharvested plants: {0} at {1}.,Na działce są nadal niezebrane rośliny: {0} na {1}.
Mow the lawn on the property at {0}.,Skoś trawnik na działce znajdującej się tu: {0}.
Nothing mowable on that property.,Nie ma nic do skoszenia na tej działce.
Unmowed {0:species name} at {1:position}.,Nie skoszone {0:species name} na {1:position}.
Mow Lawn,Skoś trawę
Plow {0} square meters of field on the property at {1}.,Spulchnij {0} metrów kwadratowych pola na tej działce: {1}.
Property does not cover {0} units.,Działka nie pokrywa {0} jednostek.
"Only {0} tilled spaces found on property, {1} needed.","Znaleziono tylko {0} spulchnionych bloków na działce, potrzeba {1}."
Mow,Kosić
No property specified for clause.,Żadna działka nie została wyznaczona dla tego warunku.
Debris/stumps still on property at {0}.,Pozostałości drzew lub pniaki nadal znajdują się na tej działce: {0}.
Move items from {0} to {1}.,Przenieś przedmioty z {0} do {1}.
Can't place a block there,Nie możesz umieścić tu bloku
No block to pick up,Nie ma bloku do podniesienia
That is not a clothing item,To nie jest część ubioru
You equipped {0},Wyposażyłeś się w {0}
Your {0} broke!  It will be much less efficient until repaired.,Zniszczyłeś {0}! To narzędzie będzie znacznie mniej efektywne dopóki nie zostanie naprawione.
You are not authorized to remove items from that.,Nie posiadasz przywilejów aby usunąć stąd ten przedmiot.
You are not authorized to put items into that.,Nie posiadasz przywilejów aby tutaj to dodać.
Can't select {0} while carrying {1}.,Nie można wybrać {0} podczas niesienia {1}.
Skill Benefits,Korzyści Umiejętności
Couldn't find any items matching {0},Nie można było znaleźć żadnych przedmiotów pasujących do {0}
"Multiple items found matching, use more specific string: {0}","Znaleziono wiele pasujących przedmiotów, użyj bardziej precyzyjnego określenia: {0}"
Cannot plant on a spot occupied by {0},Nie możesz zasadzić na miejscu zajętym przez {0}
Plant already exists there.,Inna roślina już tu rośnie.
Unknown plant type: {0},Nieznany rodzaj rośliny: {0}
You have too many Skill Scrolls already.,Posiadasz zbyt wiele Certyfikatów.
Only {0} can collect that,Tylko {0} może to zebrać
"Can't place there, blocked.","Nie możesz tego tu umieścić, miejsce zablokowane."
This plant is dead.,Ta roślina jest uschnięta.
Atmosphere:({0}),Atmosfera: ({0})
Balanced Multiplier: {0},Zrównoważony mnożnik:{0}
Base Gain: {0},Podstawa przyrostu:{0}
Calories,Kalorie
Waste,Odpady
Nutrition,Odżywianie
Stomach Contents,Zawartość żołądka
full,pełny
You are not logged in,Nie jesteś zalogowany
You have kicked {0},Wykopano gracza {0} z serwera
{0} is not online,{0} nie jest online
Your Steam id is {0}.,Twój Steam Id to {0}.
Your SLG id is {0}.,Twój SLG id to {0}.
{0} is not logged in to a Steam account.,{0} nie jest zalogowany na Steamie.
{0}'s Steam id is {1}.,Steam id {0} to {1}.
{0} is not logged in to an SLG account.,{0} nie jest zalogowany na koncie SLG.
{0} World Marker,{0} Globalny Znacznik
Located {0:distance and direction} at {1}.,Zlokalizowano {0:distance and direction} w {1}.
Link added to clipboard.,Link dodany do schowka.
Waypoint added.,Punkt orientacyjny dodany.
Cleared all non-global markers.,Usunięto wszystkie nieglobalne znaczniki.
{0} set their objective: {1},{0} ustawili swój cel: {1}
You already own this deed.,Już posiadasz ten Akt Własności.
Room had no ceiling at {0}.,Pokój nie posiada sufitu w {0}.
Room is flooded at {0},Pokój jest zalany w {0}
'{0}' is not a valid tier number,'{0}' nie jest prawidłową liczbą klasy
Must be contained within a room,Musi znajdować się w pokoju
Contained within a room,Znajduje się w pokoju
Pressure:{0}atm,Ciśnienie: {0}atm
Current skill rate is {0}.,Obecny wskaźnik Umiejętności to {0}.
{0} has issued you a warning. {1},Otrzymałeś ostrzeżenie od {0}. {1}
You have sent a warning to {0},Dałeś ostrzeżenie graczowi {0}
Bad elk meat?,Zepsute mięso jelenia?
Time for some government spending!,Czas na wydatki rządu!
Gabe has made it rain.,Gabe przywołał deszcz.
You gave {0} skillpoints to {1},Przyznałeś {0} Punktów Umiejętności graczowi {1}
Atmosphere added.,Dodane atmosferę.
You gave {0} plots to {1}.,Dałeś {0} działek {1}.
You gained {0} plots.,Pozyskane działki: {0}.
With great power comes great responsibility,Z wielką mocą wiąże się wielka odpowiedzialność
Selected item doesn't have durability.,Wybrany przedmiot nie posiada wytrzymałości.
Durability set to {0},Wytrzymałość ustawiona na: {0}
Finished in {0},Zakończono w {0}
{0} commands:,{0} polecenia:
Online: {0},
You are a {0},Jesteś {0}
{0} is not a world layer.,{0} nie jest warstwą świata.
Missing Location,Brak lokalizacji
"Can't add tutorial item to inventory, no room.",Nie można dodać przedmiotu z Samouczka do ekwipunku bo nie ma już miejsca.
Building Blocks...,Stawianie klocków...
{0} has no access rights for {1} at {2}.,{0} ma praw dostępu dla {1} w {2}.
{0} not selected.,{0} nie wybrane.
{0} cannot accept items of type {1}.,{0} nie można przyjąć przedmiotu typu {1}.
Need to add {0} to {1}.,Należy dodać {0} do {1}.
Button pressed.,Naciśnięto przycisk.
meters,metrów
Plant,Roślina
This plant is dead. {0},Ta roślina uschła. {0}
Calories Available: {0},Dostępne Kalorie: {0}
Calories Required per Organism: {0},Organizm wymaga {0} kalorii
Amount of {0} Available: {1},Dostępna ilość {0}: {1}
Log is not ready for harvest.  Remove all branches first.,Kłoda nie jest gotowa do zebrania. Najpierw usuń wszystkie gałęzie.
"Log is too large to pick up, slice into smaller pieces first.","Kłoda jest zbyt wielka by ja podnieść, porąb ją na mniejsze kawałki."
You are already carrying {0:items} and cannot pick up {1:items}.,Niesiesz już: {0:items}. Nie możesz podnieść: {1:items}.
You must obtain authorization to shoot {0}.,"Musisz uzyskać zezwolenie aby strzelać do: ""{0}""."
Axe,Siekiera
Pickaxe,Kilof
Scythe,Kosa
Shovel,Łopata
Iron Axe,Żelazna siekiera
Iron Hammer,Żelazny młotek
Iron Hoe,Żelazna motyka
Iron Pickaxe,Żelazny kilof
Iron Shovel,Żelazna łopata
Modern Axe,Nowoczesna Siekiera
Modern Hammer,Nowoczesny Młotek
Modern Hoe,Nowoczesna Motyka
Modern Pickaxe,Nowoczesny Kilof
Modern Scythe,Nowoczesna Kosa
Modern Shovel,Nowoczesna Łopata
Steel Axe,Stalowa siekiera
Steel Hammer,Stalowy młotek
Steel Hoe,Stalowa motyka
Steel Pickaxe,Stalowy kilof
Steel Shovel,Stalowa łopata
Stone Axe,Kamienna siekiera
Stone Hammer,Kamienny młotek
Stone Pickaxe,Kamienny kilof
Wooden Hoe,Drewniana motyka
Wooden Shovel,Drewniana łopata
Bow,Łuk
Amanita Mushrooms,Muchomor czerwony
Beet,Burak
Corn,Kukurydza
Crimini Mushrooms,Pieczarki
Fiddleheads,Pędy Paproci
Fireweed Shoots,Pędy Wierzbówki
Giant Cactus Fruit,Owoc Saguaro
Huckleberries,Czarna Jagoda
Prickly Pear Fruit,Owoc opuncji
Tomato,Pomidor
Wheat,Pszenica
Plant Fibers,Włókna roślinne
Acorn,Żołądź
Beans,Fasola
Beet Seed,Nasiona buraka
Birch Seed,Nasiona Brzozy
Bunchgrass Seed,Nasiona Trawy kępiastej
Camas Bulb,Bulwa Kamasji
Cedar Seed,Nasiona Cedru
Corn Seed,Nasiona Kukurydzy
Creosote Bush Seed,Nasiona Trójnika Pustynnego
Crimini Mushroom Spores,Zarodniki Pieczarki
Fern Spore,Zarodniki Paproci
Fireweed Seed,Nasiona Wierzbówki
Fir Seed,Nasiona Jodły
Grass Seed,Nasiona Trawy
Huckleberry Seed,Nasiona Jagody
Prickly Pear Seed,Nasiona opuncji
Rice,Ryż
Tomato Seed,Nasiona Pomidora
Wheat Seed,Nasiona Pszenicy
Leather Hide,Skóra
Cloth,Tkanina
Cellulose Fiber,Włókna celulozowe
Fur Pelt,Futro
Composite Filler,Wypełniacz kompozytowy
Huckleberry Extract,Ekstrakt z Czarnej Jagody
Berry Extract Fertilizer,Nawóz z ekstraktu jagodowego
Pulp Filler,Wypełniacz z miazgi
Scrap Meat,Ochłapy Mięsa
Blood Meal Fertilizer,Nawóz z mączki krwistej
Fiber Filler,Wypełniacz włóknowy
Charred Camas Bulb,Opiekana Bulwa Kamasji
Camas Ash Fertilizer,Nawóz z popiołu Kamasji
Dirt,Ziemia
Hide Ash Fertilizer,Nawóz z popiołu skórzanego
Pelt Fertilizer,Nawóz z futer
Stone,Kamień
Phosphate Fertilizer,Nawóz fosforowy
Wood Pulp,Ścier drzewny
Acorn Powder,Mączka z żołędzi
Raw Meat,Surowe mięso
Baked Meat,Pieczone mięso
Raw Roast,Surowa pieczeń
Baked Roast,Zapiekana pieczeń
Tallow,Łój
Bannock,Placek pszenny
Bean Paste,Pasta z fasoli
Flour,Mąka
Sugar,Cukier
Yeast,Drożdże
Bearclaw,Niedźwiadka
Prime Cut,Mięso prima sort
Vegetable Medley,Mieszanka warzywna
Meat Stock,Rosół
Infused Oil,Olej smakowy
Bear S U P R E M E,Nedzwiedź S U P R E M E
Raw Sausage,Surowa kiełbasa
Boiled Sausage,Gotowana kiełbasa
Bread,Chleb
Camas Paste,Pasta z Kamasji
Camas Bread,Chleb Kamasjowy
Camas Bulb Bake,Ciasto z bulw Kamasji
Campfire Roast,Pieczeń z ogniska
Campfire Stew,Gulasz z ogniska
Charred Beet,Opiekany burak
Charred Corn,Opiekana Kukurydza
Raw Fish,Surowa ryba
Charred Fish,Opiekana Ryba
Charred Meat,Opiekane Mięso
Charred Sausage,Opiekana Kiełbasa
Charred Tomato,Opiekany Pomidor
Steel,Stal
Cornmeal,Kasza kukurydziana
Oil,Olej
Corn Fritters,Kukurydza w cieście
Corn Starch,Mąka kukurydziana
Basic Salad,Prosta sałatka
Crimson Salad,Karmazynowa sałatka
Raw Bacon,Surowy Boczek
Crispy Bacon,Chrupiący boczek
Tortilla,
Wild Mix,Bukiet surówek
Elk Taco,Taco z Jelenia
Elk Wellington,Jeleń w Cieście
Flatbread,Podpłomyk
Prepared Meat,Gotowe do przyrządzenia mięso
Fried Hare Haunches,Smażony udziec z zająca
Fried Tomatoes,Smażone pomidory
Huckleberry Pie,Ciasto Jagodowe
Hydrocolloids,Hydrokoloidy
Liquid Nitrogen,Ciekły azot
Simple Syrup,Prosty syrop
Maltodextrin,Maltodekstryna
Meat Pie,Mięso w cieście
Cereal Germ,Kiełki zbóżowe
Seared Meat,Obsmażone mięso
Simmered Meat,Wolno gotowane mięso
Stuffed Turkey,Indyk faszerowany
Fruit Salad,Sałatka owocowa
Sweet Salad,Słodka sałatka
Transglutaminase,Transglutaminaza
Vegetable Stock,Bulion warzywny
Vegetable Soup,Zupa jarzynowa
Wild Stew,Gulasz z dzikich roślin
Wilted Fiddleheads,Blanszowane pędy paproci
Piston,Tłok
Valve,Zawór
Servo,Serwomechanizm
Circuit,Obwód
Advanced Combustion Engine,Zaawansowany silnik spalinowy
Log,branches
Arrow,Strzała
Concrete,Beton
Asphalt Ramp,Podjazd asfaltowy
Barrel,Beczka
Biodiesel,Biodisel
Board,Deska
Brick,Cegła
Lumber,Tarcica
Charcoal,Węgiel drzewny
Substrate,Płytka podkładowa
Copper Wiring,Miedziane przewody
Gold Flakes,Płatki złota
Gearbox,Skrzynia Biegów
Combustion Engine,Silnik spalinowy
Copper Ore,Ruda miedzi
Copper Pipe,Miedziana rura
Corrugated Steel,Stal ryflowana
Deed,to
Dirt Ramp,Podjazd ziemny
Electric Motor,Silnik elektryczny
Petroleum,Ropa naftowa
Epoxy,Żywica epoksydowa
Plastic,Plastik
Glass,Szkło
Fiberglass,Włokno szklane
Fishing Pole,Wędka
Flat Steel,Blacha stalowa
Framed Glass,Szyba oprawiona
Gasoline,Benzyna
Gear,Koło zębate
Sand,Piasek
Gold Ore,Ruda złota
Hewn Log,Ociosana Kłoda
Iron Ore,Ruda żelaza
Iron Pipe,Żelazna rura
Mortared Stone,Spojony zaprawą kamień
Paper,Papier
Rebar,Zbrojenie
Reinforced Concrete,Beton zbrojony
Rivet,Nit
Soil Sampler,Próbnik Gleby
Steel Pipe,Stalowa Rura
Stone Ramp,Kamienny Podjazd
Stone Road,Kamienna droga
Torch,Pochodnia
Bison Carcass,Tusza Żubra
Elk Carcass,Tusza Jelenia
Fox Carcass,Tuszka Lisa
Hare Carcass,Padlina zająca
Turkey Carcass,Padlina indyka
Wolf Carcass,Padlina wilka
Salmon,Losoś
Trout,Pstrąg
Tuna,Tuńczyk
Urchin,Jeżowiec
Kelp,Wodorosty
Clam,Małż
Coal,Węgiel
Waterwheel,Koło Wodne
Anvil,Kowadło
Bakery Oven,Piec piekarniczy
Blast Furnace,Piec hutniczy
Bloomery,Dymarka
Bookshelf,Biblioteczka
Brazier,Koksownik
Butchery Table,Stół rzeźnicki
Campfire,Ognisko
Candle Stand,Stojak na świecę
Carpentry Table,Stół Stolarski
Cast Iron Stove,Żeliwna kuchnia
Ceiling Candle,Kandelabr
Cement Kiln,Cementownia
Chair,Krzesło
Combustion Generator,Generator Spalinowy
Computer Lab,Laboratorium komputerowe
Construction Post,Stanowisko Budowlane
Contract Board,Tablica Zleceń
Couch,Kanapa
Currency Exchange,Wymiana walut
Electric Wall Lamp,Elektryczna lampa ścienna
Electronics Assembly,Montaż Elektroniki
Farmers Table,Stół rolniczy
Fishery,Rybołóstwo
Fish Trap,Samołówka
Icebox,Lodówka
Kiln,Piec do Wypalania
Laboratory,Laboratorium
Laser,
Wooden Latrine,Drewniana Latryna
Masonry Table,Stół murarski
Mill,Młyn
Mint,Mennica
Oil Refinery,Rafineria
Padded Chair,Fotel tapicerowany
Round Pot,Okrągłą donica
Square Pot,Kwadratowa donica
Pump Jack,Kiwak
Refrigerator,Lodówka
Research Table,Stół badawczy
Rolling Mill,Walcownia
Medium Rug,Średni Dywan
Small Rug,Mały dywan
Salt Basket,Kosz Soli
Sawmill,Tartak
Shelf Cabinet,Szafa z półkami
Solar Generator,Generator słoneczny
Stockpile,Skład
Stone Brazier,Kamienny koksownik
Storage Chest,Skrzynia
Stove,Kuchnia
Streetlamp,Lampa uliczna
Tailoring Table,Stacja Krawiecka
Tallow Candle,Świeca łojowa
Tallow Lamp,Lampa łojowa
Tallow Wall Lamp,Ścienna Lampa Łojowa
Torch Stand,Stojak na pochodnię
Treasury,Skarbiec
Wainwright Table,Stół Powoźniczy
Wall Candle,Świeca ścienna
Washboard,Tara
Washing Machine,Pralka
Windmill,Wiatrak
Wind Turbine,Turbina powietrzna
Wooden Fabric Bed,Drewniane łóżko z materacem
Wooden Straw Bed,Drewniane Łożko z Siennikiem
Wood Sign,Drewniana Tablica
Workbench,Stół Roboczy
Advanced Baking,Zaawansowane Pieczenie
Advanced Cooking,Zaawansowane Gotowanie
Advanced Smelting,Zaawansowane Hutnictwo
Baking,Piekarstwo
Basic Engineering,Podstawy Inżynierii
Butchery,Rzeźnictwo
Campfire Cooking,Gotowanie na Ognisku
Cement,
Cooking,Gotowanie
Cutting Edge Cooking,Nowoczesne Gotowanie
Digging,Kopanie
Electronics,Elektronika
Farming,Rolnictwo
Fertilizers,Nawozy
Fishing,Połów Ryb
Gathering,Zbieractwo
Glassworking,Obróbka szkła
Hewing,Ciosanie Kłód
Hunting,Łowiectwo
Industry,Przemysł
Logging,Wyrąb drzew
Mechanics,Mechanika
Milling,Młynarstwo
Mining,Górnictwo
Oil Drilling,Wydobycie Ropy
Paper Milling,Papiernia
Self Improvement,Samodoskonalenie
Smelting,Hutnictwo
Tailoring,Krawiectwo
Woodworking,Obróbka drewna
Backpack,Plecak
Backpacks,Plecaki
Chat Log,Dziennik czatu
Objectives,Cele
Alpha Cloak,"Płaszcz ""Alpha"
Alpha Cloaks,"Płaszcze ""Alpha"
Alpha Goggles,"Gogle ""Alpha"
Alpha Hat,"Kapelusz ""Alpha"
Alpha Hats,"Kapelusze ""Alpha"
Basic Backpack,Zwykły Plecak
Bearpack,Plecak Olbrzymi
Big Backpack,Duży Plecak
Blinky Eyelids,Zmrużone powieki
Camo Pants,Spodnie Moro
Camo Shirt,Koszula Moro
Capris,Rybaczki
Derpy Hat,Durnowaty kapelusz
Fit Torso,Wysportowany tułów
Garden Boots,Buty ogrodnicze
Gigot Sleeve Shirt,Bufiasta Koszula
Hardy Beard,Drwalska Broda
Henley,Koszulka z Guzikami
Human Limbs,Ludzkie kończyny
Light Backpack,Lekki Plecak
Low Top Shoes,Trampki
Normal Hair,Zwykłe włosy
Peasant Hair,Chłopskie Włosy
Rounded Face,Okrągła Twarz
Running Shoes,Buty do biegania
Scruffy Hair,Potargane włosy
Short Beard,Krótka broda
Square Belt,Pas z kwadratową sprzączką
Square Jaw,Kwadratowa Szczęka
Tall Boots,Wysokie Buty
Trousers,Spodnie
Wolf Whisperer Hat,Kapelusz Zaklinacza Wilków
Wolf Whisperer Hats,Kapelusze Zaklinacza Wilków
Wolf Whisperer Mask,Maska Zaklinacza Wilków
Wolf Whisperer Masks,Maski Zaklinacza Wilków
Wolf Whisperer Shirt,Koszula Zaklinacza Wilków
Wolf Whisperer Shirts,Koszule Zaklinacza Wilków
Work Backpack,Plecak roboczy
Work Boots,Buty Robocze
Bricks,Cegły
Logs,Kłody
Sands,Piasek
Sewage,Ścieki
Tailings,Odpady hutnicze
Tree Debris,Pozostałości Drzewa
Wire,Przewód
Wires,Przewody
Beets,Buraki
Boiled Sausages,Gotowane kiełbaski
Camas Bulbs,Bulwy Kamasji
Corns,Kukurydza
Ecoylent,Eco Kokta
Fruit Salads,Sałatki Oowocowe
Kelp Seed,Nasiona Listownicy
Milk,Mleko
Sugarcane,Trzcina Cukrowa
Tomatoes,Pomidory
Tortillas,Tortille
Waterweed Seed,Nasiona Moczarki
Acorn Pack,Żołędzie
Arrows,Strzały
Beans Pack,Fasola
Beet Seed Pack,Opakowanie nasion buraka
Birch Seed Pack,Nasiona Brzozy
Boards,Deski
Bunchgrass Seed Pack,Nasiona Trawy Kępiastej
Camas Bulb Pack,Bulwy Kamasji
Cedar Seed Pack,Nasiona Cedru
Clams,Małże
Corn Seed Pack,Nasiona kukurydzy
Creosote Bush Seed Pack,Nasiona Trójnika Pustynnego
Crimini Mushroom Spores Pack,Zarodniki Pieczarki
Deeds,Akty własności
Fern Spore Pack,Zarodniki paproci
Fir Seed Pack,Nasiona Jodły
Fireweed Seed Pack,Paczka nasion Wierzbówki
Grass Seed Pack,Nasiona Trawy Kępiastej
Huckleberry Seed Pack,Nasiona Jagody
Kelp Seed Pack,Nasiona Listownicy
Nuclear Fuel,Paliwo nuklearne
Papers,Papiery
Plastics,Plastiki
Prickly Pear Seed Pack,Nasiona opuncji
Rice Pack,Paczka ryżu
Smog,
Strange Fuel,Dziwne Paliwo
Sugarcane Pack,Trzcina cukrowa
Tomato Seed Pack,Nasiona Pomidora
Urchins,Jeżowce
Vehicle Tool Toggle,Przełącznik narzędzia pojazdu
Waterweed Seed Pack,Nasiona Moczarki
Wheat Seed Pack,Nasiono pszenicy
Advanced Baking Skill Book,Zaawansowane pieczenie - Podręcznik
Advanced Cooking Skill Book,Zaawansowane gotowanie - Podręcznik
Advanced Smelting Skill Book,Zaawansowane hutnictwo - Podręcznik
Baking Skill Book,Pieczenie - Podręcznik
Basic Engineering Skill Book,Podstawowa inżynieria - Podręcznik
Butchery Skill Book,Rzeźnictwo - Podręcznik
Cooking Skill Book,Gotowanie - Podręcznik
Cutting Edge Cooking Skill Book,Nowoczesne gotowanie - Podręcznik
Electronics Skill Book,Elektronika - Podręcznik
Farming Skill Book,Rolnictwo - Podręcznik
Fertilizers Skill Book,Nawozy - Podręcznik
Glassworking Skill Book,Obróbka Szkła - Podręcznik
Industry Skill Book,Przemysł - Podręcznik
Mechanics Skill Book,Mechanika - Podręcznik
Milling Skill Book,Frezowanie - Podręcznik
Oil Drilling Skill Book,Wydobycie Ropy - Podręcznik
Paper Milling Skill Book,Papiernia - Podręcznik
Smelting Skill Book,Hutnictwo - Wydajność
Tailoring Skill Book,Krawiectwo - Podręcznik
Advanced Baking Skill Scroll,Zaawansowane pieczenie - Certyfikat
Advanced Cooking Skill Scroll,Zaawansowane gotowanie - Certyfikat
Advanced Smelting Skill Scroll,Zaawansowane hutnictwo - Certyfikat
Baking Skill Scroll,Piekarstwo - Certyfikat
Basic Engineering Skill Scroll,Podstawy Inżynierii - Certyfikat
Butchery Skill Scroll,Rzeźnictwo - Podręcznik
Cooking Skill Scroll,Gotowanie - Certyfikat
Cutting Edge Cooking Skill Scroll,Gotowanie Zaawansowane - Certyfikat
Electronics Skill Scroll,Elektronika - Certyfikat
Farming Skill Scroll,Rolnictwo - Certyfikat
Fertilizers Skill Scroll,Nawożenie - Certyfikat
Glassworking Skill Scroll,Obróbka szkła - Certyfikat
Industry Skill Scroll,Przemysł - Certyfikat
Mechanics Skill Scroll,Mechanika - Certyfikat
Milling Skill Scroll,Mielenie - Certyfikat
Oil Drilling Skill Scroll,Wydobycie ropy - Certyfikat
Paper Milling Skill Scroll,Papiernictwo - Certyfikat
Smelting Skill Scroll,Hutnictwo - Podręcznik
Tailoring Skill Scroll,Krawiectwo - Certyfikat
Carpenter,Cieśla
Chef,Kuchmistrz
Engineer,Inżynier
Farmer,Rolnik
Farmers,Rolnicy
Hunter,Łowca
Mason,Murarz
Smith,Kowal
Survivalist,Umiejętność Przetrwania
Tailor,Krawiec
Axes,Siekiery
