English,Russian
"Only {0} tilled spaces found on property, {1} needed.","Только {0} вспаханной земли найдено во владениях, необходимо {1}."
Mow,Косить
No property specified for clause.,Для условия не определено владение.
Debris/stumps still on property at {0}.,Все ещё остались обломки или пни во владении на {0}.
Move items from {0} to {1}.,Переместить вещи из {0} в {1}.
Can't place a block there,Нельзя поставить блок сюда
No block to pick up,Нет блоков для взятия
That is not a clothing item,Это не надевается
You equipped {0},Вы надели {0}
Your {0} broke!  It will be much less efficient until repaired.,У Вас ломается {0}! Без ремонта эффективность значительно снизится.
You are not authorized to remove items from that.,Вам не разрешено убирать предметы отсюда.
You are not authorized to put items into that.,Вам не разрешено класть предметы сюда.
Can't select {0} while carrying {1}.,Нельзя выбрать {0} во время переноса {1}.
Skill Benefits,Преимущества навыка
Couldn't find any items matching {0},"Не удалось найти предметов, подходящих для {0}"
"Multiple items found matching, use more specific string: {0}","Найдено множество совпадающих элементов, используйте более точную строку: {0}"
Cannot plant on a spot occupied by {0},"Нельзя сажать на место, занятое {0}"
Plant already exists there.,Тут уже есть растение.
Unknown plant type: {0},Неизвестный тип растения: {0}
You have too many Skill Scrolls already.,У вас уже слишком много страниц навыков.
Only {0} can collect that,Только {0} может забрать это
"Can't place there, blocked.","Невозможно разместить здесь, заблокировано."
This plant is dead.,Растение мертво.
Atmosphere:({0}),Атмосфера:({0})
Balanced Multiplier: {0},Множитель баланса: {0}
Base Gain: {0},Базовый прирост: {0}
Calories,Калории
Waste,Отходы
Nutrition,Питание
Stomach Contents,Содержимое желудка
full,полный
You are not logged in,Вы не авторизованы в игре
You have kicked {0},Вы выгнали {0}
{0} is not online,{0} вне игры
Your Steam id is {0}.,Ваш Steam идентификатор {0}.
Your SLG id is {0}.,Ваш SLG идентификатор {0}.
{0} is not logged in to a Steam account.,{0} не авторизован в Steam.
{0}'s Steam id is {1}.,Идентификатор {0} в Steam – {1}.
{0} is not logged in to an SLG account.,{0} не авторизован в SLG.
{0} World Marker,{0} Глобальная метка
Located {0:distance and direction} at {1}.,Расположен {0:distance and direction} на {1}.
Link added to clipboard.,Ссылка добавлена в буфер обмена.
Waypoint added.,Метка добавлена.
Cleared all non-global markers.,Очищены все не глобальные метки.
{0} set their objective: {1},{0} объявляет о своей цели: {1}
You already own this deed.,Это и так ваше право.
Room had no ceiling at {0}.,У комнаты нет потолка в {0}.
Room is flooded at {0},Комната затоплена в {0}
'{0}' is not a valid tier number,'{0}' несуществующий уровень блоков
Must be contained within a room,Необходимо размещать в помещении
Contained within a room,Расположен в помещении
Pressure:{0}atm,Давление:{0}атм
Current skill rate is {0}.,Текущий прирост очков навыков {0}.
{0} has issued you a warning. {1},{0} выдаёт вам предупреждение. {1}
You have sent a warning to {0},Вы отправили предупреждение {0}
Bad elk meat?,Плохое мясо вапити?
Time for some government spending!,Настало время для государственных расходов!
Gabe has made it rain.,Гейб вызвал дождь.
You gave {0} skillpoints to {1},Вы передаёте {0} очков навыков для {1}
Atmosphere added.,Атмосфера добавлена.
You gave {0} plots to {1}.,Вы передали {0} земельных участков для {1}.
You gained {0} plots.,Вы получили участков – {0}.
With great power comes great responsibility,С большой властью приходит большая ответственность
Selected item doesn't have durability.,Выбранный предмет не имеет прочности.
Durability set to {0},Прочность установлена на {0}
Finished in {0},Завершится через {0}
{0} commands:,Уровень команд - {0}:
Online: {0},В сети: {0}
You are a {0},Вы {0}
{0} is not a world layer.,{0} не является слоем мира.
Missing Location,Местоположение отсутствует
"Can't add tutorial item to inventory, no room.","Не удаётся добавить учебный предмет в инвентарь, нет места."
Building Blocks...,Строятся блоки...
{0} has no access rights for {1} at {2}.,{0} не имеет прав доступа для {1} в {2}.
{0} not selected.,{0} не выбран.
{0} cannot accept items of type {1}.,{0} не может принять элементы типа {1}.
Need to add {0} to {1}.,Необходимо добавить {0} к {1}.
Button pressed.,Нажата кнопка.
meters,метра(ов) на
Plant,Растение
This plant is dead. {0},Растение мертво. {0}
Calories Available: {0},Доступно калорий: {0}
Calories Required per Organism: {0},Необходимые калории для организма: {0}
Amount of {0} Available: {1},Доступное количество {0}: {1}
Log is not ready for harvest.  Remove all branches first.,Бревно не готово к сбору. Сперва отрубите все ветки.
"Log is too large to pick up, slice into smaller pieces first.","Бревно слишком большое, чтобы поднять. Разрубите на более мелкие части."
You are already carrying {0:items} and cannot pick up {1:items}.,Вы уже несёте {0:items} и не можете поднять ещё {1:items}.
You must obtain authorization to shoot {0}.,Вы обязаны получить разрешение для отстрела {0}.
Axe,Топор
Pickaxe,Кирка
Scythe,Коса
Shovel,Лопата
Iron Axe,Железный топор
Iron Hammer,Железный молоток
Iron Hoe,Железная тяпка
Iron Pickaxe,Железная кирка
Iron Shovel,Железная лопата
Modern Axe,Современный топор
Modern Hammer,Современный молоток
Modern Hoe,Современная тяпка
Modern Pickaxe,Современная кирка
Modern Scythe,Современная коса
Modern Shovel,Современная лопата
Steel Axe,Стальной топор
Steel Hammer,Стальной молоток
Steel Hoe,Стальная тяпка
Steel Pickaxe,Стальная кирка
Steel Shovel,Стальная лопата
Stone Axe,Каменный топор
Stone Hammer,Каменный молоток
Stone Pickaxe,Каменная кирка
Wooden Hoe,Деревянная тяпка
Wooden Shovel,Деревянная лопата
Bow,Лук
Amanita Mushrooms,Мухоморы
Beet,Свёкла
Corn,Кукуруза
Crimini Mushrooms,Шампиньоны
Fiddleheads,Побеги папоротника
Fireweed Shoots,Побеги Иван-чая
Giant Cactus Fruit,Плод сагуаро
Huckleberries,Черника
Prickly Pear Fruit,Плод опунции
Tomato,Помидор
Wheat,Пшеница
Plant Fibers,Растительные волокна
Acorn,Жёлудь
Beans,Бобы
Beet Seed,Семечко свёклы
Birch Seed,Семечко берёзы
Bunchgrass Seed,Семечко осоки
Camas Bulb,Луковица камассии
Cedar Seed,Семечко кедра
Corn Seed,Семечко кукурузы
Creosote Bush Seed,Семечко ларреи
Crimini Mushroom Spores,Споры шампиньонов
Fern Spore,Спора папоротника
Fireweed Seed,Семечко иван-чая
Fir Seed,Семечко пихты
Grass Seed,Семечко травы
Huckleberry Seed,Семечко черники
Prickly Pear Seed,Семечко опунции
Rice,Рис
Tomato Seed,Семечко помидора
Wheat Seed,Семечко пшеницы
Leather Hide,Кожа
Cloth,Ткань
Cellulose Fiber,Целлюлозное волокно
Fur Pelt,Мех
Composite Filler,Композитный наполнитель
Huckleberry Extract,Экстракт черники
Berry Extract Fertilizer,Удобрение из ягодного экстракта
Pulp Filler,Древесный наполнитель
Scrap Meat,Мясные обрезки
Blood Meal Fertilizer,Удобрение из кровяной муки
Fiber Filler,Волоконный наполнитель
Charred Camas Bulb,Обжаренная луковица камассии
Camas Ash Fertilizer,Удобрение из пепла камассии
Dirt,Земля
Hide Ash Fertilizer,Зольное удобрение из шкуры
Pelt Fertilizer,Удобрение из меха
Stone,Камень
Phosphate Fertilizer,Фосфорное удобрение
Wood Pulp,Древесная масса
Acorn Powder,Мука из желудей
Raw Meat,Сырое мясо
Baked Meat,Запечённое мясо
Raw Roast,Мясо для жаркого
Baked Roast,Запечённое жаркое
Tallow,Сало
Bannock,Пресная лепёшка
Bean Paste,Бобовая паста
Flour,Мука
Sugar,Сахар
Yeast,Дрожжи
Bearclaw,Пирог «Медвежий коготь»
Prime Cut,Вырезка
Vegetable Medley,Овощная смесь
Meat Stock,Мясной бульон
Infused Oil,Масляный настой
Bear S U P R E M E,Блюдо «Матёрый медведь»
Raw Sausage,Сырая сарделька
Boiled Sausage,Варёная сосиска
Bread,Хлеб
Camas Paste,Паста из камассии
Camas Bread,Хлеб с камассией
Camas Bulb Bake,Запечённая луковица камассии
Campfire Roast,Жаркое на костре
Campfire Stew,Рагу на костре
Charred Beet,Свёкла на углях
Charred Corn,Кукуруза на углях
Raw Fish,Сырая рыба
Charred Fish,Жареная на костре рыба
Charred Meat,Жареное на костре мясо
Charred Sausage,Сарделька на углях
Charred Tomato,Помидор на углях
Steel,Сталь
Cornmeal,Кукурузная мука
Oil,Масло
Corn Fritters,Кукурузные оладьи
Corn Starch,Кукурузный крахмал
Basic Salad,Простой салат
Crimson Salad,Винегрет
Raw Bacon,Сырой бекон
Crispy Bacon,Хрустящий бекон
Tortilla,Тортилья
Wild Mix,Смесь диких растений
Elk Taco,Тако с олениной
Elk Wellington,Оленина «Веллингтон»
Flatbread,Лепёшка
Prepared Meat,Обработанное мясо
Fried Hare Haunches,Жаренное филе зайца
Fried Tomatoes,Жареные помидоры
Huckleberry Pie,Черничный пирог
Hydrocolloids,Загуститель
Liquid Nitrogen,Жидкий азот
Simple Syrup,Простой сироп
Maltodextrin,Патока
Meat Pie,Мясной пирог
Cereal Germ,Зародыш зерна
Seared Meat,Обжаренное мясо
Simmered Meat,Тушёное мясо
Stuffed Turkey,Фаршированная индейка
Fruit Salad,Фруктовый салат
Sweet Salad,Сладкий салат
Transglutaminase,Трансглютаминаза
Vegetable Stock,Овощной бульон
Vegetable Soup,Овощной суп
Wild Stew,Рагу из диких растений
Wilted Fiddleheads,Увядшие побеги папоротника
Piston,Поршень
Valve,Клапан
Servo,Сервопривод
Circuit,Электросхема
Advanced Combustion Engine,Улучшенный двигатель внутреннего сгорания
Log,Бревно
Arrow,Стрела
Concrete,Цемент
Asphalt Ramp,Асфальтовая рампа
Barrel,Бочка
Biodiesel,Биодизель
Board,Доска
Brick,Кирпич
Lumber,Пиломатериал
Charcoal,Древесный уголь
Substrate,Подложка
Copper Wiring,Медный провод
Gold Flakes,Чешуйки золота
Gearbox,Коробка передач
Combustion Engine,Двигатель внутреннего сгорания
Copper Ore,Медная руда
Copper Pipe,Медная труба
Corrugated Steel,Гофрированная сталь
Deed,Право
Dirt Ramp,Земляная рампа
Electric Motor,Электродвигатель
Petroleum,Нефть
Epoxy,Эпоксидная смола
Plastic,Пластик
Glass,Стекло
Fiberglass,Стекловолокно
Fishing Pole,Удочка
Flat Steel,Листовая сталь
Framed Glass,Обрамлённое стекло
Gasoline,Бензин
Gear,Шестерёнка
Sand,Песок
Gold Ore,Золотая руда
Hewn Log,Тёсаное бревно
Iron Ore,Железная руда
Iron Pipe,Железная труба
Mortared Stone,Строительный камень
Paper,Бумага
Rebar,Арматура
Reinforced Concrete,Железобетон
Rivet,Заклёпка
Soil Sampler,Анализатор почвы
Steel Pipe,Стальная труба
Stone Ramp,Каменная рампа
Stone Road,Каменная дорога
Torch,Факел
Bison Carcass,Туша бизона
Elk Carcass,Туша вапити
Fox Carcass,Туша лисы
Hare Carcass,Тушка зайца
Turkey Carcass,Туша индейки
Wolf Carcass,Туша волка
Salmon,Лосось
Trout,Форель
Tuna,Тунец
Urchin,Морской ёж
Kelp,Ламинария
Clam,Моллюск
Coal,Уголь
Waterwheel,Водяное колесо
Anvil,Наковальня
Bakery Oven,Печь для выпечки
Blast Furnace,Доменная печь
Bloomery,Сыродутная печь
Bookshelf,Книжный шкаф
Brazier,Жаровня
Butchery Table,Разделочный стол
Campfire,Костёр
Candle Stand,Подсвечник
Carpentry Table,Плотницкий верстак
Cast Iron Stove,Чугунная плита
Ceiling Candle,Люстра со свечами
Cement Kiln,Барабанная печь
Chair,Стул
Combustion Generator,Генератор внутреннего сгорания
Computer Lab,Компьютерная лаборатория
Construction Post,Строительный знак
Contract Board,Доска объявлений
Couch,Диван
Currency Exchange,Пункт обмена валюты
Electric Wall Lamp,Электрическая настенная лампа
Electronics Assembly,Сборщик электроники
Farmers Table,Фермерский стол
Fishery,Шкаф рыбака
Fish Trap,Верша
Icebox,Ледник
Kiln,Печь для обжига
Laboratory,Лаборатория
Laser,Лазер
Wooden Latrine,Деревянный туалет
Masonry Table,Верстак каменщика
Mill,Мельница
Mint,Пресс для чеканки монет
Oil Refinery,Нефтеперерабатывающий завод
Padded Chair,Кресло
Round Pot,Круглый горшок
Square Pot,Квадратный горшок
Pump Jack,Нефтяная вышка
Refrigerator,Холодильник
Research Table,Стол для исследований
Rolling Mill,Прокатный стан
Medium Rug,Средний ковёр
Small Rug,Маленький коврик
Salt Basket,Корзина с солью
Sawmill,Лесопилка
Shelf Cabinet,Сервант
Solar Generator,Солнечный генератор
Stockpile,Склад
Stone Brazier,Каменная жаровня
Storage Chest,Сундук
Stove,Плита
Streetlamp,Уличный фонарь
Tailoring Table,Стол портного
Tallow Candle,Сальная свеча
Tallow Lamp,Сальная лампа
Tallow Wall Lamp,Настенная сальная лампа
Torch Stand,Стойка для факела
Treasury,Казна
Wainwright Table,Верстак колесника
Wall Candle,Настенная свеча
Washboard,Стиральная доска
Washing Machine,Стиральная машина
Windmill,Ветряная мельница
Wind Turbine,Ветряная турбина
Wooden Fabric Bed,Деревянная кровать с матрасом
Wooden Straw Bed,Деревянная кровать с соломой
Wood Sign,Деревянная табличка
Workbench,Верстак
Advanced Baking,Продвинутая выпечка
Advanced Cooking,Продвинутая кулинария
Advanced Smelting,Продвинутая выплавка
Baking,Выпечка
Basic Engineering,Основы инженерного дела
Butchery,Разделка животных
Campfire Cooking,Готовка на костре
Cement,Цемент
Cooking,Готовка
Cutting Edge Cooking,Передовая кулинария
Digging,Копание
Electronics,Электроника
Farming,Фермерство
Fertilizers,Удобрения
Fishing,Рыбалка
Gathering,Собирательство
Glassworking,Обработка стекла
Hewing,Обтёсывание
Hunting,Охота
Industry,Промышленность
Logging,Заготовка леса
Mechanics,Механика
Milling,Мельничное дело
Mining,Горное дело
Oil Drilling,Добыча нефти
Paper Milling,Производство бумаги
Self Improvement,Самосовершенствование
Smelting,Выплавка
Tailoring,Портняжное дело
Woodworking,Обработка дерева
Backpack,Рюкзак
Backpacks,Рюкзака(ов)
Chat Log,История сообщений
Objectives,Цели
Alpha Cloak,Альфа плащ
Alpha Cloaks,Альфа плащей
Alpha Goggles,Альфа очки
Alpha Hat,Альфа шляпа
Alpha Hats,Альфа шляпы
Basic Backpack,Простой рюкзак
Bearpack,Медвежий рюкзак
Big Backpack,Большой рюкзак
Blinky Eyelids,Моргающие веки
Camo Pants,Камуфляжные штаны
Camo Shirt,Камуфляжная рубашка
Capris,Короткие брюки
Derpy Hat,Неуклюжая шляпа
Fit Torso,Накачанный торс
Garden Boots,Садовые сапоги
Gigot Sleeve Shirt,Рубашка с пышными рукавами
Hardy Beard,Суровая борода
Henley,Хенли
Human Limbs,Человеческие конечности
Light Backpack,Лёгкий рюкзак
Low Top Shoes,Кеды
Normal Hair,Обычные волосы
Peasant Hair,Косички
Rounded Face,Круглое лицо
Running Shoes,Беговые кеды
Scruffy Hair,Взлохмаченные волосы
Short Beard,Короткая борода
Square Belt,Ремень с квадратной пряжкой
Square Jaw,Квадратная челюсть
Tall Boots,Сапоги
Trousers,Брюки
Wolf Whisperer Hat,Шляпа говорящего с волками
Wolf Whisperer Hats,Шляпы говорящего с волками
Wolf Whisperer Mask,Маска говорящего с волками
Wolf Whisperer Masks,Маски говорящего с волками
Wolf Whisperer Shirt,Рубашка говорящего с волками
Wolf Whisperer Shirts,Рубашки говорящего с волками
Work Backpack,Рабочий рюкзак
Work Boots,Рабочие ботинки
Bricks,Кирпича(ей)
Logs,Брёвна
Sands,Песка
Sewage,Канализация
Tailings,Хвосты
Tree Debris,Обломки дерева
Wire,Провод
Wires,Связи
Beets,Свекла
Boiled Sausages,Варёные сардельки
Camas Bulbs,Луковиц(ы) камассии
Corns,Кукурузы
Ecoylent,Эколиксир
Fruit Salads,Фруктовые салаты
Kelp Seed,Семя бурой водоросли
Milk,Молоко
Sugarcane,Сахарный тростник
Tomatoes,Помидоры
Tortillas,Тортильи
Waterweed Seed,Семечко элодеи
Acorn Pack,Упаковка желудей
Arrows,Стрел(ы)
Beans Pack,Упаковка бобов
Beet Seed Pack,Упаковка семян свёклы
Birch Seed Pack,Упаковка семян берёзы
Boards,Доски
Bunchgrass Seed Pack,Упаковка семян осоки
Camas Bulb Pack,Упаковка луковиц камассии
Cedar Seed Pack,Упаковка семян кедра
Clams,Моллюски
Corn Seed Pack,Упаковка семян кукурузы
Creosote Bush Seed Pack,Упаковка семян ларреи
Crimini Mushroom Spores Pack,Упаковка спор шампиньонов
Deeds,Права
Fern Spore Pack,Упаковка спор папоротника
Fir Seed Pack,Упаковка семян пихты
Fireweed Seed Pack,Упаковка семян иван-чая
Grass Seed Pack,Упаковка семян травы
Huckleberry Seed Pack,Упаковка семян черники
Kelp Seed Pack,Упаковка семян ламинарии
Nuclear Fuel,Ядерное топливо
Papers,Производства бумаги
Plastics,Пластик
Prickly Pear Seed Pack,Упаковка семян опунции
Rice Pack,Упаковка риса
Smog,Смог
Strange Fuel,Странное топливо
Sugarcane Pack,Упаковка сахарного тростника
Tomato Seed Pack,Упаковка семян помидора
Urchins,Морские ежи
Vehicle Tool Toggle,Переключатель режима транспорта
Waterweed Seed Pack,Упаковка семян элодеи
Wheat Seed Pack,Упаковка семян пшеницы
Advanced Baking Skill Book,Книга о продвинутой выпечке
Advanced Cooking Skill Book,Книга о продвинутой кулинарии
Advanced Smelting Skill Book,Книга о продвинутой выплавке
Baking Skill Book,Книга о выпечке
Basic Engineering Skill Book,Книга о основах инженерного дела
Butchery Skill Book,Книга про разделку животных
Cooking Skill Book,Книга о кулинарии
Cutting Edge Cooking Skill Book,Книга о передовой кулинарии
Electronics Skill Book,Книга по электронике
Farming Skill Book,Книга о фермерстве
Fertilizers Skill Book,Книга об удобрениях
Glassworking Skill Book,Книга об обработке стекла
Industry Skill Book,Книга по промышленности
Mechanics Skill Book,Книга о механике
Milling Skill Book,Книга о мельничном деле
Oil Drilling Skill Book,Книга о добыче нефти
Paper Milling Skill Book,Книга о производстве бумаги
Smelting Skill Book,Книга о выплавке
Tailoring Skill Book,Книга о портняжном деле
Advanced Baking Skill Scroll,Страница о продвинутой выпечке
Advanced Cooking Skill Scroll,Страница о продвинутой кулинарии
Advanced Smelting Skill Scroll,Страница о продвинутой выплавке
Baking Skill Scroll,Страница о выпечке
Basic Engineering Skill Scroll,Страница о основах инженерного дела
Butchery Skill Scroll,Страница про разделку животных
Cooking Skill Scroll,Страница о кулинарии
Cutting Edge Cooking Skill Scroll,Страница о передовой кулинарии
Electronics Skill Scroll,Страница по электронике
Farming Skill Scroll,Страница о фермерстве
Fertilizers Skill Scroll,Страница об удобрениях
Glassworking Skill Scroll,Страница об обработке стекла
Industry Skill Scroll,Страница о промышленности
Mechanics Skill Scroll,Страница о механике
Milling Skill Scroll,Страница о мельничном деле
Oil Drilling Skill Scroll,Страница о добыче нефти
Paper Milling Skill Scroll,Страница о производстве бумаги
Smelting Skill Scroll,Страница о выплавке
Tailoring Skill Scroll,Страница о портняжном деле
Carpenter,Плотник
Chef,Повар
Engineer,Инженер
Farmer,Фермер
Farmers,Фермера(ов)
Hunter,Охотник
Mason,Каменщик
Smith,Кузнец
Survivalist,Выживальщик
Tailor,Портной
Axes,Топоры
Dev Flood Tool,Инструмент разработчика - осушение
Dev Tool,Инструмент разработчика
Ecko The Dolphin,Дельфин Эcко
Fishing Poles,Удочки
Hammer,Молоток
Hoe,Мотыга
Hoes,Мотыги
Hydrometer,Гигрометр
Meteor Shard,Осколок метеорита
Meteor Shards,Осколки Астероида
Road Tool,Ручная трамбовка
Bookshelves,Книжные шкафы
Button,Кнопка
Buttons,Кнопки
Carved Pumpkin,Резная тыква
Door,Дверь
Doors,Двери
Ecko Statue,Статуя Эcко
Excavator,Экскаватор
Lasers,Лазеры
Mills,Мельницы
Powered Cart,Повозка с мотором
Small Wood Cart,Маленькая деревянная телега
Switch,Переключатель
Tables,Столы
Transmission Pole,Опора линии электропередач
Wood Cart,Деревянная тележка
{0} has returned to the game (Last online {1} ago).,{0} вернулся в игру (Последний раз в сети {1} назад).
Vitamins,Витамины
Eat Food,Питание
Mouse-over the food in your toolbar to examine its nutrients.,"Наведите курсор на еду в своей панели, чтобы просмотреть её питательные вещества."
Eat food containing carbohydrates.,"Съешьте еду, содержащую углеводы."
Eat food containing protein.,"Съешьте еду, содержащую белки."
Eat food containing fat.,"Съешьте еду, содержащую жиры."
Eat food containing vitamins.,"Съешьте еду, содержащую витамины."
Authorized,Свой
{0} has left the game,{0} покинул игру
Controls,Управление
Connecting...,Соединение...
Shift,
Impact in:,Столкновение через:
Text,Текст
Auth,Доступ
Enter text,Введите текст
Public,Общий
stuff,материал
Settings inherited from deed,Параметры унаследованы с Права собственности
Chop a tree until it falls over.,"Рубите дерево до тех пор, пока оно не упадёт."
Pick up the pieces with 'E'.,"Поднимите части с помощью ""E""."
Open the Map.,Откройте карту.
You can see the marker in the world. Click the arrow to bring up options or remove it.,"Вы можете увидеть метку в мире. Нажмите на стрелку, чтобы показать настройки или удалить её."
Tools,Инструменты
You received,Вы получили
Unauthorized\n,Гость\n
Username,Имя пользователя
Authorized\n,Свой\n
password,пароль
Logging in...,Вход в систему...
calorie consumption,расход калорий
Decreases,Уменьшается
damage,урон
Increases,Увеличивает
repair cost,стоимость ремонта
harvest yield,урожайность
{0} Recipe,Рецепт: {0}
craft time,время изготовления
You,Вы
carry weight,переносимый вес
calorie cost,затраты калорий
how close you can approach animals,вашу незаметность для животных
Bucks,Бакса(ов)
Queued Projects,Очередь проектов
Currency Exchange is disabled (room requirements not met?),Обмен Валют отключён (помещение не соответствует требованиям?)
Selling,Продажа
Buying,Покупка
Balances,Баланс
Click to give player reputation.,"Нажмите, чтобы работать с репутацией игрока."
payment,оплата
value,
Variants,Варианты
Tier {0},Уровень {0}
{0} output,Выход {0}
Plots,Участка(ов)
Weight: {0}kg,Вес: {0}кг
This item can only be carried.,Этот предмет можно только переносить.
Crafted At,Создаётся в
