English,BrazilianPortuguese
Gabe has made it rain.,Gabe fez chover.
You gave {0} skillpoints to {1},Você deu {0} pontos de habilidade para {1}
Atmosphere added.,Atmosfera adicionada.
You gave {0} plots to {1}.,Você deu {0} lotes para {1}.
You gained {0} plots.,Você recebeu {0} lotes.
With great power comes great responsibility,Com grandes poderes vêm grandes responsabilidades
Selected item doesn't have durability.,O item selecionado não tem durabilidade.
Durability set to {0},Durabilidade definida para {0}
Finished in {0},Concluído em {0}
{0} commands:,Comandos de {0}:
Online: {0},
You are a {0},Você é {0}
{0} is not a world layer.,{0} não é uma camada do mundo.
Missing Location,Faltando Localização
"Can't add tutorial item to inventory, no room.","Não é possível adicionar item de tutorial no inventário, sem espaço."
Building Blocks...,Blocos de Construção...
{0} has no access rights for {1} at {2}.,{0} não tem direitos de acesso para {1} em {2}.
{0} not selected.,{0} não selecionado.
{0} cannot accept items of type {1}.,{0} não pode aceitar itens do tipo {1}.
Need to add {0} to {1}.,Precisa adicionar {0} para {1}.
Button pressed.,Botão pressionado.
meters,metros
Plant,Plantar
This plant is dead. {0},Esta planta está morta. {0}
Calories Available: {0},Calorias Disponíveis: {0}
Calories Required per Organism: {0},Calorias Necessárias por Organismo: {0}
Amount of {0} Available: {1},Quantidade de {0} Disponível: {1}
Log is not ready for harvest.  Remove all branches first.,O tronco não está pronto para colheita. Remova os galhos antes.
"Log is too large to pick up, slice into smaller pieces first.","O tronco é muito grande para pegar, corte em pedaços menores primeiro."
You are already carrying {0:items} and cannot pick up {1:items}.,Você já está carregando {0:items} e não consegue pegar {1:items}.
You must obtain authorization to shoot {0}.,Você precisa obter autorização para atirar {0}.
Axe,Machado
Pickaxe,Picareta
Scythe,Foice
Shovel,Pá
Iron Axe,Machado de Ferro
Iron Hammer,Martelo de Ferro
Iron Hoe,Enxada de Ferro
Iron Pickaxe,Picareta de Ferro
Iron Shovel,Pá de Ferro
Modern Axe,Machado Moderno
Modern Hammer,Martelo Moderno
Modern Hoe,Enxada Moderna
Modern Pickaxe,Picareta Moderna
Modern Scythe,Foice Moderna
Modern Shovel,Pá Moderna
Steel Axe,Machado de Aço
Steel Hammer,Martelo de Aço
Steel Hoe,Enxada de Aço
Steel Pickaxe,Picareta de Aço
Steel Shovel,Pá de Aço
Stone Axe,Machado de Pedra
Stone Hammer,Martelo de Pedra
Stone Pickaxe,Picareta de Pedra
Wooden Hoe,Enxada de Madeira
Wooden Shovel,Pá de Madeira
Bow,Arco
Amanita Mushrooms,Cogumelos amanita
Beet,Beterraba
Corn,Milho
Crimini Mushrooms,Cogumelos champignon
Fiddleheads,Broto de samambaia
Fireweed Shoots,Botão de fireweed
Giant Cactus Fruit,Fruto de cacto gigante
Huckleberries,Mirtilos
Prickly Pear Fruit,Fruta de pera espinhosa
Tomato,Tomate
Wheat,Trigo
Plant Fibers,Fibras de Plantas
Acorn,Bolota
Beans,Feijões
Beet Seed,Semente de Beterraba
Birch Seed,Semente de Bétula
Bunchgrass Seed,Semente de Capim
Camas Bulb,Bulbo de Camassia
Cedar Seed,Semente de Cedro
Corn Seed,Semente de Milho
Creosote Bush Seed,Semente de Arbusto de Creosoto
Crimini Mushroom Spores,Esporos de Cogumelo Champignon
Fern Spore,Esporos de Samambaia
Fireweed Seed,Semente de Fireweed
Fir Seed,Semente de Abeto
Grass Seed,Semente de Grama
Huckleberry Seed,Semente de Mirtilo
Prickly Pear Seed,Semente de Pera Espinhosa
Rice,Arroz
Tomato Seed,Semente de Tomate
Wheat Seed,Semente de Trigo
Leather Hide,Pele de Couro
Cloth,Tecido
Cellulose Fiber,Fibra de Celulose
Fur Pelt,Peles Felpudas
Composite Filler,Enchimento Composto
Huckleberry Extract,Extrato de mirtilo
Berry Extract Fertilizer,Fertilizante de Extrato de Baga
Pulp Filler,Enchimento de Polpa
Scrap Meat,Sobras de carne
Blood Meal Fertilizer,Fertilizante de Sangue em Pó
Fiber Filler,Enchimento de Fibra
Charred Camas Bulb,Bulbo de camassia tostado
Camas Ash Fertilizer,Fertilizante de Cinzas de Camassia
Dirt,Terra
Hide Ash Fertilizer,Fertilizante de Cinzas de Couro
Pelt Fertilizer,Fertilizante de Pele
Stone,Pedra
Phosphate Fertilizer,Fertilizante de Fosfato
Wood Pulp,Polpa de Madeira
Acorn Powder,Pó de bolota
Raw Meat,Carne crua
Baked Meat,Carne assada
Raw Roast,Copa crua
Baked Roast,Copa assada
Tallow,Sebo
Bannock,
Bean Paste,Pasta de feijão
Flour,Farinha
Sugar,Açúcar
Yeast,Fermento
Bearclaw,Garra de urso
Prime Cut,Carne de primeira
Vegetable Medley,Mistura de vegetais
Meat Stock,Caldo de carne
Infused Oil,Óleo infundido
Bear S U P R E M E,Urso S U P R E M O
Raw Sausage,Linguiça crua
Boiled Sausage,Linguiça cozida
Bread,Pão
Camas Paste,Pasta de camassia
Camas Bread,Pão de camassia
Camas Bulb Bake,Bulbo de camassia assado
Campfire Roast,Copa feita na fogueira
Campfire Stew,Ensopado Feito na Fogueira
Charred Beet,Beterraba tostada
Charred Corn,Milho tostado
Raw Fish,Peixe cru
Charred Fish,Peixe tostado
Charred Meat,Carne tostada
Charred Sausage,Linguiça tostada
Charred Tomato,Tomate tostado
Steel,Aço
Cornmeal,Farinha de milho
Oil,Óleo
Corn Fritters,Bolinho de milho
Corn Starch,Amido de milho
Basic Salad,Salada básica
Crimson Salad,Salada carmesim
Raw Bacon,Bacon cru
Crispy Bacon,Bacon crocante
Tortilla,Tortilha
Wild Mix,Mistura selvagem
Elk Taco,Taco de alce
Elk Wellington,Bife Wellington de alce
Flatbread,Pão achatado
Prepared Meat,Carne preparada
Fried Hare Haunches,Coxas de lebre fritas
Fried Tomatoes,Tomates fritos
Huckleberry Pie,Torta de mirtilo
Hydrocolloids,Hidrocolóides
Liquid Nitrogen,Nitrogênio líquido
Simple Syrup,Xarope simples
Maltodextrin,Maltodextrina
Meat Pie,Torta de carne
Cereal Germ,Gérmen de cereal
Seared Meat,Carne grelhada
Simmered Meat,Carne cozida
Stuffed Turkey,Peru recheado
Fruit Salad,Salada de frutas
Sweet Salad,Salada doce
Transglutaminase,
Vegetable Stock,Caldo de vegetais
Vegetable Soup,Sopa de vegetais
Wild Stew,Ensopado selvagem
Wilted Fiddleheads,Brotos de samambaia murchos
Piston,Pistão
Valve,Válvula
Servo,Servomotor
Circuit,Circuito
Advanced Combustion Engine,Motor de Combustão Avançado
Log,Tronco
Arrow,Flecha
Concrete,Concreto
Asphalt Ramp,Rampa de Asfalto
Barrel,Barril
Biodiesel,
Board,Tábua
Brick,Tijolo
Lumber,Madeira serrada
Charcoal,Carvão Vegetal
Substrate,Substrato
Copper Wiring,Fiação de Cobre
Gold Flakes,Flocos de Ouro
Gearbox,Caixa de Transmissão
Combustion Engine,Motor de Combustão
Copper Ore,Minério de Cobre
Copper Pipe,Tubo de cobre
Corrugated Steel,Aço corrugado
Deed,Escritura
Dirt Ramp,Rampa de terra
Electric Motor,Motor Elétrico
Petroleum,Petróleo
Epoxy,Epóxi
Plastic,Plástico
Glass,Vidro
Fiberglass,Fibra de Vidro
Fishing Pole,Vara de Pesca
Flat Steel,Aço plano
Framed Glass,Vidro emoldurado
Gasoline,Gasolina
Gear,Engrenagem
Sand,Areia
Gold Ore,Minério de Ouro
Hewn Log,Madeira cortada
Iron Ore,Minério de Ferro
Iron Pipe,Tubo de ferro
Mortared Stone,Pedra argamassada
Paper,Papel
Rebar,Vergalhão
Reinforced Concrete,Concreto reforçado
Rivet,Rebite
Soil Sampler,Amostrador de Solo
Steel Pipe,Tubo de aço
Stone Ramp,Rampa de pedra
Stone Road,Estrada de pedra
Torch,Tocha
Bison Carcass,Carcaça de Bisão
Elk Carcass,Carcaça de Alce
Fox Carcass,Carcaça de Raposa
Hare Carcass,Carcaça de Lebre
Turkey Carcass,Carcaça de Peru
Wolf Carcass,Carcaça de Lobo
Salmon,Salmão
Trout,Truta
Tuna,Atum
Urchin,Ouriço-do-mar
Kelp,Alga
Clam,Amêijoa
Coal,Carvão
Waterwheel,Roda D'água
Anvil,Bigorna
Bakery Oven,Forno de Padaria
Blast Furnace,Alto-forno
Bloomery,Forja catalã
Bookshelf,Estante de Livro
Brazier,Braseiro
Butchery Table,Mesa de Açougue
Campfire,Fogueira
Candle Stand,Suporte de Vela
Carpentry Table,Mesa de carpintaria
Cast Iron Stove,Fogão de Ferro Fundido
Ceiling Candle,Vela de Teto
Cement Kiln,Forno de cimento
Chair,Cadeira
Combustion Generator,Gerador a Combustão
Computer Lab,Laboratório de Computação
Construction Post,Posto de Construção
Contract Board,Quadro de contrato
Couch,Sofá
Currency Exchange,Casa de câmbio
Electric Wall Lamp,Lâmpada Elétrica de Parede
Electronics Assembly,Montagem eletrônica
Farmers Table,Mesa de agricultor
Fishery,Mesa de pesca
Fish Trap,Armadilha de Pesca
Icebox,Caixa de Gelo
Kiln,Forno
Laboratory,Laboratório
Laser,
Wooden Latrine,Latrina de Madeira
Masonry Table,Mesa de alvenaria
Mill,Moedor
Mint,Prensa de cunhagem
Oil Refinery,Refinaria de petróleo
Padded Chair,Poltrona Acolchoada
Round Pot,Vaso Redondo
Square Pot,Vaso Quadrado
Pump Jack,Bomba petrolífera
Refrigerator,Refrigerador
Research Table,Mesa de pesquisa
Rolling Mill,Rolo de laminação
Medium Rug,Tapete Médio
Small Rug,Tapete Pequeno
Salt Basket,Cesta de Sal
Sawmill,Serraria
Shelf Cabinet,Armário com Prateleira
Solar Generator,Gerador Solar
Stockpile,Estoque em pilha
Stone Brazier,Braseiro de Pedra
Storage Chest,Baú de armazenamento
Stove,Fogão
Streetlamp,Lâmpada de Rua
Tailoring Table,Mesa de alfaiataria
Tallow Candle,Vela de Sebo
Tallow Lamp,Lâmpada de Sebo
Tallow Wall Lamp,Lâmpada de Parede de Sebo
Torch Stand,Suporte para Tocha
Treasury,Tesouraria
Wainwright Table,Mesa reta
Wall Candle,Vela de Parede
Washboard,Tábua de Lavar
Washing Machine,Máquina de Lavar
Windmill,Moinho de Vento
Wind Turbine,Turbina Eólica
Wooden Fabric Bed,Cama de Madeira e Tecido
Wooden Straw Bed,Cama de Madeira e Palha
Wood Sign,Placa de Madeira
Workbench,Bancada de trabalho
Advanced Baking,Assados Avançado
Advanced Cooking,Cozimento Avançado
Advanced Smelting,Fundição Avançada
Baking,Assados
Basic Engineering,Engenharia Básica
Butchery,Açougue
Campfire Cooking,Cozimento com Fogueira
Cement,Cimento
Cooking,Cozimento
Cutting Edge Cooking,Cozimento de Ponta
Digging,Escavação
Electronics,Eletrônica
Farming,Agricultura
Fertilizers,Fertilizantes
Fishing,Pesca
Gathering,Coleta
Glassworking,Trabalho com Vidro
Hewing,Cortar
Hunting,Caça
Industry,Indústria
Logging,Extração de Madeira
Mechanics,Mecânica
Milling,Moagem
Mining,Mineração
Oil Drilling,Perfuração de Petróleo
Paper Milling,Fabricação de Papel
Self Improvement,Auto-aperfeiçoamento
Smelting,Fundição
Tailoring,Alfaiataria
Woodworking,Carpintaria
Backpack,Mochila
Backpacks,Mochilas
Chat Log,Registros de bate-papo
Objectives,Objetivos
Alpha Cloak,Capa Alpha
Alpha Cloaks,Capas Alpha
Alpha Goggles,Óculos Alpha
Alpha Hat,Chapéu Alpha
Alpha Hats,Chapéus Alpha
Basic Backpack,Mochila Básica
Bearpack,Mochila de Urso
Big Backpack,Mochila Grande
Blinky Eyelids,Cílios
Camo Pants,Calças Camufladas
Camo Shirt,Camisa Camuflada
Capris,Calça Capri
Derpy Hat,Chapéu de Bobo
Fit Torso,Ajuste do Torso
Garden Boots,Botas de Jardim
Gigot Sleeve Shirt,Camisa de Manga Gigot
Hardy Beard,Barba Densa
Henley,Camiseta Henley
Human Limbs,Membros Humanos
Light Backpack,Mochila Leve
Low Top Shoes,Sapatos de Cano Baixo
Normal Hair,Cabelo Normal
Peasant Hair,Cabelo de Camponês
Rounded Face,Face Arredondada
Running Shoes,Tênis de Corrida
Scruffy Hair,Cabelo Desalinhado
Short Beard,Barba Curta
Square Belt,Cinto Quadrado
Square Jaw,Mandíbula Quadrada
Tall Boots,Botas Altas
Trousers,Calças
Wolf Whisperer Hat,Chapéu do Sussurrador de Lobo
Wolf Whisperer Hats,Chapéus do Sussurrador de Lobo
Wolf Whisperer Mask,Máscara do Sussurrador de Lobo
Wolf Whisperer Masks,Máscaras do Sussurrador de Lobo
Wolf Whisperer Shirt,Camisa do Sussurrador de Lobo
Wolf Whisperer Shirts,Camisas do Sussurrador de Lobo
Work Backpack,Mochila de Trabalho
Work Boots,Botas de Trabalho
Bricks,Tijolos
Logs,Troncos
Sands,Areias
Sewage,Esgoto
Tailings,Rejeitos
Tree Debris,Detritos de árvores
Wire,Fio
Wires,Fios
Beets,Beterrabas
Boiled Sausages,Linguiças Cozidas
Camas Bulbs,Bulbos de Camassia
Corns,Milhos
Ecoylent,Tônico Eco
Fruit Salads,Saladas de Fruta
Kelp Seed,Semente de Alga
Milk,Leite
Sugarcane,Cana-de-açúcar
Tomatoes,Tomates
Tortillas,Tortilhas
Waterweed Seed,Alga de Água Doce
Acorn Pack,Pacote de Bolota
Arrows,Flechas
Beans Pack,Pacote de Feijão
Beet Seed Pack,Pacote de Sementes de Beterraba
Birch Seed Pack,Pacote de Semente de Bétula
Boards,Tábuas
Bunchgrass Seed Pack,Pacote de Sementes de Capim
Camas Bulb Pack,Pacote de Bulbo de Camassia
Cedar Seed Pack,Pacote de Sementes de Cedro
Clams,Amêijoas
Corn Seed Pack,Pacote de Sementes de Milho
Creosote Bush Seed Pack,Pacote de Sementes de Arbusto de Creosoto
Crimini Mushroom Spores Pack,Pacote de Esporos de Cogumelo Champignon
Deeds,Escrituras
Fern Spore Pack,Pacote de Esporos de Samambaia
Fir Seed Pack,Pacote de Sementes de Abeto
Fireweed Seed Pack,Pacote de Sementes de Fireweed
Grass Seed Pack,Pacote de Sementes de Grama
Huckleberry Seed Pack,Pacote de Sementes de Mirtilo
Kelp Seed Pack,Pacote de Sementes de Alga
Nuclear Fuel,Combustível Nuclear
Papers,Papéis
Plastics,Plásticos
Prickly Pear Seed Pack,Pacote de Sementes de Pera Espinhosa
Rice Pack,Pacote de Arroz
Smog,Poluição Atmosférica
Strange Fuel,Combustível Estranho
Sugarcane Pack,Pacote de Cana-de-açúcar
Tomato Seed Pack,Pacote de Sementes de Tomate
Urchins,Ouriços-do-mar
Vehicle Tool Toggle,Ferramenta de Alternância do Veículo
Waterweed Seed Pack,Pacote de Sementes de Alga de Água Doce
Wheat Seed Pack,Pacote de Sementes de Trigo
Advanced Baking Skill Book,Livro de Habilidade em Assados Avançado
Advanced Cooking Skill Book,Livro de Habilidade em Cozimento Avançado
Advanced Smelting Skill Book,Livro de Habilidade em Fundição Avançada
Baking Skill Book,Livro de Habilidade em Assados
Basic Engineering Skill Book,Livro de Habilidade em Engenharia Básica
Butchery Skill Book,Livro de Habilidade em Açougue
Cooking Skill Book,Livro de Habilidade em Cozimento
Cutting Edge Cooking Skill Book,Livro de Habilidade em Cozimento de Ponta
Electronics Skill Book,Livro de Habilidade em Eletrônica
Farming Skill Book,Livro de Habilidade em Agricultura
Fertilizers Skill Book,Livro de Habilidade em Fertilizantes
Glassworking Skill Book,Livro de Habilidade em Trabalho com Vidro
Industry Skill Book,Livro de Habilidade em Indústria
Mechanics Skill Book,Livro de Habilidade em Mecânica
Milling Skill Book,Livro de Habilidade em Moagem
Oil Drilling Skill Book,Livro de Habilidade em Perfuração de Petróleo
Paper Milling Skill Book,Livro de Habilidade em Fabricação de Papel
Smelting Skill Book,Livro de Habilidade em Fundição
Tailoring Skill Book,Livro de Habilidade em Alfaiataria
Advanced Baking Skill Scroll,Pergaminho de Habilidade em Assados Avançado
Advanced Cooking Skill Scroll,Pergaminho de Habilidade em Cozimento Avançado
Advanced Smelting Skill Scroll,Pergaminho de Habilidade em Fundição Avançada
Baking Skill Scroll,Pergaminho de Habilidade em Assados
Basic Engineering Skill Scroll,Pergaminho de Habilidade em Engenharia Básica
Butchery Skill Scroll,Pergaminho de Habilidade em Açougue
Cooking Skill Scroll,Pergaminho de Habilidade em Cozimento
Cutting Edge Cooking Skill Scroll,Pergaminho de Habilidade em Cozimento de Ponta
Electronics Skill Scroll,Pergaminho de Habilidade em Eletrônica
Farming Skill Scroll,Pergaminho de Habilidade em Agricultura
Fertilizers Skill Scroll,Pergaminho de Habilidade em Fertilizantes
Glassworking Skill Scroll,Pergaminho de Habilidade em Trabalho com Vidro
Industry Skill Scroll,Pergaminho de Habilidade em Indústria
Mechanics Skill Scroll,Pergaminho de Habilidade em Mecânica
Milling Skill Scroll,Pergaminho de Habilidade em Moagem
Oil Drilling Skill Scroll,Pergaminho de Habilidade em Perfuração de Petróleo
Paper Milling Skill Scroll,Pergaminho de Habilidade em Fabricação de Papel
Smelting Skill Scroll,Pergaminho de Habilidade em Fundição
Tailoring Skill Scroll,Pergaminho de Habilidade em Alfaiataria
Carpenter,Carpinteiro
Chef,Chefe de Cozinha
Engineer,Engenheiro
Farmer,Agricultor
Farmers,Agricultores
Hunter,Caçador
Mason,Pedreiro
Smith,Ferreiro
Survivalist,Sobrevivente
Tailor,Alfaiate
Axes,Machados
Dev Flood Tool,Ferramenta de Inundação de Desenvolvedor
Dev Tool,Ferramenta de Desenvolvedor
Ecko The Dolphin,"Ecko, O Golfinho"
Fishing Poles,Varas de Pesca
Hammer,Martelo
Hoe,Enxada
Hoes,Enxadas
Hydrometer,Hidrômetro
Meteor Shard,Fragmento de Meteoro
Meteor Shards,Fragmentos de Meteoro
Road Tool,Ferramenta de Estrada
Bookshelves,Estantes de Livros
Button,Botão
Buttons,Botões
Carved Pumpkin,Abóbora Esculpida
Door,Porta
Doors,Portas
Ecko Statue,Estátua de Golfinho
Excavator,Escavadeira
Lasers,
Mills,Moedores
Powered Cart,Carrinho Motorizado
Small Wood Cart,Carrinho de Madeira Pequeno
Switch,Interruptor
Tables,Mesas
Transmission Pole,Poste de Transmissão
Wood Cart,Carrinho de Madeira
{0} has returned to the game (Last online {1} ago).,{0} voltou ao jogo (Última conexão há {1}).
Vitamins,Vitaminas
Eat Food,Comer Comida
