English,Arabic
No meteor to destroy.,لا يوجد نيزك لتدميره.
Meteor destroyed.,تم تدمير النيزك.
A wild meteor has appeared!,ظهر نيزك بري.
A meteor already exists!,النيزك موجود بالفعل!
"Contract '{0}' is invalid, must fix or delete before posting another one.",العقد '{0}' غير صالح ، يجب إصلاحه أو حذفه قبل نشر عقد آخر.
No currency found.,لم يتم العثور على عملة.
<Unassigned>,
That contract is too far away to accept.  Contract board is located at {0}.,هذا العقد بعيد جدًا للقبول. لوحة العقد موجودة في {0}.
Contract not accepted: cannot have more than {0} active contracts at once.,العقد لم يتم قبوله: لا يمكن أن يكون لديك أكثر من {0} عقود نشطة في وقت واحد.
Can't mark a job failed until the time has expired. {0} left.,لا يمكن تحديد الوظيفة كمهمة فاشلة حتى ينتهي الوقت. {0} غادر.
{0:client name} marked your contract as failed:,{0:client name} وضعت علامة فشل عقدك:
Contract does not have any clauses.,العقد لا يحتوي على أي بنود.
Must give the contract a name (click icon in title bar).,يجب تسمية العقد (انقر فوق الأيقونة في شريط العنوان).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","يجب ألا يكون العقد ""تلقائي الموافقة"" عند احتواء بند مخصص. قم بإلغاء التحديد في أسفل العقد ، وستضطر إلى الموافقة يدويًا عند اكتمال هذا العقد."
Put {0} in {1}.,ضع {0} في {1}.
No items specified for container clause.,لم يتم تحديد أي عناصر لبند الحاوية.
"No room at requested location, {0}.",لا يوجد مساحة في الموقع المطلوب، {0}.
From position not specified for Build Road clause.,من الموقع غير المحدد لشرط بناء الطريق.
To position not specified for Build Road clause.,إلى الموقع غير المحدد لشرط بناء الطريق.
Same position chosen for beginning/end points of road in Build Road clause.,نفس الموقع تم اختياره كنقاط بداية / نهاية الطريق في شرط بناء الطريق.
No item specified for road type.,لم يتم تحديد عنصر لنوع الطريق.
No road type selected.,لم يتم اختيار نوع الطريق.
Road not complete. Last valid point on road detected at {0}.,الطريق غير مكتمل. تم اكتشاف آخر نقطة صالحة على الطريق في {0}.
more,أكثر
less,أقل
No property specified for Blocks clause.,لم يتم تحديد ملكية لشرط الكتل.
No items specified for blocks on property clause.,لم يتم تحديد عناصر لكتل على شرط الملكية.
more than,أكثر من
less than,أقل من
\nFound {0} at {1}.,\n تم العثور على {0} في {1}.
No currency specified in payment clause.,لم يتم تحديد العملة في شرط الدفع.
Client doesn't have {0} needed to pay.,العميل ليس لديه الـ {0} اللازمة للدفع.
Contractor doesn't have the needed {0} deposit specified in payment clause.,المقاول ليس لديه الـ {0} المطلوبة كوديعة محددة في شرط الدفع.
{0} paid to {1}.,{0} دفع إلى {1}.
{0} refunded.,تم استرداد {0}.
No custom description set.,لم يتم تعيين وصف مخصص.
{0} must be at or above {1}.,{0} يجب أن تكون في أعلى أو على مستوى {1}.
property rights,حقوق الملكية
object rights,حقوق الكائن
permanently,دائماً
for the term of the contract,لمدة العقد
contract start,بدء العقد
contract completion,انتهاء العقد
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,استلام {0:rights} على {1} {2:permanent or not} عند {3:time point}.
No location specified for permissions grant.,لم يتم تحديد موقع للحصول على إذن الأذونات.
"If you give permissions at contract completion, they must be permanent.",إذا قدمت أذونات في نهاية العقد ، فيجب أن تكون دائمة.
"Can't get permissions on property or object at {0}, may be unclaimed.",لا يمكن الحصول على أذونات على الممتلكات أو الكائنات في {0}، قد يكون غير مطالب به.
added,تمت الإضافة
removed,تمت الإزالة
{0} of the following must be true: {1},{0} من التالي يجب أن يكون صحيحًا: {1}.
Harvest all {0} on the property at {1}.,حصاد جميع {0} على الملكية في {1}.
No harvest items specified.,لم يتم تحديد أي عناصر حصاد.
Harvest container,حاوية الحصاد
Tree still has unharvested logs:\n{0},لا يزال لدى الشجرة سجلات غير محصودة: \n{0}.
Property still has unharvested plants: {0} at {1}.,لا يزال لدى الملكية نباتات غير محصودة: {0} في {1}.
Mow the lawn on the property at {0}.,قم بحصاد العشب على الملكية في {0}.
Nothing mowable on that property.,لا يوجد شيء يمكن قطافه على تلك الملكية.
Unmowed {0:species name} at {1:position}.,{0:species name} غير مقصوص في {1:position}.
Mow Lawn,قص العشب
Plow {0} square meters of field on the property at {1}.,حرث {0} متر مربع من الحقل على الملكية في {1}.
Property does not cover {0} units.,الملكية لا تغطي {0} وحدة.
"Only {0} tilled spaces found on property, {1} needed.",تم العثور فقط على {0} مساحات مزروعة على الملكية ، {1} مطلوبة.
Mow,قص العشب
No property specified for clause.,لم يتم تحديد أي ملكية للبند.
Debris/stumps still on property at {0}.,لا تزال الحطام / الجذوع على الملكية في {0}.
Move items from {0} to {1}.,نقل العناصر من {0} إلى {1}.
Can't place a block there,لا يمكن وضع كتلة هناك
No block to pick up,لا يوجد كتلة لالتقاطها
That is not a clothing item,هذا ليس قطعة ملابس
You equipped {0},لقد قمت بتجهيز {0}
Your {0} broke!  It will be much less efficient until repaired.,تم كسر {0} الخاص بك! سيكون أقل كفاءة حتى يتم إصلاحه.
You are not authorized to remove items from that.,غير مسموح لك بإزالة العناصر من ذلك.
You are not authorized to put items into that.,غير مسموح لك بوضع العناصر داخل ذلك.
Can't select {0} while carrying {1}.,لا يمكن تحديد {0} أثناء حمل {1}.
Skill Benefits,فوائد المهارة
Couldn't find any items matching {0},لم يتم العثور على أي عناصر متطابقة مع {0}
"Multiple items found matching, use more specific string: {0}",تم العثور على عدة عناصر متطابقة ، استخدم سلسلة أكثر تحديدًا: {0}
Cannot plant on a spot occupied by {0},لا يمكن زراعة على مكان تواجد {0}
Plant already exists there.,توجد بالفعل زراعة هناك.
Unknown plant type: {0},نوع نبات غير معروف:{0}
You have too many Skill Scrolls already.,لديك الكثير من لفات المهارة بالفعل.
Only {0} can collect that,فقط {0} يمكن جمع ذلك
"Can't place there, blocked.",لا يمكن وضعها هنا ، تم منعها.
This plant is dead.,هذه النبتة ميتة.
Atmosphere:({0}),الأجواء: ({0})
Balanced Multiplier: {0},مضاعفة متوازنة: {0}
Base Gain: {0},المكاسب الأساسية: {0}
Calories,سعرات حرارية
Waste,نفايات
Nutrition,تغذية
Stomach Contents,محتويات المَعِدة
full,
You are not logged in,لم تقم بتسجيل الدخول
You have kicked {0},لقد قمت بطرد {0}
{0} is not online,{0} غير متصل
Your Steam id is {0}.,معرف Steam الخاص بك هو {0}.
Your SLG id is {0}.,معرف SLG الخاص بك هو {0}.
{0} is not logged in to a Steam account.,{0} غير مسجل الدخول إلى حساب Steam.
{0}'s Steam id is {1}.,معرّف Steam لـ {0} هو {1}.
{0} is not logged in to an SLG account.,{0} غير مسجل في حساب SLG.
{0} World Marker,{0} عالم العلامات
Located {0:distance and direction} at {1}.,تم وضع {0:distance and direction} في {1}.
Link added to clipboard.,تمت إضافة الرابط في الحافظة.
Waypoint added.,تمت إضافة نقطة الوصول.
Cleared all non-global markers.,تم مسح جميع العلامات غير العالمية.
{0} set their objective: {1},{0} قد حدد هدفهم: {1}
You already own this deed.,أنت تمتلك هذه المنشأة بالفعل.
Room had no ceiling at {0}.,لم يكن هناك سقف في الغرفة في {0}.
Room is flooded at {0},يتم غمر الغرفة في {0}
'{0}' is not a valid tier number,'{0}' ليست رقمًا صالحًا للمستوى
Must be contained within a room,يجب أن يكون محتوى داخل غرفة
Contained within a room,محتوى داخل غرفة
Pressure:{0}atm,الضغط: {0} atm
Current skill rate is {0}.,معدل المهارة الحالي هو {0}.
{0} has issued you a warning. {1},{0} قد منحك تحذيرًا. {1}
You have sent a warning to {0},لقد أرسلت تحذيراً إلى {0}
Bad elk meat?,لحم ظبي سيء؟
Time for some government spending!,حان الوقت لبعض الإنفاق الحكومي!
Gabe has made it rain.,قام غاب بجعل الأمور تمطر.
You gave {0} skillpoints to {1},لقد منحت نقاط المهارة {0} لـ {1}
Atmosphere added.,تمت إضافة الجو.
You gave {0} plots to {1}.,لقد منحت {0} عقودًا لـ {1}.
You gained {0} plots.,لقد كسبت {0} عقودًا.
With great power comes great responsibility,مع القوة الكبيرة تأتي المسؤولية الكبيرة
Selected item doesn't have durability.,لا يوجد متانة للعنصر المحدد.
Durability set to {0},تم تعيين المتانة على {0}
Finished in {0},انتهى في {0}
{0} commands:,{0} الأوامر:
Online: {0},متصل: {0}
You are a {0},أنت {0}
{0} is not a world layer.,{0} ليست طبقة عالمية.
Missing Location,موقع مفقود
"Can't add tutorial item to inventory, no room.",لا يمكن إضافة عنصر تعليمي إلى المخزون ، لا يوجد مساحة.
Building Blocks...,بناء الكتل...
{0} has no access rights for {1} at {2}.,{0} ليس لديه حقوق الوصول لـ '{1}' في '{2}'.
{0} not selected.,'{0}' لم يتم تحديده.
{0} cannot accept items of type {1}.,لا يمكن لـ '{0}' قبول عناصر من نوع '{1}'.
Need to add {0} to {1}.,تحتاج إلى إضافة '{0}' إلى '{1}'.
Button pressed.,زر مضغوط.
meters,أمتار
Plant,زرع
This plant is dead. {0},هذه النبتة ميتة. {0}
Calories Available: {0},السعرات الحرارية المتاحة: '{0}'
Calories Required per Organism: {0},السعرات الحرارية المطلوبة لكل كائن: '{0}'
Amount of {0} Available: {1},كمية '{0}' المتاحة: '{1}'
Log is not ready for harvest.  Remove all branches first.,الجذع غير جاهز للحصاد. قم بإزالة جميع الفروع أولاً.
"Log is too large to pick up, slice into smaller pieces first.",الجذع كبير جدًا ليتم التقاطه ، قم بتقسيمه إلى قطع أصغر أولاً.
You are already carrying {0:items} and cannot pick up {1:items}.,أنت تحمل بالفعل '{0:items}' ولا يمكنك التقاط '{1:items}'.
You must obtain authorization to shoot {0}.,يجب عليك الحصول على تصريح لإطلاق النار على '{0}'.
Axe,فأس
Pickaxe,معول
Scythe,منجل
Shovel,جاروف
Iron Axe,فأس حديدي
Iron Hammer,مطرقة حديدية
Iron Hoe,معول حديدية
Iron Pickaxe,معول حديدي
Iron Shovel,جاروف حديدي
Modern Axe,فأس حديث
Modern Hammer,مطرقة حديثة
Modern Hoe,مجرفة حديثة
Modern Pickaxe,معول حديث
Modern Scythe,منجل حديث
Modern Shovel,جاروف حديث
Steel Axe,فأس معدني
Steel Hammer,مطرقة معدنية
Steel Hoe,مجرفة حديدية
Steel Pickaxe,معول معدني
Steel Shovel,جاروف معدني
Stone Axe,فأس حجري
Stone Hammer,مطرقة حجرية
Stone Pickaxe,معول حجري
Wooden Hoe,مجرفة  خشبية
Wooden Shovel,جاروف خشبي
Bow,قوس
Amanita Mushrooms,فطر الأمانيت
Beet,البنجر
Corn,ذرة
Crimini Mushrooms,فطر الكريميني
Fiddleheads,سيقان فايدلهيدز
Fireweed Shoots,أعيرة نارية لزيتون النار
Giant Cactus Fruit,ثمرة صبار عملاق
Huckleberries,توت عليق
Prickly Pear Fruit,ثمرة الصبار
Tomato,طماطم
Wheat,قمح
Plant Fibers,ألياف نباتية
Acorn,جوز البلوط
Beans,فاصوليا
Beet Seed,بذور الشمندر
Birch Seed,بذور البتولا
Bunchgrass Seed,بذور العشب
Camas Bulb,بصل عشبة الككرة
Cedar Seed,بذور الخشب الأحمر الأوروبي
Corn Seed,بذور الذرة
Creosote Bush Seed,بذور الصنوبر الراتنجي
Crimini Mushroom Spores,بذور الفطر الكرميني
Fern Spore,بذور الفرن
Fireweed Seed,بذور عشبة الككرة
Fir Seed,بذور الصنوبر
Grass Seed,بذور العشب
Huckleberry Seed,بذور التوت العليق
Prickly Pear Seed,بذور الصبار
Rice,أرز
Tomato Seed,بذور الطماطم
Wheat Seed,بذور القمح
Leather Hide,جلد جلد الألبان
Cloth,قماش
Cellulose Fiber,ألياف السليلوز
Fur Pelt,جلد فراء
Composite Filler,حشو مركب
Huckleberry Extract,مستخلص توت عليق
Berry Extract Fertilizer,سماد مستخلص التوت العليق
Pulp Filler,حشو اللب
Scrap Meat,قطع لحم المهملات
Blood Meal Fertilizer,سماد الدم
Fiber Filler,حشو الألياف
Charred Camas Bulb,قرمة محروقة
Camas Ash Fertilizer,سماد رماد قرمة الكاماس
Dirt,تراب
Hide Ash Fertilizer,سماد رماد جلد الحيوان
Pelt Fertilizer,سماد فراء
Stone,حجر
Phosphate Fertilizer,سماد الفوسفات
Wood Pulp,لب الخشب
Acorn Powder,مسحوق جوز البلوط
Raw Meat,لحم نيء
Baked Meat,لحمة مخبوزة
Raw Roast,لحم مشوي نيء
Baked Roast,لحم مشوي مخبوز
Tallow,شحم نباتي
Bannock,خبز بانوك
Bean Paste,معجون الفاصوليا
Flour,دقيق
Sugar,سكر
Yeast,خميرة
Bearclaw,صنارة الدب
Prime Cut,قطعة ممتازة
Vegetable Medley,مزيج خضار
Meat Stock,مخزن لحم
Infused Oil,زيت مشبع
Bear S U P R E M E,دب سوبريم
Raw Sausage,سجق نيء
Boiled Sausage,سجق مسلوق
Bread,خُبز
Camas Paste,معجون عشبة الكاماس
Camas Bread,خبز كاماس
Camas Bulb Bake,خبز قرمة الكاماس
Campfire Roast,مشوي في النار
Campfire Stew,مرقة النار على الموقد
Charred Beet,قرمة محروقة
Charred Corn,ذرة محروقة
Raw Fish,سمك نيء
Charred Fish,سمك مشوي
Charred Meat,لحم مشوي
Charred Sausage,سجق مشوي
Charred Tomato,طماطم مشوية
Steel,صلب
Cornmeal,دقيق الذرة
Oil,زيت
Corn Fritters,فطائر الذرة
Corn Starch,نشا الذرة
Basic Salad,سلطة أساسية
Crimson Salad,سلطة قرمزية
Raw Bacon,لحم مقدد نيء
Crispy Bacon,لحم خنزير مقرمش
Tortilla,تورتيلا
Wild Mix,مزيج متنوع
Elk Taco,تاكو الأيل
Elk Wellington,ويلينغتون الأيل
Flatbread,خبز مسطح
Prepared Meat,لحم مجهز
Fried Hare Haunches,فخذ أرنب مقلي
Fried Tomatoes,طماطم مقلية
Huckleberry Pie,فطيرة التوت العليق
Hydrocolloids,الهيدروكولويد
Liquid Nitrogen,نيتروجين سائل
Simple Syrup,شراب بسيط
Maltodextrin,مالتوديكسترين
Meat Pie,فطيرة اللحم
Cereal Germ,بزاق بحبة الذرة
Seared Meat,لحم مشوي
Simmered Meat,لحم مطهو بالشوي
Stuffed Turkey,تركي محشو
Fruit Salad,سلطة فواكه
Sweet Salad,سلطة حلوة
Transglutaminase,بتراتينام غلوتامينيك
Vegetable Stock,مخزون الخضروات
Vegetable Soup,حساء الخضار
Wild Stew,مرقة برية
Wilted Fiddleheads,سرخوف مقلي
Piston,مكون فاصل
Valve,صمام
Servo,سيرفو
Circuit,دائرة
Advanced Combustion Engine,محرك احتراق متقدم
Log,جذع شجرة
Arrow,سهم
Concrete,خرسانة
Asphalt Ramp,زلاجة أسفلت
Barrel,برميل
Biodiesel,ديزل حيوي
Board,لوح
Brick,طوب
Lumber,خشب
Charcoal,فحم
Substrate,مسحوق مخصب
Copper Wiring,أسلاك نحاسية
Gold Flakes,رقائق الذهب
Gearbox,صندوق سرعة
Combustion Engine,محرك احتراق داخلي
Copper Ore,خام النحاس
Copper Pipe,أنبوب نحاسي
Corrugated Steel,صفيح فولاذي مموج
Deed,عقدة
Dirt Ramp,رامب ترابية
Electric Motor,محرك كهربائي
Petroleum,بترول
Epoxy,إيبوكسي
Plastic,بلاستيك
Glass,زجاج
Fiberglass,ألياف زجاجية
Fishing Pole,قضيب صيد
Flat Steel,صفيح فولاذي مسطح
Framed Glass,زجاج مؤطر
Gasoline,بنزين
Gear,عتاد
Sand,رمل
Gold Ore,خام الذهب
Hewn Log,سجل مقطوع من الخشب
Iron Ore,خام الحديد
Iron Pipe,أنبوب حديدي
Mortared Stone,حجر ملطخ
Paper,ورق
Rebar,أسياخ حديدية
Reinforced Concrete,خرسانة مسلحة
Rivet,مسمار
Soil Sampler,أداة جمع عينات التربة
Steel Pipe,أنبوب فولاذي
Stone Ramp,رامب حجرية
Stone Road,طريق حجري
Torch,شعلة
Bison Carcass,جثة ثور
Elk Carcass,جثة ظبي
Fox Carcass,جثة ثعلب
Hare Carcass,جثة أرنب
Turkey Carcass,جثة ديك رومي
Wolf Carcass,جثة ذئب
Salmon,سمك السلمون
Trout,سمك السلمون المرقط
Tuna,سمك التونة
Urchin,إرتيك
Kelp,كلب البحر
Clam,محار
Coal,فحم
Waterwheel,عجلة مائية
Anvil,سندان
Bakery Oven,فرن خبز
Blast Furnace,الأفران العالية
Bloomery,مصهر
Bookshelf,رف الكتب
Brazier,سلة بخور
Butchery Table,طاولة جزارة
Campfire,نيران مشتعلة مخيم
Candle Stand,حامل شمعة
Carpentry Table,طاولة النِجارة
Cast Iron Stove,موقد حديدي مسبوك
Ceiling Candle,شمعة السقف
Cement Kiln,فرن الأسمنت
Chair,كرسي
Combustion Generator,مولد الاحتراق
Computer Lab,معمل الحواسيب
Construction Post,عمود البناء
Contract Board,لوحة العقد
Couch,أريكة
Currency Exchange,صرافة العملات
Electric Wall Lamp,مصباح الحائط الكهربائي
Electronics Assembly,تجميع الإلكترونيات
Farmers Table,طاولة المزارعين
Fishery,صيد الأسماك
Fish Trap,فخ الأسماك
Icebox,ثلاجة
Kiln,فرن
Laboratory,مختبر
Laser,ليزر
Wooden Latrine,مرحاض خشبي
Masonry Table,طاولة البناء
Mill,مطحنة
Mint,نعناع
Oil Refinery,مصفاة النفط
Padded Chair,كرسي مبطن
Round Pot,وعاء مستدير
Square Pot,وعاء مربع
Pump Jack,مضخة النفط
Refrigerator,ثلاجة
Research Table,طاولة البحث
Rolling Mill,مطحنة متدحرجة
Medium Rug,سجادة متوسطة الحجم
Small Rug,سجادة صغيرة
Salt Basket,سلة الملح
Sawmill,منشرة
Shelf Cabinet,خزانة رفوف
Solar Generator,مولد الطاقة الشمسية
Stockpile,تخزين السلع
Stone Brazier,موقد حجري
Storage Chest,صندوق تخزين
Stove,موقد
Streetlamp,مصباح الشارع
Tailoring Table,طاولة الخياطة
Tallow Candle,شمعة الشحم
Tallow Lamp,مصباح الشحم
Tallow Wall Lamp,مصباح حائط الشحم
Torch Stand,حامل المشاعل
Treasury,خزنة الكنز
Wainwright Table,طاولة العربة
Wall Candle,شمعة الحائط
Washboard,جهاز تنظيف الملابس
Washing Machine,غسالة
Windmill,طاحونة الهواء
Wind Turbine,توربينة الرياح
Wooden Fabric Bed,سرير النسيج الخشبي
Wooden Straw Bed,سرير القش الخشبي
Wood Sign,لوحة خشبية
Workbench,محطة العمل
Advanced Baking,خَبز متقدم
Advanced Cooking,طبخ متقدم
Advanced Smelting,صهر متقدم
Baking,الخبز
Basic Engineering,هندسة أساسية
Butchery,تجزئة اللحم
Campfire Cooking,طهي على نار مفتوحة
Cement,الأسمنت
Cooking,الطبخ
Cutting Edge Cooking,طهي متقدم
Digging,حفر
Electronics,الإلكترونيات
Farming,الزراعة
Fertilizers,الأسمدة
Fishing,صيد السمك
Gathering,التجميع
Glassworking,صنع الزجاج
Hewing,النحت
Hunting,الصيد
Industry,الصناعة
Logging,قطع الأشجار
Mechanics,الميكانيكا
Milling,الطحن
Mining,الحفر
Oil Drilling,حفر النفط
Paper Milling,صناعة الورق
Self Improvement,تحسين الذات
Smelting,الصهر
Tailoring,الخياطة
Woodworking,النجارة
Backpack,حقيبة ظهر
Backpacks,حقائب الظهر
Chat Log,سجل المحادثة
Objectives,الأهداف
Alpha Cloak,المعطف ألفا
Alpha Cloaks,معاطف ألفا
Alpha Goggles,نظارات ألفا
Alpha Hat,قبعة ألفا
Alpha Hats,قبعات ألفا
Basic Backpack,حقيبة ظهر أساسية
Bearpack,حقيبة دب
Big Backpack,حقيبة ظهر كبيرة
Blinky Eyelids,جفون بلينكي
Camo Pants,بنطلون كامو
Camo Shirt,قميص كامو
Capris,كابريز
Derpy Hat,قبعة ديربي
Fit Torso,جسم لائق
Garden Boots,أحذية حديقة
Gigot Sleeve Shirt,قميص بأكمام طويلة
Hardy Beard,لحية قوية
Henley,هِنْلِي
Human Limbs,أطراف بشرية
Light Backpack,حقيبة ظهر خفيفة
Low Top Shoes,حذاء رياضي منخفض
Normal Hair,شعر عادي
Peasant Hair,شعر الفلاح
Rounded Face,وجه دائري
Running Shoes,أحذية الركض
Scruffy Hair,شعر متسخ
Short Beard,لحية قصيرة
Square Belt,حزام مربع
Square Jaw,فك مربع
Tall Boots,أحذية طويلة
Trousers,بنطلون
Wolf Whisperer Hat,قبعة مهوس الذئب
Wolf Whisperer Hats,قبعات مهوس الذئب
Wolf Whisperer Mask,قناع مهوس الذئب
Wolf Whisperer Masks,أقنعة مهوس الذئب
Wolf Whisperer Shirt,قميص مهوس الذئب
Wolf Whisperer Shirts,قمصان مهوس الذئب
Work Backpack,حقيبة ظهر للعمل
Work Boots,أحذية عمل
Bricks,طوب
Logs,سجلات
Sands,رمال
Sewage,مجاري الصرف الصحي
Tailings,نفايات الذيل
Tree Debris,حطام الأشجار
Wire,سلك
Wires,أسلاك
Beets,البنجر
Boiled Sausages,نقانق مسلوقة
Camas Bulbs,بصل الكاماس
Corns,ذرة
Ecoylent,إيكولينت (طعام مجفف)
Fruit Salads,سلطة فواكه
Kelp Seed,بذرة عشب البحر
Milk,حليب
Sugarcane,قصب السكر
Tomatoes,طماطم
Tortillas,تورتيلا
Waterweed Seed,بذور النباتات المائية
Acorn Pack,حزمة البلوط
Arrows,السهام
Beans Pack,حزمة الفاصوليا
Beet Seed Pack,حزمة بذور البنجر
Birch Seed Pack,حزمة بذور البتولا
Boards,اللوحات الخشبية
Bunchgrass Seed Pack,حزمة بذور العشب البري
Camas Bulb Pack,حزمة بصل الكاماس
Cedar Seed Pack,حزمة بذور الأرز
Clams,محار
Corn Seed Pack,حزمة بذور الذرة
Creosote Bush Seed Pack,حزمة بذور شجيرة الكريوزوت
Crimini Mushroom Spores Pack,حزمة بذور الفطر الكريميني
Deeds,الأوراق العقارية
Fern Spore Pack,حزمة بذور الشاي الأرضي
Fir Seed Pack,حزمة بذور الصنوبر
Fireweed Seed Pack,حزمة بذور زهرة النار
Grass Seed Pack,حزمة بذور العشب
Huckleberry Seed Pack,حزمة بذور التوت البري
Kelp Seed Pack,حزمة بذور الأعشاب البحرية
Nuclear Fuel,وقود نووي
Papers,أوراق
Plastics,بلاستيك
Prickly Pear Seed Pack,حزمة بذور الصبار الشوكي
Rice Pack,حزمة الأرز
Smog,الضباب السام
Strange Fuel,وقود غريب
Sugarcane Pack,حزمة قصب السكر
Tomato Seed Pack,حزمة بذور الطماطم
Urchins,قنفذ البحر
Vehicle Tool Toggle,تبديل أداة المركبة
Waterweed Seed Pack,حزمة بذور الأعشاب البحرية
Wheat Seed Pack,حزمة بذور القمح
Advanced Baking Skill Book,كتاب مهارة الخبز المتقدمة
Advanced Cooking Skill Book,كتاب مهارة الطبخ المتقدمة
Advanced Smelting Skill Book,كتاب مهارة الصهر المتقدمة
Baking Skill Book,كتاب مهارة الخَبز
Basic Engineering Skill Book,كتاب مهارة الهندسة الأساسية
Butchery Skill Book,كتاب مهارة الذبح
Cooking Skill Book,كتاب مهارة الطبخ
Cutting Edge Cooking Skill Book,كتاب مهارة الطهي المتقدمة
Electronics Skill Book,كتاب مهارة الإلكترونيات
Farming Skill Book,كتاب مهارة الزراعة
Fertilizers Skill Book,كتاب مهارة الأسمدة
Glassworking Skill Book,كتاب مهارة الزجاج
Industry Skill Book,كتاب مهارة الصناعة
Mechanics Skill Book,كتاب مهارة الميكانيكا
Milling Skill Book,كتاب مهارة الطحن
Oil Drilling Skill Book,كتاب مهارة حفر النفط
Paper Milling Skill Book,كتاب مهارة تصنيع الورق
Smelting Skill Book,كتاب مهارة الصهر
Tailoring Skill Book,كتاب مهارة الخياطة
Advanced Baking Skill Scroll,لفة مهارة الخبز المتقدمة
Advanced Cooking Skill Scroll,لفة مهارة الطهي المتقدمة
Advanced Smelting Skill Scroll,لفة مهارة الصهر المتقدمة
Baking Skill Scroll,لفة مهارة الخبز
Basic Engineering Skill Scroll,لفة مهارة الهندسة الأساسية
Butchery Skill Scroll,لفة مهارة الذبح
Cooking Skill Scroll,لفافة مهارة الطبخ
Cutting Edge Cooking Skill Scroll,لفة مهارة الطهي الحديث
Electronics Skill Scroll,لفة مهارة الالكترونيات
Farming Skill Scroll,لفة مهارة الزراعة
Fertilizers Skill Scroll,لفة مهارة الأسمدة
Glassworking Skill Scroll,لفة مهارة صناعة الزجاج
Industry Skill Scroll,لفة مهارة الصناعة
Mechanics Skill Scroll,لفة مهارة الميكانيكا
Milling Skill Scroll,لفة مهارة الطحن
Oil Drilling Skill Scroll,لفة مهارة حفر النفط
Paper Milling Skill Scroll,لفة مهارة صناعة الورق
Smelting Skill Scroll,لفة مهارة الصهر
Tailoring Skill Scroll,لفة مهارة الخياطة
Carpenter,النجار
Chef,الشيف
Engineer,مهندس
Farmer,مزارع
Farmers,المزارعون
Hunter,الصياد
Mason,البنَّائِيُّ
Smith,الحداد
Survivalist,الناجي
Tailor,الخياط
Axes,فؤوس
Dev Flood Tool,أداة Dev Flood
Dev Tool,أداة Dev
Ecko The Dolphin,إيكو الدلفين
Fishing Poles,قضبان الصيد
Hammer,مطرقة
Hoe,المعول
