English,SimplifedChinese
No road type selected.,未选择道路类型。
Road not complete. Last valid point on road detected at {0}.,道路未完成。检测到最后一个无效的道路点在 {0}。
more,多于
less,少于
No property specified for Blocks clause.,未为地块条款指定土地。
No items specified for blocks on property clause.,土地条款上没有指定地块。
more than,多于
less than,少于
\nFound {0} at {1}.,\n在 {1} 找到 {0}。
No currency specified in payment clause.,支付条款尚未指定货币。
Client doesn't have {0} needed to pay.,客户无需支付 {0} 。
Contractor doesn't have the needed {0} deposit specified in payment clause.,订约人没有支付条款中所规定的 {0} 押金。
{0} paid to {1}.,{0} 支付给 {1}。
{0} refunded.,{0} 已经退还。
No custom description set.,没有自定义描述。
{0} must be at or above {1}.,{0} 必须大于或等于 {1}。
property rights,产权
object rights,物品权限
permanently,永久
for the term of the contract,基于合同期限
contract start,合同生效
contract completion,合同完成
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,在 {3:time point} 得到 {1} {2:permanent or not} 的 {0:rights}。
No location specified for permissions grant.,没有指定授予权限的位置。
"If you give permissions at contract completion, they must be permanent.",如果你在合同完成时授予权限，权限必须是永久的。
"Can't get permissions on property or object at {0}, may be unclaimed.",无法在 {0} 处得到土地或对象的许可，可能未被主张。
added,已添加
removed,已移除
{0} of the following must be true: {1},下列 {0} 必须要符合: {1}
Harvest all {0} on the property at {1}.,收获所有在 {1} 土地中的 {0}。
No harvest items specified.,未指定收获物品。
Harvest container,收获容器
Tree still has unharvested logs:\n{0},树还有未采集的原木:\n{0}
Property still has unharvested plants: {0} at {1}.,土地中仍有未收获植物: {0} 在 {1}。
Mow the lawn on the property at {0}.,在 {0} 的土地内修剪草坪。
Nothing mowable on that property.,土地内没有可修剪的东西。
Unmowed {0:species name} at {1:position}.,在 {1:position} 的 {0:species name} 未修剪。
Mow Lawn,修剪草坪
Plow {0} square meters of field on the property at {1}.,在 {1} 的土地上耕 {0} 平方米的土地。
Property does not cover {0} units.,土地不包括 {0} 单位。
"Only {0} tilled spaces found on property, {1} needed.",在土地上发现只有 {0} 的耕地，需要 {1}。
Mow,修剪
No property specified for clause.,条款没有指定土地。
Debris/stumps still on property at {0}.,{0} 处的土地上依然存在树枝或树桩。
Move items from {0} to {1}.,将物品从 {0} 移动至 {1}。
Can't place a block there,无法在此放置地块
No block to pick up,没有地块可拾取
That is not a clothing item,那不是一个衣服物品
You equipped {0},你已经装备了 {0}
Your {0} broke!  It will be much less efficient until repaired.,你的 {0} 坏了! 在被修复之前它的效率会很低。
You are not authorized to remove items from that.,你无权从此处移除物品。
You are not authorized to put items into that.,你无权将物品放入此处。
Can't select {0} while carrying {1}.,当携带 {1} 时无法选择 {0}。
Skill Benefits,技能优势
Couldn't find any items matching {0},无法找到任何物品匹配 {0}
"Multiple items found matching, use more specific string: {0}",找不到匹配的物品，使用更具体的字符：{0}
Cannot plant on a spot occupied by {0},不能在 {0} 占领的地方种植
Plant already exists there.,此处已经存在植物。
Unknown plant type: {0},未知的植物类型：{0}
You have too many Skill Scrolls already.,你已经有太多技能卷轴。
Only {0} can collect that,只有 {0} 能够收集
"Can't place there, blocked.",无法放置在此，被阻挡了。
This plant is dead.,该植物已凋谢。
Atmosphere:({0}),大气：({0})
Balanced Multiplier: {0},平衡系数：{0}
Base Gain: {0},基本获取速度：{0}
Calories,卡路里
Waste,废弃物
Nutrition,营养
Stomach Contents,胃里的东西
full,饱饱的
You are not logged in,你未登录
You have kicked {0},你已踢掉 {0}
{0} is not online,{0} 不在线
Your Steam id is {0}.,你的蒸汽平台用户名是 {0}。
Your SLG id is {0}.,你的怪奇轮回游戏用户名是 {0}。
{0} is not logged in to a Steam account.,{0} 没有登录到蒸汽平台帐户。
{0}'s Steam id is {1}.,{0} 的蒸汽平台用户名是 {1}。
{0} is not logged in to an SLG account.,{0} 未登录到怪奇轮回游戏帐户。
{0} World Marker,{0} 世界标记
Located {0:distance and direction} at {1}.,位于 {0:distance and direction} 在 {1}。
Link added to clipboard.,链接已添加至剪贴板。
Waypoint added.,路径点已添加。
Cleared all non-global markers.,已清除所有非全球标记。
{0} set their objective: {1},{0} 设定他们的目标：{1}
You already own this deed.,你已经拥有该契据。
Room had no ceiling at {0}.,{0} 处的房间没有天花板。
Room is flooded at {0},{0} 处的房间被水淹没
'{0}' is not a valid tier number,'{0}' 不是一个有效的等级数
Must be contained within a room,必须置于房间之中
Contained within a room,放置于室内
Pressure:{0}atm,压力：{0}大气压
Current skill rate is {0}.,当前技能获取速率是 {0}。
{0} has issued you a warning. {1},{0} 给你发了个警告。 {1}
You have sent a warning to {0},你向 {0} 发了个警告
Bad elk meat?,坏驼鹿肉？
Time for some government spending!,到了公会开支的时候了！
Gabe has made it rain.,加布让它下雨了。
You gave {0} skillpoints to {1},你把 {0} 技能点给了 {1}
Atmosphere added.,空气已经添加。
You gave {0} plots to {1}.,你把 {0} 地块给了 {1}。
You gained {0} plots.,你得到了 {0} 地块。
With great power comes great responsibility,能力越大，责任越大
Selected item doesn't have durability.,选定的物品没有耐久度。
Durability set to {0},耐久度设置为 {0}
Finished in {0},将在 {0} 后完成
{0} commands:,{0} 指令：
Online: {0},在线：{0}
You are a {0},你是个 {0}
{0} is not a world layer.,{0} 不是一个世界滤层。
Missing Location,缺失位置
"Can't add tutorial item to inventory, no room.",无法添加教程物品到库存，没有空间。
Building Blocks...,建筑地块……
{0} has no access rights for {1} at {2}.,{0} 没有在 {2} 处 {1} 的访问权限。
{0} not selected.,{0} 未被选定。
{0} cannot accept items of type {1}.,{0} 不能接受 {1} 类型的物品。
Need to add {0} to {1}.,需要向 {1} 添加 {0}。
Button pressed.,按下按钮。
meters,米
Plant,植物
This plant is dead. {0},该植物已凋谢。{0}
Calories Available: {0},可用卡路里: {0}
Calories Required per Organism: {0},每个有机体所需卡路里：{0}
Amount of {0} Available: {1},{0} 可用量:：{1}
Log is not ready for harvest.  Remove all branches first.,原木未能采集。请先移除所有树枝。
"Log is too large to pick up, slice into smaller pieces first.",原木太大而无法拾取，先切成小块。
You are already carrying {0:items} and cannot pick up {1:items}.,你已经携带了{0:items}，无法再拾取{1:items}。
You must obtain authorization to shoot {0}.,你必须获得授权来射击 {0}。
Axe,斧
Pickaxe,镐
Scythe,镰刀
Shovel,铲
Iron Axe,铁斧
Iron Hammer,铁锤
Iron Hoe,铁锄
Iron Pickaxe,铁镐
Iron Shovel,铁铲
Modern Axe,现代斧
Modern Hammer,现代锤
Modern Hoe,现代锄
Modern Pickaxe,现代镐
Modern Scythe,现代镰刀
Modern Shovel,现代铲
Steel Axe,钢斧
Steel Hammer,钢锤
Steel Hoe,钢锄
Steel Pickaxe,钢镐
Steel Shovel,钢铲
Stone Axe,石斧
Stone Hammer,石锤
Stone Pickaxe,石镐
Wooden Hoe,木锄
Wooden Shovel,木铲
Bow,弓
Amanita Mushrooms,鹅膏菌
Beet,甜菜
Corn,玉米
Crimini Mushrooms,香啡菇
Fiddleheads,蕨菜
Fireweed Shoots,柳兰芽
Giant Cactus Fruit,巨型仙人掌果实
Huckleberries,越橘
Prickly Pear Fruit,仙人球果实
Tomato,番茄
Wheat,小麦
Plant Fibers,植物纤维
Acorn,橡子
Beans,豆
Beet Seed,甜菜种子
Birch Seed,桦树种子
Bunchgrass Seed,丛生禾草种子
Camas Bulb,卡马斯球茎
Cedar Seed,雪松种子
Corn Seed,玉米种子
Creosote Bush Seed,灌木种子
Crimini Mushroom Spores,香啡菇孢子
Fern Spore,蕨类孢子
Fireweed Seed,柳兰种子
Fir Seed,杉树种子
Grass Seed,草种子
Huckleberry Seed,越橘种子
Prickly Pear Seed,仙人球种子
Rice,米
Tomato Seed,番茄种子
Wheat Seed,小麦种子
Leather Hide,皮革
Cloth,布料
Cellulose Fiber,人造纤维
Fur Pelt,毛皮
Composite Filler,复合填料
Huckleberry Extract,越橘汁
Berry Extract Fertilizer,浆果萃取化肥
Pulp Filler,纸浆填料
Scrap Meat,碎肉
Blood Meal Fertilizer,血粉化肥
Fiber Filler,纤维填料
Charred Camas Bulb,烧焦的卡马斯球茎
Camas Ash Fertilizer,卡马斯灰化肥
Dirt,泥土
Hide Ash Fertilizer,皮灰化肥
Pelt Fertilizer,毛皮化肥
Stone,石头
Phosphate Fertilizer,磷肥
Wood Pulp,木浆
Acorn Powder,橡子粉
Raw Meat,生肉
Baked Meat,熟肉
Raw Roast,未烤肉
Baked Roast,熟烤肉
Tallow,脂油
Bannock,麦饼
Bean Paste,豆浆
Flour,面粉
Sugar,糖
Yeast,酵母
Bearclaw,熊爪包
Prime Cut,特级肉块
Vegetable Medley,蔬菜拼盘
Meat Stock,肉汤料
Infused Oil,浸泡油
Bear S U P R E M E,顶级熊肉
Raw Sausage,生香肠
Boiled Sausage,煮香肠
Bread,面包
Camas Paste,卡马斯浆
Camas Bread,卡马斯面包
Camas Bulb Bake,烤卡马斯球茎
Campfire Roast,篝火烧肉
Campfire Stew,篝火炖
Charred Beet,烧焦的甜菜
Charred Corn,烧焦的玉米
Raw Fish,生鱼
Charred Fish,烧焦的鱼
Charred Meat,烧焦的肉
Charred Sausage,烧焦的香肠
Charred Tomato,烧焦的番茄
Steel,钢
Cornmeal,玉米粉
Oil,油
Corn Fritters,玉米煎饼
Corn Starch,玉米淀粉
Basic Salad,简单沙拉
Crimson Salad,深红沙拉
Raw Bacon,生培根
Crispy Bacon,香脆培根
Tortilla,玉米饼
Wild Mix,蔬菜捞
Elk Taco,鹿肉玉米卷
Elk Wellington,惠灵顿鹿排
Flatbread,大饼
Prepared Meat,预加工肉
Fried Hare Haunches,炸兔后腿
Fried Tomatoes,炸番茄
Huckleberry Pie,越橘馅饼
Hydrocolloids,亲水胶体
Liquid Nitrogen,液氮
Simple Syrup,普通糖浆
Maltodextrin,麦芽糊精
Meat Pie,肉馅饼
Cereal Germ,谷物胚芽
Seared Meat,煎肉
Simmered Meat,炖肉
Stuffed Turkey,填馅火鸡
Fruit Salad,水果沙拉
Sweet Salad,甜沙拉
Transglutaminase,转谷氨酰胺酶
Vegetable Stock,蔬菜汤料
Vegetable Soup,蔬菜汤
Wild Stew,蔬菜炖
Wilted Fiddleheads,蕨菜干
Piston,活塞
Valve,阀门
Servo,传动装置
Circuit,电路
Advanced Combustion Engine,高级内燃机
Log,原木
Arrow,箭
Concrete,混凝土
Asphalt Ramp,沥青坡道
Barrel,桶
Biodiesel,生物柴油
Board,木板
Brick,砖块
Lumber,板材
Charcoal,木炭
Substrate,基底
Copper Wiring,铜线
Gold Flakes,金片
Gearbox,齿轮箱
Combustion Engine,内燃机
Copper Ore,铜矿
Copper Pipe,铜管
Corrugated Steel,波纹钢
Deed,契据
Dirt Ramp,泥土坡道
Electric Motor,电动机
Petroleum,石油
Epoxy,环氧树脂
Plastic,塑料
Glass,玻璃
Fiberglass,玻璃钢
Fishing Pole,钓鱼竿
Flat Steel,扁钢
Framed Glass,框式玻璃
Gasoline,汽油
Gear,齿轮
Sand,沙子
Gold Ore,金矿
Hewn Log,粗凿原木
Iron Ore,铁矿
Iron Pipe,铁管
Mortared Stone,浆砌石
Paper,纸
Rebar,钢筋
Reinforced Concrete,钢筋混凝土
Rivet,铆钉
Soil Sampler,土壤取样器
Steel Pipe,钢管
Stone Ramp,石头坡道
Stone Road,石质道路
Torch,火把
Bison Carcass,野牛遗骸
Elk Carcass,驼鹿遗骸
Fox Carcass,狐狸遗骸
Hare Carcass,野兔遗骸
Turkey Carcass,火鸡遗骸
Wolf Carcass,狼遗骸
Salmon,鲑鱼肉
Trout,鳟鱼
Tuna,金枪鱼
Urchin,海胆
Kelp,海带
Clam,蚌
Coal,煤
Waterwheel,水车
Anvil,铁砧
Bakery Oven,烤炉
Blast Furnace,高炉
Bloomery,锻铁炉
Bookshelf,书架
Brazier,火盆
Butchery Table,肉加工工作台
Campfire,篝火
Candle Stand,烛台
Carpentry Table,木工工作台
Cast Iron Stove,铸铁火炉
Ceiling Candle,吊式烛灯
Cement Kiln,水泥窑
Chair,椅子
Combustion Generator,内燃发电机
Computer Lab,实验室电脑
Construction Post,建筑标识
Contract Board,合同公告板
Couch,沙发
Currency Exchange,货币兑换
Electric Wall Lamp,电壁灯
Electronics Assembly,电子装配套装
Farmers Table,农业工作台
Fishery,渔具
Fish Trap,捕鱼器
Icebox,冷藏箱
Kiln,窑
Laboratory,实验室
Laser,激光
Wooden Latrine,木质马桶
Masonry Table,石匠工作台
Mill,磨坊
Mint,铸币厂
Oil Refinery,炼油厂
Padded Chair,软垫椅
Round Pot,圆盆
Square Pot,方盆
Pump Jack,油压机
Refrigerator,冰箱
Research Table,研究工作台
Rolling Mill,轧机
Medium Rug,中地毯
Small Rug,小地毯
Salt Basket,盐篓
Sawmill,锯木台
Shelf Cabinet,柜架
Solar Generator,太阳能发电机
Stockpile,料堆
Stone Brazier,石火盆
Storage Chest,储物箱
Stove,火炉
Streetlamp,街灯
Tailoring Table,裁缝工作台
Tallow Candle,油脂蜡烛
Tallow Lamp,油脂灯
Tallow Wall Lamp,油脂壁灯
Torch Stand,火把架
Treasury,金库
Wainwright Table,车匠工作台
Wall Candle,挂壁烛灯
Washboard,搓衣板
Washing Machine,洗衣机
Windmill,风车
Wind Turbine,风力涡轮机
Wooden Fabric Bed,木质布料床
Wooden Straw Bed,木质稻草床
Wood Sign,木质标志
Workbench,工作台
Advanced Baking,高级烘烤
Advanced Cooking,高级烹饪
Advanced Smelting,高级冶炼
Baking,烘烤
Basic Engineering,基础工程
Butchery,肉加工
Campfire Cooking,篝火烹饪
Cement,水泥
Cooking,烹饪
Cutting Edge Cooking,尖端烹饪
Digging,挖掘
Electronics,电气
Farming,农业
Fertilizers,化肥
Fishing,钓鱼
Gathering,采集
Glassworking,玻璃加工
Hewing,开砍
Hunting,狩猎
Industry,工业
Logging,伐木
Mechanics,机械
Milling,研磨
Mining,采矿
Oil Drilling,石油钻探
Paper Milling,造纸
Self Improvement,自我提升
Smelting,冶炼
Tailoring,裁缝
Woodworking,木材加工
Backpack,背包
Backpacks,背包
Chat Log,聊天日志
Objectives,目标
Alpha Cloak,初心者披风
Alpha Cloaks,初心者披风
Alpha Goggles,初心者护目镜
Alpha Hat,初心者帽子
Alpha Hats,初心者帽子
Basic Backpack,基础背包
Bearpack,熊背包
Big Backpack,大背包
Blinky Eyelids,闪亮的眼睑
Camo Pants,迷彩裤
Camo Shirt,迷彩衬衫
Capris,紧身裤
Derpy Hat,德比帽
Fit Torso,健康的体魄
Garden Boots,花园靴
Gigot Sleeve Shirt,羊腿袖衬衫
Hardy Beard,茂密的胡子
Henley,亨利衫
Human Limbs,人类肢体
Light Backpack,轻便背包
Low Top Shoes,低帮鞋
Normal Hair,普通头发
Peasant Hair,平民头发
Rounded Face,圆脸
Running Shoes,跑鞋
Scruffy Hair,邋遢头发
Short Beard,短胡子
Square Belt,方皮带
Square Jaw,方下巴
Tall Boots,高筒靴
Trousers,裤子
Wolf Whisperer Hat,狼语帽
Wolf Whisperer Hats,狼语帽
Wolf Whisperer Mask,狼语面具
Wolf Whisperer Masks,狼语面具
Wolf Whisperer Shirt,狼语衬衫
Wolf Whisperer Shirts,狼语衬衫
Work Backpack,工作背包
Work Boots,工作靴
Bricks,砖块
Logs,原木
Sands,沙子
Sewage,污水
Tailings,残渣
Tree Debris,树木残枝
Wire,线路
Wires,线路
Beets,甜菜
Boiled Sausages,煮香肠
Camas Bulbs,卡马斯球茎
Corns,玉米
Ecoylent,
Fruit Salads,水果沙拉
Kelp Seed,海带种子
Milk,奶
Sugarcane,甘蔗
Tomatoes,番茄
Tortillas,玉米饼
Waterweed Seed,伊乐藻种子
Acorn Pack,橡子包
Arrows,箭
Beans Pack,豆包
Beet Seed Pack,甜菜种子包
Birch Seed Pack,桦树种子包
Boards,木板
Bunchgrass Seed Pack,丛生禾草种子包
Camas Bulb Pack,卡马斯球茎包
Cedar Seed Pack,雪松种子包
Clams,蚌
Corn Seed Pack,玉米种子包
Creosote Bush Seed Pack,灌木种子包
Crimini Mushroom Spores Pack,香啡菇孢子包
Deeds,契据
Fern Spore Pack,蕨类孢子包
Fir Seed Pack,杉树种子包
Fireweed Seed Pack,柳兰种子包
Grass Seed Pack,草种子包
Huckleberry Seed Pack,越橘种子包
Kelp Seed Pack,海带种子包
Nuclear Fuel,核燃料
Papers,纸
Plastics,塑料
Prickly Pear Seed Pack,仙人球种子包
Rice Pack,米包
Smog,烟雾
Strange Fuel,奇怪的燃料
Sugarcane Pack,甘蔗包
Tomato Seed Pack,番茄种子包
Urchins,海胆
Vehicle Tool Toggle,车辆工具开关
Waterweed Seed Pack,伊乐藻种子包
Wheat Seed Pack,小麦种子包
Advanced Baking Skill Book,高级烘烤技能书
Advanced Cooking Skill Book,高级烹饪技能书
Advanced Smelting Skill Book,高级冶炼技能书
Baking Skill Book,烘烤技能书
Basic Engineering Skill Book,基础工程技能书
Butchery Skill Book,肉加工技能书
Cooking Skill Book,烹饪技能书
Cutting Edge Cooking Skill Book,尖端烹饪技能书
Electronics Skill Book,电气技能书
Farming Skill Book,农业技能书
Fertilizers Skill Book,化肥技能书
Glassworking Skill Book,玻璃加工技能书
Industry Skill Book,工业技能书
Mechanics Skill Book,机械技能书
Milling Skill Book,研磨技能书
Oil Drilling Skill Book,石油钻探技能书
Paper Milling Skill Book,造纸技能书
Smelting Skill Book,冶炼技能书
Tailoring Skill Book,裁缝技能书
Advanced Baking Skill Scroll,高级烘烤技能卷轴
Advanced Cooking Skill Scroll,高级烹饪技能卷轴
Advanced Smelting Skill Scroll,高级冶炼技能卷轴
Baking Skill Scroll,烘烤技能卷轴
Basic Engineering Skill Scroll,基础工程技能卷轴
Butchery Skill Scroll,肉加工技能卷轴
Cooking Skill Scroll,烹饪技能卷轴
Cutting Edge Cooking Skill Scroll,尖端烹饪技能卷轴
Electronics Skill Scroll,电气技能卷轴
Farming Skill Scroll,农业技能卷轴
Fertilizers Skill Scroll,化肥技能卷轴
Glassworking Skill Scroll,玻璃加工技能卷轴
Industry Skill Scroll,工业技能卷轴
Mechanics Skill Scroll,机械技能卷轴
Milling Skill Scroll,研磨技能卷轴
Oil Drilling Skill Scroll,石油钻探技能卷轴
Paper Milling Skill Scroll,造纸技能卷轴
Smelting Skill Scroll,冶炼技能卷轴
Tailoring Skill Scroll,裁缝技能卷轴
Carpenter,木工
Chef,厨师
Engineer,工程师
Farmer,农民
Farmers,农民
Hunter,猎人
Mason,石匠
Smith,铁匠
Survivalist,生存专家
Tailor,裁缝
Axes,斧
Dev Flood Tool,开发者Flood工具
Dev Tool,开发者工具
Ecko The Dolphin,海豚埃克
Fishing Poles,钓鱼竿
Hammer,锤
Hoe,锄
Hoes,锄
Hydrometer,浮秤
Meteor Shard,流星碎片
Meteor Shards,流星碎片
Road Tool,道路工具
Bookshelves,书架
Button,按钮
Buttons,按钮
Carved Pumpkin,南瓜灯
Door,门
Doors,门
Ecko Statue,埃克雕像
Excavator,挖掘机
Lasers,激光
Mills,磨坊
Powered Cart,动力推车
Small Wood Cart,小木质拖车
Switch,开关
Tables,桌子
Transmission Pole,传动杆
Wood Cart,木质拖车
{0} has returned to the game (Last online {1} ago).,{0} 已回到游戏 (上次在线 {1})。
Vitamins,维生素
Eat Food,吃食物
Mouse-over the food in your toolbar to examine its nutrients.,鼠标移动到你工具栏上的食物来显示它的营养。
Eat food containing carbohydrates.,吃含有碳水化合物的食物。
Eat food containing protein.,吃含有蛋白质的食物。
Eat food containing fat.,吃含有脂肪的食物。
Eat food containing vitamins.,吃含有维他命的食物。
Authorized,已授权
{0} has left the game,{0} 离开了游戏
Controls,控制
Connecting...,连接中……
Shift,Shift键
Impact in:,撞击倒计时：
Text,文本
Auth,认证
Enter text,输入文本
Public,公用
stuff,物品
Settings inherited from deed,契据继承设置
Chop a tree until it falls over.,砍伐一棵树直到它完全倒下。
Pick up the pieces with 'E'.,按 'E' 拾取碎片。
Open the Map.,打开地图。
You can see the marker in the world. Click the arrow to bring up options or remove it.,你能看到世界上的标记，点击箭头可显示选项或将其移除。
Tools,工具
You received,你已收到
Unauthorized\n,未授权\n
Username,用户名
Authorized\n,已授权\n
password,密码
Logging in...,登录中……
calorie consumption,卡路里消耗
Decreases,减少
damage,伤害
Increases,增加
repair cost,维修消耗
harvest yield,收获产量
{0} Recipe,{0} 配方
craft time,制作时间
You,你
carry weight,携带重量
calorie cost,卡路里消耗
how close you can approach animals,你能接近动物的远近
Bucks,通货
Queued Projects,排队项目
Currency Exchange is disabled (room requirements not met?),货币兑换被禁用 （房间要求未满足？）
Selling,出售
Buying,购买
Balances,余额
Click to give player reputation.,点击以给玩家声望。
payment,报酬
value,值
Variants,变种
Tier {0},等级 {0}
{0} output,{0} 输出
Plots,地块
Weight: {0}kg,重量: {0}公斤
This item can only be carried.,该物品只能被搬运。
Crafted At,制作于
Harvested from,收获于
Buy it at,购买于
Sell it at,出售于
Used in,用于
Requires {0},需要 {0}
Ingredients,原料
Products,产品
No benefits from skills,无技能收益
Ask an Expert To Craft It,找专家来制作它
{0} Project,{0} 项目
Status,状态
Recipes,配方
Click to send a private message,点击发送一条私信
Welcome to Eco!,欢迎来到《生态物语》！
Welcome back to Eco!,欢迎回到《生态物语》！
World age: {0},世界年龄：{0}
Click to view in the skill window,点击查看技能窗口
Unlocks,解锁
Benefits,收益
Top Users,专业玩家
Skills,技能
Produces,生产
and {0:count} more {1:items},和 {0:count} 个额外的 {1:items}
Eyes,眼睛
Torso,躯干
Hips,臀部
Limbs,四肢
Jaw,下巴
Hide from the animals!,让动物看不到你！
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.",紧身裤 (又称秋裤，紧身裤，七分裤，中运动裤，挖蛤裤，折边裤，宽短裤，九分裤，女裙裤，或者女用紧身裤) 是比短裤长但又没裤子长的裤。
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,愚蠢的宽边帽并不适合任何人。你穿它都觉得尴尬。
Cool piratey shirt that makes your biceps look bigger than they really are.,很酷的海盗衬衫能让你的二头肌看上去更大。
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.",基础的，平常的，日常的，普通的，没特色的，传统的，平凡的，乏味的，平淡无奇，简单的低帮鞋。
The hair with a completely normal amount of flare.,光泽完全普通的头发。
The haircut your mom always made you get before you realized you could make your own decisions.,在你意识到你的发型你作主之前，你老妈总是让你剪这个发型。
Belt with a square buckle.,方形扣皮带。
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.",长筒靴就是高到膝盖的靴子，或者低一点。通常在脚和脚踝处比上部会更紧。
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).",结实的修身裤。裤子是从腰部到脚踝穿上，分别覆盖两腿 (而不是用布盖着两腿，像长袍，短裙，还有连衣裙)。
Lighter pack that causes lower calorie consumption.,更轻的背包会消耗更少的卡路里。
Powdered acorn.,磨成粉的橡子。
A trussed roast baked to perfection.,这简直是完美的烧烤。
A dense whole wheat unleavened bread.,一个浓稠全麦的未发酵面包。
A seemingly random assortment of wild plants that form a sort of salad.,一种似乎是随机搭配的野生植物做成了沙拉。
Smashed beans can work as a thickener or flavour enhancer.,研碎的豆子可以用来增稠或者调味用。
Just because the name has 'bear' in it doesn't mean it actually contains bear.,名字里带 '熊' 的不一定里面有熊。
A brilliantly colored bulb with an earthy sweetness.,一种色彩鲜明且带泥土甜味的球茎。
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.",煮香肠也许不如烤香肠，但它们还是很美味的。
"A delicious, crispy crust hides the soft interior.",美味的，外表松脆内在柔软。
A bread with a camas twist for a bit of flavor and fun.,与卡马斯结合的面包会多一点风味和乐趣。
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.",一盘均匀烘烤的卡马斯球茎；内里柔嫩，外表金黄。
Pulverized camas works as an excellent thickener or flavour enhancer.,浆状的卡马斯是一种出色的增稠剂或调味剂。
