English,Dutch
Atmosphere added.,Atmosfeer toegevoegd.
You gave {0} plots to {1}.,U gaf {0} percelen aan {1}.
You gained {0} plots.,Je hebt {0} plots behaald.
With great power comes great responsibility,Met grote kracht komt grote verantwoordelijkheid
Selected item doesn't have durability.,Geselecteerd item heeft geen duurzaamheid.
Durability set to {0},Duurzaamheid ingesteld op {0}
Finished in {0},Klaar in {0}
{0} commands:,{0} opdrachten:
Online: {0},Online: {0}
You are a {0},U bent een {0}
{0} is not a world layer.,{0} is geen wereld laag.
Missing Location,Locatie ontbreekt
"Can't add tutorial item to inventory, no room.","Tutorial object wilt inventariseren, geen ruimte toevoegen niet."
Building Blocks...,Bouw blokken...
{0} has no access rights for {1} at {2}.,{0} heeft geen recht op toegang tot {1} op {2}.
{0} not selected.,{0} niet geselecteerd.
{0} cannot accept items of type {1}.,{0} kan geen items ontvangen van het type {1}.
Need to add {0} to {1}.,Je moet {0} bij {1} voegen.
Button pressed.,Knop ingedrukt.
meters,meter
Plant,Plant
This plant is dead. {0},Deze plant is dood. {0}
Calories Available: {0},Calorieën beschikbaar: {0}
Calories Required per Organism: {0},Calorieën nodig per organisme: {0}
Amount of {0} Available: {1},Hoeveelheid {0} beschikbaar: {1}
Log is not ready for harvest.  Remove all branches first.,Boomstam is niet klaar om geoogst te worden. Verwijder eerst alle takken.
"Log is too large to pick up, slice into smaller pieces first.",Boomstam is te groot om op te pakken. Eerst in kleinere stukken hakken.
You are already carrying {0:items} and cannot pick up {1:items}.,U zijn al bezig met {0:items} en {1:items} niet kan halen.
You must obtain authorization to shoot {0}.,Je moet toestemming krijgen om {0} te beschieten.
Axe,Bijl
Pickaxe,Pikhouweel
Scythe,Zeis
Shovel,Schep
Iron Axe,Ijzeren bijl
Iron Hammer,Ijzeren hamer
Iron Hoe,Ijzeren schoffel
Iron Pickaxe,Ijzeren pikhouweel
Iron Shovel,Ijzeren schep
Modern Axe,Moderne bijl
Modern Hammer,Moderne hamer
Modern Hoe,Moderne schoffel
Modern Pickaxe,Moderne pikhouweel
Modern Scythe,Moderne schoffel
Modern Shovel,Moderne schep
Steel Axe,Stalen bijl
Steel Hammer,Stalen hamer
Steel Hoe,Stalen schoffel
Steel Pickaxe,Stalen pikhouweel
Steel Shovel,Stalen schep
Stone Axe,Stenen bijl
Stone Hammer,Stenen hamer
Stone Pickaxe,Stenen pikhouweel
Wooden Hoe,Houten schoffel
Wooden Shovel,Houten schep
Bow,Boog
Amanita Mushrooms,Vliegenzwam
Beet,Biet
Corn,Maïs
Crimini Mushrooms,Champignons
Fiddleheads,Varenkrul
Fireweed Shoots,Семян кипрея
Giant Cactus Fruit,Gigantische Cactus Fruit
Huckleberries,Bosbes
Prickly Pear Fruit,Prikpeervrucht
Tomato,Tomaat
Wheat,Tarwe
Plant Fibers,Plantaardige vezels
Acorn,Eikel
Beans,Bonen
Beet Seed,Bietenzaad
Birch Seed,Berken zaad
Bunchgrass Seed,Bos gras zaad
Camas Bulb,Wilde hyacint bloembol
Cedar Seed,Ceder zaad
Corn Seed,Maïs Zaad
Creosote Bush Seed,Creosoot Wild Zaad
Crimini Mushroom Spores,Champignon sporen
Fern Spore,Varen Spoor
Fireweed Seed,Wilgenroosje Zaad
Fir Seed,Sparren Zaad
Grass Seed,Gras Zaad
Huckleberry Seed,Bosbessen zaad
Prickly Pear Seed,Prikkelige Peren Zaad
Rice,Rijst
Tomato Seed,Tomatenzaad
Wheat Seed,Tarwezaad
Leather Hide,Leren huid
Cloth,Textiel
Cellulose Fiber,Celstof
Fur Pelt,Bont pels
Composite Filler,Compost vuller
Huckleberry Extract,Bosbessen extract
Berry Extract Fertilizer,Bessen extract mest
Pulp Filler,Pulp vuller
Scrap Meat,Restvlees
Blood Meal Fertilizer,Bloed maaltijd mest
Fiber Filler,Vezel vuller
Charred Camas Bulb,Verkoolde camassia bloembol
Camas Ash Fertilizer,Camassia as kunstmest
Dirt,Aarde
Hide Ash Fertilizer,Huid as kunststof
Pelt Fertilizer,Vacht kunstmest
Stone,Steen
Phosphate Fertilizer,Fosfaat kunstmest
Wood Pulp,Houtpulp
Acorn Powder,Eikelpoeder
Raw Meat,Rauw vlees
Baked Meat,Gebakken vlees
Raw Roast,Rauwe Roastbeef
Baked Roast,Gebakken Roastbeef
Tallow,Talg
Bannock,Bannock
Bean Paste,Bonen pasta
Flour,Bloem
Sugar,Suiker
Yeast,Gist
Bearclaw,Koffiebroodje
Prime Cut,Filet
Vegetable Medley,Groentemix
Meat Stock,Vlees voorraad
Infused Oil,Kruidenolie
Bear S U P R E M E,Supervlees
Raw Sausage,Rauwe worst
Boiled Sausage,Gekookte worst
Bread,Brood
Camas Paste,Паста из камассии
Camas Bread,Хлеб с камассией
Camas Bulb Bake,Запечённая луковица камассии
Campfire Roast,Kampvuur gebraad
Campfire Stew,Kampvuur stoofpot
Charred Beet,Geroosterde bieten
Charred Corn,Geroosterde maïs
Raw Fish,Rauwe vis
Charred Fish,Geroosterde vis
Charred Meat,Geroosterd vlees
Charred Sausage,Geroosterde worst
Charred Tomato,Geroosterde tomaat
Steel,Staal
Cornmeal,Кукурузная мука
Oil,Skill
Corn Fritters,Кукурузные оладьи
Corn Starch,Кукурузный крахмал
Basic Salad,Simpele salade
Crimson Salad,Crimsonsalade
Raw Bacon,Rauwe spek
Crispy Bacon,Krokante spek
Tortilla,Tortilla
Wild Mix,Wilde salade
Elk Taco,Rendier Taco
Elk Wellington,Rendier Wellington
Flatbread,Matses
Prepared Meat,Gebraden vlees
Fried Hare Haunches,Gebakken hazenbout
Fried Tomatoes,Gebakken tomaten
Huckleberry Pie,Bosbessen taart
Hydrocolloids,Hydrocolloïdes
Liquid Nitrogen,Vloeibaar stikstof
Simple Syrup,Simpele siroop
Maltodextrin,Maltodextrine
Meat Pie,Gehakt brood
Cereal Germ,Tarwekiem
Seared Meat,Gegrilld vlees
Simmered Meat,Gestoofd vlees
Stuffed Turkey,Gevulde kalkoen
Fruit Salad,Fuitsalade
Sweet Salad,Zoete salade
Transglutaminase,Transglutaminase
Vegetable Stock,Groentebouillon
Vegetable Soup,Groentesoep
Wild Stew,Wild stoofpotje
Wilted Fiddleheads,Verwerkte Varenkrullen
Piston,Zuiger
Valve,Ventiel
Servo,Servo
Circuit,Circuit
Advanced Combustion Engine,Geavanceerde verbrandingsmotor
Log,Hout
Arrow,Pijl
Concrete,Beton
Asphalt Ramp,Asfalt helling
Barrel,Vat
Biodiesel,Biodiesel
Board,Boord
Brick,Baksteen
Lumber,Timmerhout
Charcoal,Houtskool
Substrate,Substraat
Copper Wiring,Koperen bedrading
Gold Flakes,Goudvlokken
Gearbox,Versnellingsbak
Combustion Engine,Verbrandingsmotor
Copper Ore,Koper erts
Copper Pipe,Koperen pijp
Corrugated Steel,Gegolfd staal
Deed,Akte
Dirt Ramp,Aarde helling
Electric Motor,Elektromotor
Petroleum,Petroleum
Epoxy,Epoxy
Plastic,Plastic
Glass,Glas
Fiberglass,Glasvezel
Fishing Pole,Vishengel
Flat Steel,Staal
Framed Glass,Raam
Gasoline,Benzine
Gear,Tandwiel
Sand,Zand
Gold Ore,Goud erts
Hewn Log,Bewerkt hout
Iron Ore,Ijzererts
Iron Pipe,Ijzeren pijp
Mortared Stone,Gecementeerde steen
Paper,Papier
Rebar,Bewapening
Reinforced Concrete,Gewapend beton
Rivet,Klinknagel
Soil Sampler,Bodem tester
Steel Pipe,Stalen buis
Stone Ramp,Stenen helling
Stone Road,Stenen weg
Torch,Fakkel
Bison Carcass,Bison karkas
Elk Carcass,Hert karkas
Fox Carcass,Vos karkas
Hare Carcass,Haas karkas
Turkey Carcass,Kalkoen karkas
Wolf Carcass,Wolf karkas
Salmon,Zalm
Trout,Forel
Tuna,Tonijn
Urchin,Zee egel
Kelp,Zeewier
Clam,Kokkel
Coal,Kool
Waterwheel,Waterrad
Anvil,Aambeeld
Bakery Oven,Bakkerij Oven
Blast Furnace,Hoogoven
Bloomery,Laagoven
Bookshelf,Boekenplank
Brazier,Vuurkorf
Butchery Table,Slagerij tafel
Campfire,Kampvuur
Candle Stand,Kandelaar
Carpentry Table,Timmerwerk tafel
Cast Iron Stove,Ijzeren kachel
Ceiling Candle,Plafond kandelaar
Cement Kiln,Cement oven
Chair,Stoel
Combustion Generator,Stoom machine
Computer Lab,Computerlab
Construction Post,Bouw bord
Contract Board,Contract Bord
Couch,Bank
Currency Exchange,Valutawissel
Electric Wall Lamp,Elektrische wand-Lamp
Electronics Assembly,Elektronica-assemblage
Farmers Table,Boeren tafel
Fishery,Visserij
Fish Trap,Visval
Icebox,Koelbox
Kiln,Oven
Laboratory,Laboratorium
Laser,Laser
Wooden Latrine,Houten plee
Masonry Table,Metselwerk tafel
Mill,Molen
Mint,Munten fabriek
Oil Refinery,Olie Raffinaderij
Padded Chair,Beklede stoel
Round Pot,Ronde Pot
Square Pot,Vierkante Pot
Pump Jack,Hydraulische pomp
Refrigerator,Koelkast
Research Table,Onderzoek tafel
Rolling Mill,Drukpers
Medium Rug,Middelgroot tapijt
Small Rug,Klein Tapijt
Salt Basket,Zout mand
Sawmill,Zagerij
Shelf Cabinet,Boekenkast
Solar Generator,Zonne-Generator
Stockpile,Voorraad
Stone Brazier,Steen korf
Storage Chest,Opbergkist
Stove,Kachel
Streetlamp,Straatlamp
Tailoring Table,Naaitafel
Tallow Candle,Talg kaars
Tallow Lamp,Talg Lamp
Tallow Wall Lamp,Talg muur Lamp
Torch Stand,Fakkelhouder
Treasury,Schatkist
Wainwright Table,Picknicktafel
Wall Candle,Muur kaars
Washboard,Wasbord
Washing Machine,Wasmachine
Windmill,Windmolen
Wind Turbine,Windmolen
Wooden Fabric Bed,Houten bed met matras
Wooden Straw Bed,Houten bed met stro
Wood Sign,Houten bord
Workbench,Werkbank
Advanced Baking,Geavanceerd bakken
Advanced Cooking,Geavanceerd koken
Advanced Smelting,Geavanceerd smelten
Baking,Bakken
Basic Engineering,Basis Engineering
Butchery,Slager
Campfire Cooking,Kampvuur koken
Cement,Cement
Cooking,Koken
Cutting Edge Cooking,Chef kok
Digging,Graven
Electronics,Elektronica
Farming,Landbouwen
Fertilizers,Meststoffen
Fishing,Visserij
Gathering,Verzamelen
Glassworking,Glaswerk
Hewing,Dergelijk
Hunting,Jagen
Industry,Industrie
Logging,Houtkappen
Mechanics,Mechanica
Milling,Frezen
Mining,Mijnbouw
Oil Drilling,Olie boren
Paper Milling,Papier Frezen
Self Improvement,zelf verbetering
Smelting,Smelten
Tailoring,Afstemming
Woodworking,Houtbewerking
Backpack,Rugzak
Backpacks,Rugzakken
Chat Log,Chatlog
Objectives,Doelstellingen
Alpha Cloak,Alfa mantel
Alpha Cloaks,Alfa mantels
Alpha Goggles,Alfa bril
Alpha Hat,Alfa hoed
Alpha Hats,Alfa hoeden
Basic Backpack,Standaard rugzak
Bearpack,Bearpack
Big Backpack,Grote rugzak
Blinky Eyelids,Blinky oogleden
Camo Pants,Camouflage broek
Camo Shirt,Camouflage hemd
Capris,Driekwartsbroek
Derpy Hat,Derpy hoed
Fit Torso,Fit torso
Garden Boots,Tuinlaarzen
Gigot Sleeve Shirt,Schapenwolle trui
Hardy Beard,Harde baard
Henley,Trui
Human Limbs,Menselijke ledematen
Light Backpack,Lichte rugzak
Low Top Shoes,Lage top schoenen
Normal Hair,Normaal haar
Peasant Hair,Boeren haar
Rounded Face,Rond gezicht
Running Shoes,Loopschoenen
Scruffy Hair,Smerig haar
Short Beard,Korte baard
Square Belt,Vierkante riem
Square Jaw,Vierkante kaak
Tall Boots,Hoge laarzen
Trousers,Broek
Wolf Whisperer Hat,Wolven fluisteraars hoed
Wolf Whisperer Hats,Wolven fluisteraars hoeden
Wolf Whisperer Mask,Wolven fluisteraars masker
Wolf Whisperer Masks,Wolven fluisteraars maskers
Wolf Whisperer Shirt,Wolven fluisteraars shirt
Wolf Whisperer Shirts,Wolf Whisperer Shirts
Work Backpack,Werk rugzak
Work Boots,Werk laarzen
Bricks,Bakstenen
Logs,Stammen
Sands,Zand
Sewage,Канализация
Tailings,Afvalbassins
Tree Debris,Boom puin
Wire,Draad
Wires,Draden
Beets,Свеклы
Boiled Sausages,Вареные сосиски
Camas Bulbs,Луковиц камассии
Corns,Likdoorns
Ecoylent,Эколиксир
Fruit Salads,Fruitsalade
Kelp Seed,Семя бурой водоросли
Milk,Melk
Sugarcane,Suikerriet
Tomatoes,Tomaten
Tortillas,Tortilla's
Waterweed Seed,Waterpest zaad
Acorn Pack,Eikel pakket
Arrows,Pijlen
Beans Pack,Bonen pakket
Beet Seed Pack,Bieten zaden pakket
Birch Seed Pack,Berken zaden pakket
Boards,Planken
Bunchgrass Seed Pack,Bos gras zaden pakket
Camas Bulb Pack,Camassia Bollen Pakket
Cedar Seed Pack,Ceder zaden pakket
Clams,Kokkels
Corn Seed Pack,Maïs Zadenpakket
Creosote Bush Seed Pack,Creosoot Bush Zadenpakket
Crimini Mushroom Spores Pack,Champignon sporen pakket
Deeds,Daden
Fern Spore Pack,Varen Sporen pakket
Fir Seed Pack,Spar Zadenpakket
Fireweed Seed Pack,Wilgenroos Zaad Pakket
Grass Seed Pack,Gras zaden pakket
Huckleberry Seed Pack,Bosbessen zaden pakket
Kelp Seed Pack,Zeewier zaden pakket
Nuclear Fuel,Nucleaire Brandstof
Papers,Papieren
Plastics,Пластмассы
Prickly Pear Seed Pack,Prikkelige Peren Zaden pakket
Rice Pack,Rijst pakket
Smog,Смог
Strange Fuel,Странное топливо
Sugarcane Pack,Suikerriet pakket
Tomato Seed Pack,Tomaten zaden pakket
Urchins,Ежи
Vehicle Tool Toggle,Voertuig Gereedschap Schakelaar
Waterweed Seed Pack,Waterpest Zaad Pakket
Wheat Seed Pack,Tarwe zaden pakket
Advanced Baking Skill Book,Gevorderden bak vaardigheden boek
Advanced Cooking Skill Book,Gevorderde kook vaardigheden boek
Advanced Smelting Skill Book,Книга навыка продвинутой выплавки
Baking Skill Book,Книга навыка выпечки
Basic Engineering Skill Book,Книга навыка простой инженерии
Butchery Skill Book,Slagerij Vaardigheidsboek
Cooking Skill Book,Koken vaardigheid boek
Cutting Edge Cooking Skill Book,Hoogwaardig Koken Vaardigheidsboek
Electronics Skill Book,Elektronica vaardigheden boek
Farming Skill Book,Landbouw vaardigheid boek
Fertilizers Skill Book,Meststoffen vaardigheden boek
Glassworking Skill Book,Glaswerkers vaardigheden boek
Industry Skill Book,Industrie vaardigheden boek
Mechanics Skill Book,Mechanica Vaardigheidsboek
Milling Skill Book,Frezen vaardigheidsboek
Oil Drilling Skill Book,Olie boren Vaardigheidsboek
Paper Milling Skill Book,Papieren frezen vaardigheidsboek
Smelting Skill Book,Smelten van behendigheid boek
Tailoring Skill Book,Afstemming vaardigheid boek
Advanced Baking Skill Scroll,Geavanceerde bakken vaardigheid Scroll
Advanced Cooking Skill Scroll,Geavanceerd Koken Vaardigheidsrol
Advanced Smelting Skill Scroll,Geavanceerd Smelten Vaardigheidsrol
Baking Skill Scroll,Bakken Vaardigheidsrol
Basic Engineering Skill Scroll,Basis Ingenieur Vaardigheidsrol
Butchery Skill Scroll,Slagerij Vaardigheidsrol
Cooking Skill Scroll,Koken Vaardigheidsrol
Cutting Edge Cooking Skill Scroll,Hoogwaardig Koken Vaardigheidsrol
Electronics Skill Scroll,Electronica Vaardigheidsrol
Farming Skill Scroll,Landbouw Vaardigheidsrol
Fertilizers Skill Scroll,Meststoffen Vaardigheidsrol
Glassworking Skill Scroll,Glasbewerking Vaardigheidsrol
Industry Skill Scroll,Industrie Vaardigheidsrol
Mechanics Skill Scroll,Mechanica Vaardigheidsrol
Milling Skill Scroll,Frezen Vaardigheidsrol
Oil Drilling Skill Scroll,Olie boren Vaardigheidsrol
Paper Milling Skill Scroll,Papier Frezen Vaardigheidsrol
Smelting Skill Scroll,Smelten Vaardigheidsrol
Tailoring Skill Scroll,Свиток навыка портного
Carpenter,Timmerman
Chef,Повар
Engineer,Инженер
Farmer,Фермер
Farmers,Фермеры
Hunter,Охотник
Mason,Каменщик
Smith,Кузнец
Survivalist,Overlevenaar
Tailor,Kleermaker
Axes,Bijlen
Dev Flood Tool,Dev Overstroming Gereedschap
Dev Tool,Инструмент разработчика
Ecko The Dolphin,Ecko de dolfijn
Fishing Poles,Удочки
Hammer,Hamer
Hoe,Мотыга
Hoes,Мотыги
Hydrometer,Hydrometer
Meteor Shard,Осколок метеорита
Meteor Shards,Осколки метеорита
Road Tool,Дорожный инструмент
Bookshelves,Книжные полки
Button,Knop
Buttons,Knoppen
Carved Pumpkin,Резная тыква
Door,Deur
Doors,Deuren
Ecko Statue,Ecko Standbeeld
Excavator,Экскаватор
Lasers,Лазеры
Mills,Molens
Powered Cart,Aangedreven Wagen
Small Wood Cart,Маленькая деревянная телега
Switch,Schakelaar
Tables,Tafels
Transmission Pole,Вышка линии электропередач
Wood Cart,Houten Wagen
{0} has returned to the game (Last online {1} ago).,{0} вернулся в игру (последний раз в онлайне {1} назад).
Vitamins,Vitamines
Eat Food,Voedsel eten
Mouse-over the food in your toolbar to examine its nutrients.,Mouse-over het voedsel in je werkbalk om te kijken naar de voedingsstoffen.
Eat food containing carbohydrates.,Eet voedsel met koolhydraten.
Eat food containing protein.,Eet voedsel met eiwitten.
Eat food containing fat.,Eet voedsel met vet.
Eat food containing vitamins.,Eet voedsel met vitamines.
Authorized,Geautoriseerd
{0} has left the game,{0} heeft het spel verlaten
Controls,Besturing
Connecting...,Подключение...
Shift,Shift
Impact in:,Inslag over:
Text,Text
Auth,Authentificatie
Enter text,Voer tekst in
Public,Publiekelijk
stuff,spul
Settings inherited from deed,Instellingen geërfd van akte
Chop a tree until it falls over.,Hak op de boom totdat de boom omvalt.
