"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","Specify an amount to buy first.","","Indiquez d'abord la quantité à acheter.","Especifica antes una cantidad para comprar.","Gib zuerst eine Kaufmenge an.","구매하기 앞서서 수량을 먼저 지정하세요.","Especifique uma quantidade para comprar, primeiro.","先指定要购买的数量。","Укажите количество товара перед покупкой.","Specifica una quantità da comprare prima.","Primeiro, especifica uma quantidade para comprar.","Meg kell adnod mennyiséget a vásárláshoz.","数量を指定してから購入してください。","Angi mengde å kjøpe først.","Określ najpierw ilość zakupu.","Specificeer eerst een aantal dat je wil kopen.","Specificați o sumă pentru a cumpăra mai întâi.","Specificer antal du vil købe først.","Pro nákup nejdříve zadejte částku.","Ange antal att köpa först.","Вкажіть кількість перед придбанням.","Όρισε πρώτα μία ποσότητα για να αγοράσεις.","حدد كمية للشراء اولاََ.","Specify an amount to buy first.","Satın almak için birim gir."
"DEFAULT","","Can't have more than 100 exchanges listed.","","Impossible de répertorier plus de 100 échanges.","No se puede tener mas de 100 cambios en la lista.","Es sind nicht mehr als 100 Wechsel möglich.","목록에 100개 이상의 거래들을 나열할 수 없습니다.","Não é possível ter mais de 100 trocas listadas.","无法拥有超过100笔交易。","Нельзя иметь более 100 обменов валюты в одном списке.","Non puoi avere più di 100 scambi elencati.","Não pode ter mais de 100 transações listadas.","Nem szerepelhet a listán 100-nál több csere.","100件を超える取引はできません。","Kan ikke ha mer enn 100 utvekslinger oppført.","Nie możesz mieć zapisanych więcej niż 100 wymian.","Kan niet meer dan 100 uitwisselingen open hebben staan.","Nu pot fi listate mai mult de 100 de schimburi.","Kan ikke har mere end 100 udvekslinger listet.","Nemůžete mít více než 100 položek pro výměnu.","Kan inte ha fler än 100 utbyten köade.","Не можна мати понад 100 зазначених обмінів.","Δεν μπορείς να έχεις στη λίστα περισσότερες από 100 ανταλλαγές.","لا يمكنك جدولة اكثر من 100 مقايضة على القائمة.","Can't have more than 100 exchanges listed.","100 takas biriminden fazlası alınamaz."
"DEFAULT","","Can't have more than 100 holdings listed.","","Impossible de répertorier plus de 100 exploitations.","No se pueden tener más de 100 propiedades listadas.","Es können nicht mehr als 100 Grundstücke gelistet sein.","목록에 100개 이상의 재산들을 나열할 수 없습니다.","Não se pode ter mais de 100 propriedades listadas.","无法拥有超过100块土地。","Нельзя иметь более 100 валютных резервов в списке.","Non puoi avere più di 100 partecipazioni quotate.","Não pode ter mais de 100 explorações listadas.","Nem lehet 100-nál több gazdaságod.","100以上の土地を所有することはできません。","Kan ikke ha mer enn 100 beholdninger listet.","Nie możesz mieć zapisanych więcej niż 100 posiadłości.","Kan niet meer dan 100 stukken land hebben.","Nu pot fi listate mai mult de 100 de exploatații.","Kan ikke har mere end 100 bedrifter listet.","Nemůžete mít více než 100 položek hospodářství.","Kan inte ha fler än 100 utbyten köade.","Не можна мати понад 100 зазначених резервів.","Δεν μπορείς να έχεις στη λίστα αναμονής περισσότερες 100 ανταλλαγές.","لا يمكنك جدولة اكثر من 100 طلب منتظر على القائمة.","Can't have more than 100 holdings listed.","100 arazi parçasından fazlası alınamaz."
"DEFAULT","","This mint is currently disabled, check status for details.","","Cet hôtel de la monnaie est actuellement désactivé. Vérifiez son statut pour plus de détails.","Esta Ceca está actualmente desactivada, comprueba el Estado para obtener más detalles.","Diese Münzprägemaschine ist zur Zeit deaktiviert, prüfe den Status für weitere Details.","이 조폐국은 현재 이용이 정지된 상태입니다. 자세한 정보를 확인하세요.","Esta prensa de cunhagem está atualmente desativada, verifique o status para mais detalhes.","该铸币厂目前已关闭，检查状态以查看详细信息。","Этот пресс для чеканки монет сейчас отключен. Для подробностей проверьте состояние.","Questa zecca è attualmente disabilitata, controlla lo stato per i dettagli.","A cunha de moeda está atualmente desativada. Verifica o estado para para mais detalhes.","Ez a pénzverde jelenleg nem működik, ellenőrizd az állapotot a részletekért.","この造幣機は現在無効です。詳細についてはステータスを確認してください。","Denne myntpressen er for øyeblikket deaktivert, sjekk statusen for detaljer.","Ta Mennica w tej chwili jest wyłączona, sprawdź jej status aby zobaczyć szczegóły.","Deze muntenpers is momenteel uitgeschakeld, Controleer de status voor meer informatie.","Această mentă este în prezent dezactivat, verificați starea pentru detalii.","Denne møntpresse er i øjeblikket deaktiveret, tjek status for detaljer.","Mincovna je momentálně vypnuta, pro více informací zkontrolujte stav.","Detta myntverk är för närvarande inaktiverat, kontrollera fliken status för detaljer.","Карбувальний верстат наразі вимкнутий, для подробиць перевірте стан.","Αυτό το νομισματοκοπείο είναι απενεργοποιημένο, έλεγξε την κατάστασή του στις λεπτομέρειες.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","Bu darphane şu an için devre dışı, detaylar için durum kontrole göz at."
"DEFAULT","","Invalid currency name.","","Nom de monnaie invalide.","Nombre de moneda no válido.","Ungültiger Währungsname.","잘못된 통화 이름입니다.","Nome da moeda inválido.","无效的货币名称。","Недопустимое название валюты.","Nome della valuta non valido.","Nome de moeda inválido.","Érvénytelen pénznem név.","通貨名が無効です。","Ugyldig valuta navn.","Nieprawidłowa nazwa waluty.","Ongeldige muntsoort naam.","Nume valuta Invalid.","Ugyldig valuta-navn.","Neplatný název měny.","Ogiltigt valutanamn.","Неприпустима назва валюти.","Μη έγκυρο όνομα νομίσματος.","اسم العملة غير صالح.","Invalid currency name.","Geçersiz para birimi ismi."
"DEFAULT","","That currency name already exists at another mint.","","Ce nom de monnaie existe déjà dans un autre hôtel de la monnaie.","Ese nombre de divisa ya existe en otra casa de la moneda.","Währungsname existiert bereits bei einer anderen Münzprägemaschine.","다른 조폐국에서 이미 사용하고 있는 통화 이름입니다.","Este nome de moeda já existe em outra prensa de cunhagem.","货币名称已存在于另一个铸币厂。","Такое название валюты уже существует на другом прессе для чеканки монет.","Il nome di quella valuta esiste già a un'altra zecca.","O nome da moeda escolhido já existe noutra casa de moeda.","Ez a pénz név egy másik pénzverdében már használatban van.","その通貨名はすでに別の造幣機に存在します。","Det valutanavnet brukes allerede av en annen myntpresse.","Ta waluta jest już używana w innej mennicy.","Die muntsoort bestaat al bij een ander munthuis.","Acest nume de monedă există deja la o altă mentă.","Dette valuta-navn findes allerede hos en anden møntpresse.","Jméno měny již existuje v jiné mincovně.","Denna valutanamn finns redan på ett annat myntverk.","Ця назва валюти вже використовується на іншому карбувальному верстаті.","Αυτή η ονομασία νομίσματος υπάρχει ήδη σε ένα άλλο νομισματοκοπείο.","That currency name already exists at another mint.","That currency name already exists at another mint.","Bu para birimi ismi başka bir darphanede kullanılıyor."
"DEFAULT","","{0} created the currency {1}.","","{0} a créé la monnaie {1}.","{0} creó la moneda {1}.","{0} hat die Währung {1} erstellt.","{0}이(가) {1} 통화를 만드셨습니다.","{0} criou a moeda {1}.","{0} 创建了货币 {1}。","{0} создаёт валюту {1}.","{0} ha creato la valuta: {1}.","{0} cria a moeda {1}.","{0} valuta létrehozva {1}.","{0} が、通貨 {1} を作成しました。","{0} opprettet valutaen {1}.","{0} utworzył walutę {1}.","{0} heeft de muntsoort {1} gemaakt.","{0} created the currency {1}.","{0} oprettede valutaen {1}.","{0} vytvořil měnu {1}.","{0} skapade valutan {1}.","{0} створює валюту {1}.","Ο παίκτης {0} δημιούργησε το νόμισμα {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} {1} isimli para birimini oluşturdu."
"DEFAULT","","{0} renamed currency {1} to {2}.","","{0} a renommé la monnaie {1} en {2}.","{0} renombró la moneda {1} a {2}.","{0} hat die Währung {1} in {2} umbenannt.","{0}이(가) {1}의 통화를 {2}의 이름으로 바꾸었습니다.","{0} renomeou a moeda {1} para {2}.","{0} 将货币 {1} 重命名为 {2}。","{0} переименовывает валюту {1} в {2}.","{0} ha rinominato la valuta {1} in {2}.","{0} renomeou {1} para {2}.","{0} valuta átnevezve {1} -ről {2} -re.","{0} が通貨を {1} から {2} に改名しました。","{0} endret navn på valuta {1} til {2}.","{0} zmienił nazwę waluty {1} na {2}.","{0} heeft de muntsoort hernoemd van {1} naar {2}.","{0} renamed currency {1} to {2}.","{0} omdøbte valutaen {1} til {2}.","{0} přejmenoval měnu {1} na {2}.","{0} har bytt namt på valutan {1} till {2}.","{0} перейменує валюту {1} на {2}.","Ο παίκτης {0} μετονόμασε το νόμισμα {1} σε {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} {1} para biriminin ismini {2} olarak değiştirdi."
"DEFAULT","","This mint is currently not functional, check status for details.","","Cet hôtel de la monnaie n'est actuellement pas fonctionnel. Vérifiez son statut pour plus de détails.","Esta casa de la moneda ya no está activa. Comprueba su estado para más detalles.","Diese Münzprägemaschine funktioniert zur Zeit nicht, prüfe den Status für mehr Details.","이 조폐국은 현재 작동하고 있지 않습니다. 자세한 정보를 확인하세요.","Esta prensa de cunhagem não está funcionando atualmente, verifique o status para mais detalhes.","该铸币厂目前没有运作，检查状态以查看详细信息。","Этот пресс для чеканки монет сейчас не работает. Для подробностей проверьте состояние.","Questa zecca non è attualmente funzionante, controlla lo stato per i dettagli.","A casa da moeda não está atualmente a funcionar. Verifica o estado para mais detalhes.","Ez a pénzverde jelenleg nem működik, ellenőrizd az állapotot a részletekért.","この造幣機は現在機能していません。詳細についてはステータスを確認してください。","Denne myntpressen fungerer foreløbig ikke, sjekk statusen for detaljer.","Ta Mennica w tej chwili nie działa, sprawdź jej status aby zobaczyć szczegóły.","Dit munthuis werkt momenteel niet, bekijk de status voor meer informatie.","Această mentă nu este în prezent funcțională, verificați starea pentru detalii.","Denne møntpresse virke i øjeblikket ikke, tjek status for detaljer.","Mincovna je momentálně nefunkční, zkontrolujte status pro více detailů.","Detta myntverk är för närvarande inaktiverat, kontrollera fliken status för detaljer.","Цей карбувальний верстат не працює, перевірте стан для подробиць.","Το νομισματοκοπείο είναι μη λειτουργικό, έλεγξε την κατάστασή του στις λεπτομέρειες.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","Bu darphane şu an için çalışmıyor, detaylar için durum kontrole göz at."
"DEFAULT","","Need to give your currency a name before you can craft it.","","Vous devez donner un nom à votre monnaie avant de pouvoir la créer.","Necesita darle un nombre a su moneda antes de poder crearla.","Du musst der Währung einen Namen geben, bevor du sie fertigen kannst.","통화 이름을 부여해주셔야 제작이 가능합니다.","É preciso dar um nome a sua moeda antes de criá-la.","在你生产货币之前必须给它命名。","Нужно назвать вашу валюту, прежде чем печатать её.","Devi dare un nome alla tua valuta prima di poterla produrre.","É necessário atribuir um nome à moeda antes de a produzir.","Adnod kell egy nevet a pénznemnek mielőtt gyártanád.","通貨を製造する前に通貨の名前を設定する必要があります。","Må gi valutaen din et navn før du kan lage den.","Trzeba nadać nazwę walucie, zanim będzie można ją wytworzyć.","Je moet je valuta eerst een naam geven voordat je ze kan maken.","Trebuie să-i dai monedei un nume înainte să-l poți folosi.","Du er nødt til at give din valuta et navn inden du kan lave den.","Musíte pojmenovat vaši měnu, než ji budete moci vytvořit.","Du måste namnge din valuta innan du kan tillverka den.","Перед карбуванням валюти, її потрібно назвати.","Πρέπει να δώσεις στο νόμισμά σου ένα νόμισμα πριν το δημιουργήσεις.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Oluşturmadan önce para birimine bir isim vermen gerekli."
"DEFAULT","","You must craft more than zero coins.","","Vous devez fabriquer au moins une pièce.","Necesitas elaborar mas de cero monedas.","Du musst mindestens eine Münze herstellen.","1개 이상의 코인을 제작하셔야 합니다.","Você deve criar mais do que zero moedas.","你必须制作至少一个硬币。","Нужно изготовить хотя бы одну монету.","Devi produrre più di zero monete.","Tens de produzir mais de zero moedas.","Nullánál több érmét kell gyártanod.","1つ以上のコインを製作する必要があります。","Du må lage mer enn null mynter.","Musisz wytworzyć przynajmniej 1 monetę.","Je moet meer dan nul munten maken.","Trebuie să faci mai mult de zero monede.","Du er nødt til at lave mere end nul mønter.","Musíte vytvořit více než jednu minci.","Du måste tillverka fler än noll mynt.","Ви маєте викарбувати щонайменше 1 монету.","Πρέπει να κατασκευάσεις περισσότερα από μηδέν κέρματα.","You must craft more than zero coins.","You must craft more than zero coins.","Sıfırdan farklı bir sayıda para üretmen gerek."
"DEFAULT","","{0} created {1}.","","{0} a créé {1}.","{0} ha creado {1}.","{0} erstellte {1}.","{0}이(가) {1}을(를) 만드셨습니다.","{0} criou {1}.","{0} 创建了 {1}。","{0} создаёт {1}.","{0} ha creato {1}.","{0} criou {1}.","{0} létrehozva {1}.","{0} は {1} を作成しました。","{0} laget {1}.","{0} zrobił {1}.","{0} heeft {1} gemaakt.","{0} created {1}.","{0} producerede {1}.","{0} vytvořil {1}.","{0} skapade {1}.","{0} створює {1}.","{0} δημιούργησε {1}.","{0} created {1}.","{0} created {1}.","{0} {1} birimini üretti."
"DEFAULT","","No item on table to repair.","","Aucun objet à réparer sur la table.","No hay ningún ítem en la mesa para reparar.","Es befindet sich kein Gegenstand zum Reparieren auf dem Tisch.","작업대에 수리가 가능한 아이템이 없습니다.","Nenhum item na mesa para reparar.","工作台上没有物品来维修。","Нет вещей для ремонта на столе.","Nessun elemento da riparare sul tavolo.","Não há nenhum item na tabela para reparar.","Nincs tárgy az asztalon amit meg lehetne javítani.","修理するアイテムが置かれていません。","Ingen gjenstand å reparere på bordet.","Brak przedmiotu do naprawy.","Er is geen voorwerp op de werkplaats om te repareren.","Nu e nimic de reparat.","Ingen genstand på bordet til reparation.","Na stole není žádná položka k opravě.","Inget föremål på bänken att reparera.","На столі відсутні предмети для ремонту.","Δεν υπάρχει αντικείμενο στο τραπέζι για να επισκευαστεί.","No item on table to repair.","No item on table to repair.","Masada onarmak için eşya yok."
"DEFAULT","","Cannot repair {0}.","","Réparation impossible {0}.","No se puede reparar {0}.","{0} kann nicht repariert werden.","{0}을(를) 수리하지 못 합니다.","Não é possível reparar {0}.","无法修复 {0}。","Нельзя отремонтировать {0}.","Non puoi riparare {0}.","Não é possível reparar {0}.","{0} nem megjavítható.","{0} を修理できません。","Kan ikke reparere {0}.","Nie możesz naprawić {0}.","{0} kan niet worden gerepareerd.","Cannot repair {0}.","Kan ikke reparere {0}.","Nelze opravit {0}.","Kan inte reparera {0}.","Неможливо відремонтувати {0}.","Δεν είναι δυνατή η επισκευή του {0}.","لا يمكن اصلاح {0}.","Cannot repair {0}.","{0} tamir edilemez."
"DEFAULT","","{0} is already at max durability.","","{0} est déjà au maximum de sa durabilité.","{0} ya esta a la máxima durabilidad.","{0} verfügt bereits über maximale Haltbarkeit.","{0}은(는) 현재 내구도가 최대입니다.","{0} já está na durabilidade máxima.","{0} 已处于最大耐久度。","{0} имеет максимальную прочность.","{0} è già alla massima durabilità.","{0} está já no máximo da durabilidade.","{0} már teljesen meg van javítva.","{0} の耐久度は既に最大です。","{0} har allerede maksimal holdbarhet.","{0} ma już maksymalną wytrzymałość.","{0} is al op maximale duurzaamheid.","{0} is already at max durability.","{0} er allerede på maksimal holdbarhed.","{0} již má maximální výdrž.","{0} är redan på max hållbarhet.","{0} вже макс. міцності.","{0} έχει ήδη τη μέγιστη ανθεκτικότητα.","{0} is already at max durability.","{0} is already at max durability.","{0} biriminin sağlamlığı maksimum seviyede."
"DEFAULT","","You can't repair {0} until you learn {1}.","","Vous ne pouvez pas réparer {0} avant d'avoir appris {1}.","No puedes reparar {0} hasta que aprendas {1}.","Du kannst {0} nicht reparieren, bevor du {1} gelernt hast.","{1}을(를) 배우기 전까지는 {0}을(를) 고칠 수 없습니다.","Você não pode reparar {0} até você aprender {1}.","在学会 {1} 之前，你无法修理 {0}。","Вы не можете ремонтировать {0} до тех пор, пока не выучите {1}.","Non puoi riparare {0} finché non impari {1}.","Não podes reparar {0} até aprenderes {1}.","Nem tudod megjavítani a {0} -t amíg nem tanulod meg a {1} -t.","{1} を学ぶまで {0} を修理することはできません。","Du kan ikke reparere {0} før du lærer {1}.","Nie możesz naprawić {0}, dopóki nie nauczysz się {1}.","Je kan {0} niet repareren totdat je {1} geleerd hebt.","You can't repair {0} until you learn {1}.","Du kan ikke reparere {0} før du har lært {1}.","{0} nelze opravit, dokud se nenaučíš {1}.","Du kan inte reparera {0} innan du har lärt dig {1}.","Не можна відремонтувати {0}, доки ви не вивчите {1}.","Δεν μπορείς να επισκευάσεις {0} μέχρι να μάθεις {1}.","لا يمكنك اصلاح {0} الى ان تتعلم {1}.","You can't repair {0} until you learn {1}.","{1} yeteneğini öğrenmeden, {0} birimini tamir edemezsin."
